areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
E12000001,North East,region,2023-07-03,0
E12000001,North East,region,2023-07-02,1
E12000001,North East,region,2023-07-01,0
E12000001,North East,region,2023-06-30,1
E12000001,North East,region,2023-06-29,0
E12000001,North East,region,2023-06-28,0
E12000001,North East,region,2023-06-27,1
E12000001,North East,region,2023-06-26,2
E12000001,North East,region,2023-06-25,2
E12000001,North East,region,2023-06-24,0
E12000001,North East,region,2023-06-23,1
E12000001,North East,region,2023-06-22,0
E12000001,North East,region,2023-06-21,0
E12000001,North East,region,2023-06-20,2
E12000001,North East,region,2023-06-19,0
E12000001,North East,region,2023-06-18,0
E12000001,North East,region,2023-06-17,1
E12000001,North East,region,2023-06-16,2
E12000001,North East,region,2023-06-15,1
E12000001,North East,region,2023-06-14,3
E12000001,North East,region,2023-06-13,2
E12000001,North East,region,2023-06-12,2
E12000001,North East,region,2023-06-11,4
E12000001,North East,region,2023-06-10,2
E12000001,North East,region,2023-06-09,2
E12000001,North East,region,2023-06-08,3
E12000001,North East,region,2023-06-07,2
E12000001,North East,region,2023-06-06,1
E12000001,North East,region,2023-06-05,4
E12000001,North East,region,2023-06-04,1
E12000001,North East,region,2023-06-03,0
E12000001,North East,region,2023-06-02,0
E12000001,North East,region,2023-06-01,3
E12000001,North East,region,2023-05-31,1
E12000001,North East,region,2023-05-30,1
E12000001,North East,region,2023-05-29,0
E12000001,North East,region,2023-05-28,1
E12000001,North East,region,2023-05-27,1
E12000001,North East,region,2023-05-26,7
E12000001,North East,region,2023-05-25,2
E12000001,North East,region,2023-05-24,1
E12000001,North East,region,2023-05-23,2
E12000001,North East,region,2023-05-22,2
E12000001,North East,region,2023-05-21,0
E12000001,North East,region,2023-05-20,2
E12000001,North East,region,2023-05-19,3
E12000001,North East,region,2023-05-18,3
E12000001,North East,region,2023-05-17,4
E12000001,North East,region,2023-05-16,3
E12000001,North East,region,2023-05-15,2
E12000001,North East,region,2023-05-14,3
E12000001,North East,region,2023-05-13,2
E12000001,North East,region,2023-05-12,3
E12000001,North East,region,2023-05-11,4
E12000001,North East,region,2023-05-10,5
E12000001,North East,region,2023-05-09,3
E12000001,North East,region,2023-05-08,9
E12000001,North East,region,2023-05-07,2
E12000001,North East,region,2023-05-06,3
E12000001,North East,region,2023-05-05,7
E12000001,North East,region,2023-05-04,2
E12000001,North East,region,2023-05-03,3
E12000001,North East,region,2023-05-02,7
E12000001,North East,region,2023-05-01,3
E12000001,North East,region,2023-04-30,8
E12000001,North East,region,2023-04-29,3
E12000001,North East,region,2023-04-28,4
E12000001,North East,region,2023-04-27,5
E12000001,North East,region,2023-04-26,6
E12000001,North East,region,2023-04-25,0
E12000001,North East,region,2023-04-24,4
E12000001,North East,region,2023-04-23,5
E12000001,North East,region,2023-04-22,6
E12000001,North East,region,2023-04-21,8
E12000001,North East,region,2023-04-20,2
E12000001,North East,region,2023-04-19,5
E12000001,North East,region,2023-04-18,6
E12000001,North East,region,2023-04-17,7
E12000001,North East,region,2023-04-16,9
E12000001,North East,region,2023-04-15,8
E12000001,North East,region,2023-04-14,9
E12000001,North East,region,2023-04-13,11
E12000001,North East,region,2023-04-12,13
E12000001,North East,region,2023-04-11,3
E12000001,North East,region,2023-04-10,3
E12000001,North East,region,2023-04-09,5
E12000001,North East,region,2023-04-08,8
E12000001,North East,region,2023-04-07,8
E12000001,North East,region,2023-04-06,7
E12000001,North East,region,2023-04-05,5
E12000001,North East,region,2023-04-04,10
E12000001,North East,region,2023-04-03,9
E12000001,North East,region,2023-04-02,3
E12000001,North East,region,2023-04-01,4
E12000001,North East,region,2023-03-31,5
E12000001,North East,region,2023-03-30,10
E12000001,North East,region,2023-03-29,10
E12000001,North East,region,2023-03-28,11
E12000001,North East,region,2023-03-27,8
E12000001,North East,region,2023-03-26,11
E12000001,North East,region,2023-03-25,14
E12000001,North East,region,2023-03-24,7
E12000001,North East,region,2023-03-23,2
E12000001,North East,region,2023-03-22,13
E12000001,North East,region,2023-03-21,3
E12000001,North East,region,2023-03-20,10
E12000001,North East,region,2023-03-19,10
E12000001,North East,region,2023-03-18,8
E12000001,North East,region,2023-03-17,10
E12000001,North East,region,2023-03-16,6
E12000001,North East,region,2023-03-15,8
E12000001,North East,region,2023-03-14,9
E12000001,North East,region,2023-03-13,4
E12000001,North East,region,2023-03-12,9
E12000001,North East,region,2023-03-11,11
E12000001,North East,region,2023-03-10,8
E12000001,North East,region,2023-03-09,13
E12000001,North East,region,2023-03-08,5
E12000001,North East,region,2023-03-07,9
E12000001,North East,region,2023-03-06,7
E12000001,North East,region,2023-03-05,6
E12000001,North East,region,2023-03-04,9
E12000001,North East,region,2023-03-03,6
E12000001,North East,region,2023-03-02,13
E12000001,North East,region,2023-03-01,9
E12000001,North East,region,2023-02-28,7
E12000001,North East,region,2023-02-27,8
E12000001,North East,region,2023-02-26,2
E12000001,North East,region,2023-02-25,7
E12000001,North East,region,2023-02-24,7
E12000001,North East,region,2023-02-23,14
E12000001,North East,region,2023-02-22,9
E12000001,North East,region,2023-02-21,8
E12000001,North East,region,2023-02-20,6
E12000001,North East,region,2023-02-19,8
E12000001,North East,region,2023-02-18,5
E12000001,North East,region,2023-02-17,9
E12000001,North East,region,2023-02-16,10
E12000001,North East,region,2023-02-15,6
E12000001,North East,region,2023-02-14,5
E12000001,North East,region,2023-02-13,6
E12000001,North East,region,2023-02-12,2
E12000001,North East,region,2023-02-11,10
E12000001,North East,region,2023-02-10,13
E12000001,North East,region,2023-02-09,8
E12000001,North East,region,2023-02-08,7
E12000001,North East,region,2023-02-07,7
E12000001,North East,region,2023-02-06,1
E12000001,North East,region,2023-02-05,5
E12000001,North East,region,2023-02-04,9
E12000001,North East,region,2023-02-03,3
E12000001,North East,region,2023-02-02,4
E12000001,North East,region,2023-02-01,5
E12000001,North East,region,2023-01-31,8
E12000001,North East,region,2023-01-30,4
E12000001,North East,region,2023-01-29,3
E12000001,North East,region,2023-01-28,6
E12000001,North East,region,2023-01-27,5
E12000001,North East,region,2023-01-26,5
E12000001,North East,region,2023-01-25,4
E12000001,North East,region,2023-01-24,8
E12000001,North East,region,2023-01-23,11
E12000001,North East,region,2023-01-22,4
E12000001,North East,region,2023-01-21,10
E12000001,North East,region,2023-01-20,4
E12000001,North East,region,2023-01-19,7
E12000001,North East,region,2023-01-18,7
E12000001,North East,region,2023-01-17,2
E12000001,North East,region,2023-01-16,7
E12000001,North East,region,2023-01-15,8
E12000001,North East,region,2023-01-14,13
E12000001,North East,region,2023-01-13,6
