areaCode,areaName,areaType,date,cumCasesByPublishDate,cumDeaths28DaysByPublishDate
K02000001,United Kingdom,overview,2022-05-20,22238713,177977
K02000001,United Kingdom,overview,2022-05-19,22232377,177890
K02000001,United Kingdom,overview,2022-05-18,22220178,177721
K02000001,United Kingdom,overview,2022-05-17,22212395,177595
K02000001,United Kingdom,overview,2022-05-16,22203799,177410
K02000001,United Kingdom,overview,2022-05-15,22181462,177257
K02000001,United Kingdom,overview,2022-05-14,22181289,177257
K02000001,United Kingdom,overview,2022-05-13,22180207,177252
K02000001,United Kingdom,overview,2022-05-12,22173620,177101
K02000001,United Kingdom,overview,2022-05-11,22158820,176915
K02000001,United Kingdom,overview,2022-05-10,22150700,176708
K02000001,United Kingdom,overview,2022-05-09,22140287,176424
K02000001,United Kingdom,overview,2022-05-08,22114034,176212
K02000001,United Kingdom,overview,2022-05-07,22114034,176212
K02000001,United Kingdom,overview,2022-05-06,22114034,176212
K02000001,United Kingdom,overview,2022-05-05,22102983,175984
K02000001,United Kingdom,overview,2022-05-04,22090523,175546
K02000001,United Kingdom,overview,2022-05-03,22073858,175319
K02000001,United Kingdom,overview,2022-05-02,22038340,174912
K02000001,United Kingdom,overview,2022-05-01,22038340,174912
K02000001,United Kingdom,overview,2022-04-30,22038340,174912
K02000001,United Kingdom,overview,2022-04-29,22038340,174912
K02000001,United Kingdom,overview,2022-04-28,22025925,174696
K02000001,United Kingdom,overview,2022-04-27,22011920,174448
K02000001,United Kingdom,overview,2022-04-26,21994809,174144
K02000001,United Kingdom,overview,2022-04-25,21978198,173693
K02000001,United Kingdom,overview,2022-04-24,21933206,173352
K02000001,United Kingdom,overview,2022-04-23,21933206,173352
K02000001,United Kingdom,overview,2022-04-22,21933206,173352
K02000001,United Kingdom,overview,2022-04-21,21913483,173068
K02000001,United Kingdom,overview,2022-04-20,21890037,172386
K02000001,United Kingdom,overview,2022-04-19,21863944,171878
K02000001,United Kingdom,overview,2022-04-18,21747638,171396
K02000001,United Kingdom,overview,2022-04-17,21747638,171396
K02000001,United Kingdom,overview,2022-04-16,21747638,171396
K02000001,United Kingdom,overview,2022-04-15,21747638,171396
K02000001,United Kingdom,overview,2022-04-14,21747638,171396
K02000001,United Kingdom,overview,2022-04-13,21715116,171046
K02000001,United Kingdom,overview,2022-04-12,21679280,170395
K02000001,United Kingdom,overview,2022-04-11,21640901,170107
K02000001,United Kingdom,overview,2022-04-10,21549830,169759
K02000001,United Kingdom,overview,2022-04-09,21549830,169759
K02000001,United Kingdom,overview,2022-04-08,21549830,169759
K02000001,United Kingdom,overview,2022-04-07,21508546,169412
K02000001,United Kingdom,overview,2022-04-06,21461556,169095
K02000001,United Kingdom,overview,2022-04-05,21410305,166148
K02000001,United Kingdom,overview,2022-04-04,21359681,165780
K02000001,United Kingdom,overview,2022-04-03,21216874,165570
K02000001,United Kingdom,overview,2022-04-02,21216874,165570
K02000001,United Kingdom,overview,2022-04-01,21216874,165570
K02000001,United Kingdom,overview,2022-03-31,21147425,165379
K02000001,United Kingdom,overview,2022-03-30,21073009,165187
K02000001,United Kingdom,overview,2022-03-29,20986171,164974
K02000001,United Kingdom,overview,2022-03-28,20905515,164671
K02000001,United Kingdom,overview,2022-03-27,20691123,164454
K02000001,United Kingdom,overview,2022-03-26,20691123,164454
K02000001,United Kingdom,overview,2022-03-25,20691123,164454
K02000001,United Kingdom,overview,2022-03-24,20613817,164282
K02000001,United Kingdom,overview,2022-03-23,20515998,164123
K02000001,United Kingdom,overview,2022-03-22,20413731,163929
K02000001,United Kingdom,overview,2022-03-21,20319434,163679
K02000001,United Kingdom,overview,2022-03-20,20093762,163511
K02000001,United Kingdom,overview,2022-03-19,20093762,163511
K02000001,United Kingdom,overview,2022-03-18,20093762,163511
K02000001,United Kingdom,overview,2022-03-17,20001627,163386
K02000001,United Kingdom,overview,2022-03-16,19911155,163248
K02000001,United Kingdom,overview,2022-03-15,19820181,163095
K02000001,United Kingdom,overview,2022-03-14,19700952,162873
K02000001,United Kingdom,overview,2022-03-13,19530485,162738
K02000001,United Kingdom,overview,2022-03-12,19530485,162738
K02000001,United Kingdom,overview,2022-03-11,19530485,162738
K02000001,United Kingdom,overview,2022-03-10,19457976,162624
K02000001,United Kingdom,overview,2022-03-09,19373884,162482
K02000001,United Kingdom,overview,2022-03-08,19307014,162359
K02000001,United Kingdom,overview,2022-03-07,19245301,162147
K02000001,United Kingdom,overview,2022-03-06,19119181,162008
K02000001,United Kingdom,overview,2022-03-05,19119181,162008
K02000001,United Kingdom,overview,2022-03-04,19119181,162008
K02000001,United Kingdom,overview,2022-03-03,19074696,161898
K02000001,United Kingdom,overview,2022-03-02,19029321,161704
K02000001,United Kingdom,overview,2022-03-01,18985568,161630
K02000001,United Kingdom,overview,2022-02-28,18886701,161361
K02000001,United Kingdom,overview,2022-02-27,18804765,161224
K02000001,United Kingdom,overview,2022-02-26,18804765,161224
K02000001,United Kingdom,overview,2022-02-25,18804765,161224
K02000001,United Kingdom,overview,2022-02-24,18773164,161104
K02000001,United Kingdom,overview,2022-02-23,18734683,160979
K02000001,United Kingdom,overview,2022-02-22,18695448,160815
K02000001,United Kingdom,overview,2022-02-21,18654572,160610
K02000001,United Kingdom,overview,2022-02-20,18616433,160595
K02000001,United Kingdom,overview,2022-02-19,18585423,160521
K02000001,United Kingdom,overview,2022-02-18,18546205,160379
K02000001,United Kingdom,overview,2022-02-17,18499058,160221
K02000001,United Kingdom,overview,2022-02-16,18447706,160038
K02000001,United Kingdom,overview,2022-02-15,18393951,159839
K02000001,United Kingdom,overview,2022-02-14,18348029,159605
K02000001,United Kingdom,overview,2022-02-13,18306704,159570
K02000001,United Kingdom,overview,2022-02-12,18265918,159518
K02000001,United Kingdom,overview,2022-02-11,18220515,159351
K02000001,United Kingdom,overview,2022-02-10,18162199,159158
K02000001,United Kingdom,overview,2022-02-09,18000119,158953
K02000001,United Kingdom,overview,2022-02-08,17932803,158677
K02000001,United Kingdom,overview,2022-02-07,17866632,158363
K02000001,United Kingdom,overview,2022-02-06,17809459,158318
K02000001,United Kingdom,overview,2022-02-05,17752892,158243
K02000001,United Kingdom,overview,2022-02-04,17689885,157984
K02000001,United Kingdom,overview,2022-02-03,17607832,157730
K02000001,United Kingdom,overview,2022-02-02,17519708,157427
K02000001,United Kingdom,overview,2022-02-01,17428345,156875
K02000001,United Kingdom,overview,2022-01-31,17315893,155754
K02000001,United Kingdom,overview,2022-01-30,16478467,155704
K02000001,United Kingdom,overview,2022-01-29,16409459,155613
K02000001,United Kingdom,overview,2022-01-28,16333980,155317
K02000001,United Kingdom,overview,2022-01-27,16245474,155040
K02000001,United Kingdom,overview,2022-01-26,16149319,154702
K02000001,United Kingdom,overview,2022-01-25,16047716,154356
K02000001,United Kingdom,overview,2022-01-24,15953685,153916
K02000001,United Kingdom,overview,2022-01-23,15866316,153862
K02000001,United Kingdom,overview,2022-01-22,15787937,153787
K02000001,United Kingdom,overview,2022-01-21,15709059,153490
K02000001,United Kingdom,overview,2022-01-20,15613283,153202
K02000001,United Kingdom,overview,2022-01-19,15506750,152872
K02000001,United Kingdom,overview,2022-01-18,15399300,152513
K02000001,United Kingdom,overview,2022-01-17,15305410,152075
K02000001,United Kingdom,overview,2022-01-16,15221366,151990
K02000001,United Kingdom,overview,2022-01-15,15147099,151899
K02000001,United Kingdom,overview,2022-01-14,15066395,151612
K02000001,United Kingdom,overview,2022-01-13,14967817,151342
K02000001,United Kingdom,overview,2022-01-12,14862138,151007
K02000001,United Kingdom,overview,2022-01-11,14732594,150609
K02000001,United Kingdom,overview,2022-01-10,14617314,150230
K02000001,United Kingdom,overview,2022-01-09,14475192,150154
K02000001,United Kingdom,overview,2022-01-08,14333794,150057
K02000001,United Kingdom,overview,2022-01-07,14193228,149744
K02000001,United Kingdom,overview,2022-01-06,14015065,149515
K02000001,United Kingdom,overview,2022-01-05,13835334,149284
K02000001,United Kingdom,overview,2022-01-04,13641520,148950
K02000001,United Kingdom,overview,2022-01-03,13422815,148901
K02000001,United Kingdom,overview,2022-01-02,13266431,148859
K02000001,United Kingdom,overview,2022-01-01,13117469,148786
K02000001,United Kingdom,overview,2021-12-31,12937886,148624
K02000001,United Kingdom,overview,2021-12-30,12748050,148421
K02000001,United Kingdom,overview,2021-12-29,12559926,148089
K02000001,United Kingdom,overview,2021-12-28,12377822,148032
K02000001,United Kingdom,overview,2021-12-27,12239797,148013
K02000001,United Kingdom,overview,2021-12-26,12132098,147870
K02000001,United Kingdom,overview,2021-12-25,12013153,147867
K02000001,United Kingdom,overview,2021-12-24,11891292,147857
K02000001,United Kingdom,overview,2021-12-23,11769921,147720
K02000001,United Kingdom,overview,2021-12-22,11647473,147573
K02000001,United Kingdom,overview,2021-12-21,11542143,147433
K02000001,United Kingdom,overview,2021-12-20,11453121,147261
K02000001,United Kingdom,overview,2021-12-19,11361387,147218
