areaCode,areaName,areaType,date,newAdmissions
E92000001,England,nation,2023-12-08,308
E92000001,England,nation,2023-12-07,364
E92000001,England,nation,2023-12-06,455
E92000001,England,nation,2023-12-05,420
E92000001,England,nation,2023-12-04,432
E92000001,England,nation,2023-12-03,380
E92000001,England,nation,2023-12-02,263
E92000001,England,nation,2023-12-01,255
E92000001,England,nation,2023-11-30,306
E92000001,England,nation,2023-11-29,324
E92000001,England,nation,2023-11-28,332
E92000001,England,nation,2023-11-27,327
E92000001,England,nation,2023-11-26,302
E92000001,England,nation,2023-11-25,215
E92000001,England,nation,2023-11-24,231
E92000001,England,nation,2023-11-23,283
E92000001,England,nation,2023-11-22,291
E92000001,England,nation,2023-11-21,295
E92000001,England,nation,2023-11-20,280
E92000001,England,nation,2023-11-19,281
E92000001,England,nation,2023-11-18,216
E92000001,England,nation,2023-11-17,233
E92000001,England,nation,2023-11-16,282
E92000001,England,nation,2023-11-15,316
E92000001,England,nation,2023-11-14,313
E92000001,England,nation,2023-11-13,314
E92000001,England,nation,2023-11-12,303
E92000001,England,nation,2023-11-11,251
E92000001,England,nation,2023-11-10,238
E92000001,England,nation,2023-11-09,351
E92000001,England,nation,2023-11-08,338
E92000001,England,nation,2023-11-07,356
E92000001,England,nation,2023-11-06,361
E92000001,England,nation,2023-11-05,362
E92000001,England,nation,2023-11-04,294
E92000001,England,nation,2023-11-03,289
E92000001,England,nation,2023-11-02,379
E92000001,England,nation,2023-11-01,378
E92000001,England,nation,2023-10-31,375
E92000001,England,nation,2023-10-30,402
E92000001,England,nation,2023-10-29,363
E92000001,England,nation,2023-10-28,320
E92000001,England,nation,2023-10-27,350
E92000001,England,nation,2023-10-26,446
E92000001,England,nation,2023-10-25,428
E92000001,England,nation,2023-10-24,500
E92000001,England,nation,2023-10-23,459
E92000001,England,nation,2023-10-22,518
E92000001,England,nation,2023-10-21,361
E92000001,England,nation,2023-10-20,416
E92000001,England,nation,2023-10-19,507
E92000001,England,nation,2023-10-18,549
E92000001,England,nation,2023-10-17,550
E92000001,England,nation,2023-10-16,450
E92000001,England,nation,2023-10-15,521
