areaCode,areaName,areaType,date,uniqueCasePositivityBySpecimenDateRollingSum
E12000001,North East,region,2023-12-04,5.9
E12000001,North East,region,2023-12-03,4.8
E12000001,North East,region,2023-12-02,4.6
E12000001,North East,region,2023-12-01,4.9
E12000001,North East,region,2023-11-30,4.6
E12000001,North East,region,2023-11-29,4.7
E12000001,North East,region,2023-11-28,5.0
E12000001,North East,region,2023-11-27,5.1
E12000001,North East,region,2023-11-26,5.6
E12000001,North East,region,2023-11-25,5.6
E12000001,North East,region,2023-11-24,5.4
E12000001,North East,region,2023-11-23,5.3
E12000001,North East,region,2023-11-22,5.6
E12000001,North East,region,2023-11-21,5.4
E12000001,North East,region,2023-11-20,6.0
E12000001,North East,region,2023-11-19,6.3
E12000001,North East,region,2023-11-18,6.6
E12000001,North East,region,2023-11-17,6.7
E12000001,North East,region,2023-11-16,7.3
E12000001,North East,region,2023-11-15,7.5
E12000001,North East,region,2023-11-14,8.1
E12000001,North East,region,2023-11-13,7.6
E12000001,North East,region,2023-11-12,7.8
E12000001,North East,region,2023-11-11,7.6
E12000001,North East,region,2023-11-10,8.4
E12000001,North East,region,2023-11-09,8.3
E12000001,North East,region,2023-11-08,8.7
E12000001,North East,region,2023-11-07,9.0
E12000001,North East,region,2023-11-06,9.7
E12000001,North East,region,2023-11-05,10.2
E12000001,North East,region,2023-11-04,10.6
E12000001,North East,region,2023-11-03,10.6
E12000001,North East,region,2023-11-02,11.0
E12000001,North East,region,2023-11-01,11.0
E12000001,North East,region,2023-10-31,10.9
E12000001,North East,region,2023-10-30,11.3
E12000001,North East,region,2023-10-29,12.3
E12000001,North East,region,2023-10-28,11.9
E12000001,North East,region,2023-10-27,12.2
E12000001,North East,region,2023-10-26,11.6
E12000001,North East,region,2023-10-25,12.3
E12000001,North East,region,2023-10-24,13.2
E12000001,North East,region,2023-10-23,12.9
E12000001,North East,region,2023-10-22,13.4
E12000001,North East,region,2023-10-21,13.7
E12000001,North East,region,2023-10-20,13.5
E12000001,North East,region,2023-10-19,13.8
