areaCode,areaName,areaType,date,newDeaths28DaysByPublishDate
E12000001,North East,region,2023-07-06,9
E12000001,North East,region,2023-07-05,0
E12000001,North East,region,2023-07-04,0
E12000001,North East,region,2023-07-03,0
E12000001,North East,region,2023-07-02,0
E12000001,North East,region,2023-07-01,0
E12000001,North East,region,2023-06-30,0
E12000001,North East,region,2023-06-29,8
E12000001,North East,region,2023-06-28,0
E12000001,North East,region,2023-06-27,0
E12000001,North East,region,2023-06-26,0
E12000001,North East,region,2023-06-25,0
E12000001,North East,region,2023-06-24,0
E12000001,North East,region,2023-06-23,0
E12000001,North East,region,2023-06-22,9
E12000001,North East,region,2023-06-21,0
E12000001,North East,region,2023-06-20,0
E12000001,North East,region,2023-06-19,0
E12000001,North East,region,2023-06-18,0
E12000001,North East,region,2023-06-17,0
E12000001,North East,region,2023-06-16,0
E12000001,North East,region,2023-06-15,15
E12000001,North East,region,2023-06-14,0
E12000001,North East,region,2023-06-13,0
E12000001,North East,region,2023-06-12,0
E12000001,North East,region,2023-06-11,0
E12000001,North East,region,2023-06-10,0
E12000001,North East,region,2023-06-09,0
E12000001,North East,region,2023-06-08,11
E12000001,North East,region,2023-06-07,0
E12000001,North East,region,2023-06-06,0
E12000001,North East,region,2023-06-05,0
E12000001,North East,region,2023-06-04,0
E12000001,North East,region,2023-06-03,0
E12000001,North East,region,2023-06-02,0
E12000001,North East,region,2023-06-01,16
E12000001,North East,region,2023-05-31,0
E12000001,North East,region,2023-05-30,0
E12000001,North East,region,2023-05-29,0
E12000001,North East,region,2023-05-28,0
E12000001,North East,region,2023-05-27,0
E12000001,North East,region,2023-05-26,0
E12000001,North East,region,2023-05-25,18
E12000001,North East,region,2023-05-24,0
E12000001,North East,region,2023-05-23,0
E12000001,North East,region,2023-05-22,0
E12000001,North East,region,2023-05-21,0
E12000001,North East,region,2023-05-20,0
E12000001,North East,region,2023-05-19,0
E12000001,North East,region,2023-05-18,25
E12000001,North East,region,2023-05-17,0
E12000001,North East,region,2023-05-16,0
E12000001,North East,region,2023-05-15,0
E12000001,North East,region,2023-05-14,0
E12000001,North East,region,2023-05-13,0
E12000001,North East,region,2023-05-12,0
E12000001,North East,region,2023-05-11,30
E12000001,North East,region,2023-05-10,0
E12000001,North East,region,2023-05-09,0
E12000001,North East,region,2023-05-08,0
E12000001,North East,region,2023-05-07,0
E12000001,North East,region,2023-05-06,0
E12000001,North East,region,2023-05-05,0
E12000001,North East,region,2023-05-04,34
E12000001,North East,region,2023-05-03,0
E12000001,North East,region,2023-05-02,0
E12000001,North East,region,2023-05-01,0
E12000001,North East,region,2023-04-30,0
E12000001,North East,region,2023-04-29,0
E12000001,North East,region,2023-04-28,0
E12000001,North East,region,2023-04-27,45
E12000001,North East,region,2023-04-26,0
E12000001,North East,region,2023-04-25,0
E12000001,North East,region,2023-04-24,0
E12000001,North East,region,2023-04-23,0
E12000001,North East,region,2023-04-22,0
E12000001,North East,region,2023-04-21,0
E12000001,North East,region,2023-04-20,55
E12000001,North East,region,2023-04-19,0
E12000001,North East,region,2023-04-18,0
E12000001,North East,region,2023-04-17,0
E12000001,North East,region,2023-04-16,0
E12000001,North East,region,2023-04-15,0
E12000001,North East,region,2023-04-14,0
E12000001,North East,region,2023-04-13,51
E12000001,North East,region,2023-04-12,0
E12000001,North East,region,2023-04-11,0
E12000001,North East,region,2023-04-10,0
E12000001,North East,region,2023-04-09,0
E12000001,North East,region,2023-04-08,0
E12000001,North East,region,2023-04-07,0
E12000001,North East,region,2023-04-06,64
E12000001,North East,region,2023-04-05,0
E12000001,North East,region,2023-04-04,0
E12000001,North East,region,2023-04-03,0
E12000001,North East,region,2023-04-02,0
E12000001,North East,region,2023-04-01,0
E12000001,North East,region,2023-03-31,0
E12000001,North East,region,2023-03-30,38
E12000001,North East,region,2023-03-29,0
E12000001,North East,region,2023-03-28,0
E12000001,North East,region,2023-03-27,0
E12000001,North East,region,2023-03-26,0
E12000001,North East,region,2023-03-25,0
E12000001,North East,region,2023-03-24,0
E12000001,North East,region,2023-03-23,68
E12000001,North East,region,2023-03-22,0
E12000001,North East,region,2023-03-21,0
E12000001,North East,region,2023-03-20,0
E12000001,North East,region,2023-03-19,0
E12000001,North East,region,2023-03-18,0
E12000001,North East,region,2023-03-17,0
E12000001,North East,region,2023-03-16,53
E12000001,North East,region,2023-03-15,0
E12000001,North East,region,2023-03-14,0
E12000001,North East,region,2023-03-13,0
E12000001,North East,region,2023-03-12,0
E12000001,North East,region,2023-03-11,0
E12000001,North East,region,2023-03-10,0
E12000001,North East,region,2023-03-09,57
E12000001,North East,region,2023-03-08,0
E12000001,North East,region,2023-03-07,0
E12000001,North East,region,2023-03-06,0
E12000001,North East,region,2023-03-05,0
E12000001,North East,region,2023-03-04,0
E12000001,North East,region,2023-03-03,0
E12000001,North East,region,2023-03-02,58
E12000001,North East,region,2023-03-01,0
E12000001,North East,region,2023-02-28,0
E12000001,North East,region,2023-02-27,0
E12000001,North East,region,2023-02-26,0
E12000001,North East,region,2023-02-25,0
E12000001,North East,region,2023-02-24,0
E12000001,North East,region,2023-02-23,46
E12000001,North East,region,2023-02-22,0
E12000001,North East,region,2023-02-21,0
E12000001,North East,region,2023-02-20,0
E12000001,North East,region,2023-02-19,0
E12000001,North East,region,2023-02-18,0
E12000001,North East,region,2023-02-17,0
E12000001,North East,region,2023-02-16,55
E12000001,North East,region,2023-02-15,0
E12000001,North East,region,2023-02-14,0
E12000001,North East,region,2023-02-13,0
E12000001,North East,region,2023-02-12,0
E12000001,North East,region,2023-02-11,0
E12000001,North East,region,2023-02-10,0
E12000001,North East,region,2023-02-09,31
E12000001,North East,region,2023-02-08,0
E12000001,North East,region,2023-02-07,0
E12000001,North East,region,2023-02-06,0
E12000001,North East,region,2023-02-05,0
E12000001,North East,region,2023-02-04,0
E12000001,North East,region,2023-02-03,0
E12000001,North East,region,2023-02-02,41
E12000001,North East,region,2023-02-01,0
E12000001,North East,region,2023-01-31,0
E12000001,North East,region,2023-01-30,0
E12000001,North East,region,2023-01-29,0
E12000001,North East,region,2023-01-28,0
E12000001,North East,region,2023-01-27,0
E12000001,North East,region,2023-01-26,59
E12000001,North East,region,2023-01-25,0
E12000001,North East,region,2023-01-24,0
E12000001,North East,region,2023-01-23,0
E12000001,North East,region,2023-01-22,0
E12000001,North East,region,2023-01-21,0
E12000001,North East,region,2023-01-20,0
E12000001,North East,region,2023-01-19,53
E12000001,North East,region,2023-01-18,0
E12000001,North East,region,2023-01-17,0
E12000001,North East,region,2023-01-16,0
E12000001,North East,region,2023-01-15,0
E12000001,North East,region,2023-01-14,0
E12000001,North East,region,2023-01-13,0
E12000001,North East,region,2023-01-12,65
E12000001,North East,region,2023-01-11,0
E12000001,North East,region,2023-01-10,0
E12000001,North East,region,2023-01-09,0
E12000001,North East,region,2023-01-08,0
E12000001,North East,region,2023-01-07,0
E12000001,North East,region,2023-01-06,0
E12000001,North East,region,2023-01-05,93
E12000001,North East,region,2023-01-04,0
E12000001,North East,region,2023-01-03,0
E12000001,North East,region,2023-01-02,0
E12000001,North East,region,2023-01-01,0
E12000001,North East,region,2022-12-31,0
E12000001,North East,region,2022-12-30,0
E12000001,North East,region,2022-12-29,0
E12000001,North East,region,2022-12-28,0
E12000001,North East,region,2022-12-27,0
E12000001,North East,region,2022-12-26,0
E12000001,North East,region,2022-12-25,0
E12000001,North East,region,2022-12-24,0
E12000001,North East,region,2022-12-23,0
E12000001,North East,region,2022-12-22,28
E12000001,North East,region,2022-12-21,0
E12000001,North East,region,2022-12-20,0
E12000001,North East,region,2022-12-19,0
E12000001,North East,region,2022-12-18,0
E12000001,North East,region,2022-12-17,0
E12000001,North East,region,2022-12-16,0
E12000001,North East,region,2022-12-15,21
E12000001,North East,region,2022-12-14,0
E12000001,North East,region,2022-12-13,0
E12000001,North East,region,2022-12-12,0
E12000001,North East,region,2022-12-11,0
E12000001,North East,region,2022-12-10,0
E12000001,North East,region,2022-12-09,0
E12000001,North East,region,2022-12-08,21
E12000001,North East,region,2022-12-07,0
E12000001,North East,region,2022-12-06,0
E12000001,North East,region,2022-12-05,0
E12000001,North East,region,2022-12-04,0
E12000001,North East,region,2022-12-03,0
E12000001,North East,region,2022-12-02,0
E12000001,North East,region,2022-12-01,23
E12000001,North East,region,2022-11-30,0
E12000001,North East,region,2022-11-29,0
E12000001,North East,region,2022-11-28,0
E12000001,North East,region,2022-11-27,0
E12000001,North East,region,2022-11-26,0
E12000001,North East,region,2022-11-25,0
E12000001,North East,region,2022-11-24,39
E12000001,North East,region,2022-11-23,0
E12000001,North East,region,2022-11-22,0
E12000001,North East,region,2022-11-21,0
E12000001,North East,region,2022-11-20,0
E12000001,North East,region,2022-11-19,0
E12000001,North East,region,2022-11-18,0
E12000001,North East,region,2022-11-17,47
E12000001,North East,region,2022-11-16,0
E12000001,North East,region,2022-11-15,0
E12000001,North East,region,2022-11-14,0
E12000001,North East,region,2022-11-13,0
E12000001,North East,region,2022-11-12,0
E12000001,North East,region,2022-11-11,0
E12000001,North East,region,2022-11-10,46
