 Inflation Rate,Year
1.0036,1960
3.4475,1961
4.1965,1962
2.0185,1963
3.2816,1964
4.7738,1965
3.9096,1966
2.4821,1967
4.6974,1968
5.4467,1969
6.3666,1970
9.4448,1971
7.0711,1972
9.196,1973
16.044,1974
24.2073,1975
16.5595,1976
15.8403,1977
8.2631,1978
13.4213,1979
17.9659,1980
11.8766,1981
8.5989,1982
4.6093,1983
4.9607,1984
6.0714,1985
3.4276,1986
4.1489,1987
4.1554,1988
5.7602,1989
8.0635,1990
7.4618,1991
4.5915,1992
2.5586,1993
2.219,1994
2.6975,1995
2.8518,1996
2.2011,1997
1.8206,1998
1.753,1999
1.183,2000
1.5323,2001
1.5204,2002
1.3765,2003
1.3904,2004
2.0891,2005
2.4557,2006
2.3866,2007
3.5214,2008
1.9617,2009
2.4927,2010
3.8561,2011
2.5732,2012
2.2917,2013
1.4511,2014
0.368,2015
1.0084,2016
2.5578,2017
2.2928,2018
1.7381,2019
0.9895,2020
2.5184,2021
