time,value
"{'interval_start': '2018-12-31T00:00:00Z', 'max': '2019-01-06T13:05:41.560000Z', 'min': '2019-01-01T11:18:35.384000Z'}","{'average': 0.033399107154636, 'count': 1050, 'max': 0.037315417081117006, 'min': 0.030083676800131003, 'standard deviation': 0.001193542699587}"
"{'interval_start': '2019-01-07T00:00:00Z', 'max': '2019-01-13T14:14:56.588000Z', 'min': '2019-01-07T12:45:12.344000Z'}","{'average': 0.031977182181896005, 'count': 979, 'max': 0.039877161383628006, 'min': 0.027603032067418, 'standard deviation': 0.0014526040616530001}"
"{'interval_start': '2019-01-14T00:00:00Z', 'max': '2019-01-20T13:44:04.495000Z', 'min': '2019-01-14T12:13:51.946000Z'}","{'average': 0.032481124128997, 'count': 1477, 'max': 0.038479533046483, 'min': 0.025358926504850002, 'standard deviation': 0.0019678751034110003}"
"{'interval_start': '2019-01-21T00:00:00Z', 'max': '2019-01-27T13:12:26.438000Z', 'min': '2019-01-21T11:42:54.630000Z'}","{'average': 0.03172171562811, 'count': 1129, 'max': 0.038013134151697006, 'min': 0.023929012939333003, 'standard deviation': 0.0019675685626140004}"
"{'interval_start': '2019-01-28T00:00:00Z', 'max': '2019-02-03T14:22:13.439000Z', 'min': '2019-01-28T11:14:15.182000Z'}","{'average': 0.032674436517950003, 'count': 1247, 'max': 0.04178612306714, 'min': 0.025782065466046004, 'standard deviation': 0.0022484371900760003}"
"{'interval_start': '2019-02-04T00:00:00Z', 'max': '2019-02-10T13:50:24.667000Z', 'min': '2019-02-04T12:20:18.023000Z'}","{'average': 0.032712848458118005, 'count': 1256, 'max': 0.03690268471837, 'min': 0.024499282240867, 'standard deviation': 0.0016879077337120002}"
"{'interval_start': '2019-02-11T00:00:00Z', 'max': '2019-02-17T13:18:41.613000Z', 'min': '2019-02-11T11:49:03.330000Z'}","{'average': 0.032859345347306, 'count': 1062, 'max': 0.041980624198913005, 'min': 0.025812901556491002, 'standard deviation': 0.002365321720356}"
"{'interval_start': '2019-02-18T00:00:00Z', 'max': '2019-02-24T12:46:28.150000Z', 'min': '2019-02-18T11:18:26.390000Z'}","{'average': 0.035040781792183, 'count': 1021, 'max': 0.042281098663806006, 'min': 0.028256490826606, 'standard deviation': 0.0025139705969130003}"
"{'interval_start': '2019-02-25T00:00:00Z', 'max': '2019-03-03T13:56:41.536000Z', 'min': '2019-02-25T12:26:14.621000Z'}","{'average': 0.034991697986428004, 'count': 1192, 'max': 0.04127774760127, 'min': 0.028600327670574, 'standard deviation': 0.001674754876185}"
"{'interval_start': '2019-03-04T00:00:00Z', 'max': '2019-03-10T13:24:54.504000Z', 'min': '2019-03-04T11:55:21.264000Z'}","{'average': 0.033490624184246004, 'count': 1458, 'max': 0.038978300988674004, 'min': 0.026177393272519, 'standard deviation': 0.0022139597477080003}"
"{'interval_start': '2019-03-11T00:00:00Z', 'max': '2019-03-17T12:53:21.767000Z', 'min': '2019-03-11T11:24:16.987000Z'}","{'average': 0.035360878431081, 'count': 1221, 'max': 0.045163583010435, 'min': 0.025808772072196003, 'standard deviation': 0.0028521708513140004}"
"{'interval_start': '2019-03-18T00:00:00Z', 'max': '2019-03-24T14:02:58.229000Z', 'min': '2019-03-18T12:32:19.385000Z'}","{'average': 0.035493502919348004, 'count': 1459, 'max': 0.044360287487506006, 'min': 0.027425331994891004, 'standard deviation': 0.0024983646968630003}"
"{'interval_start': '2019-03-25T00:00:00Z', 'max': '2019-03-31T13:31:08.660000Z', 'min': '2019-03-25T12:01:14.909000Z'}","{'average': 0.038374005290274, 'count': 1597, 'max': 0.043850146234035006, 'min': 0.032111223787069, 'standard deviation': 0.0016924969013790002}"
"{'interval_start': '2019-04-01T00:00:00Z', 'max': '2019-04-07T12:59:34.552000Z', 'min': '2019-04-01T11:30:19.101000Z'}","{'average': 0.035485574560635, 'count': 983, 'max': 0.042027801275253004, 'min': 0.026409054175019, 'standard deviation': 0.002798289771241}"
"{'interval_start': '2019-04-08T00:00:00Z', 'max': '2019-04-14T14:09:02.202000Z', 'min': '2019-04-08T12:38:28.212000Z'}","{'average': 0.038224337150041005, 'count': 1502, 'max': 0.044614478945732006, 'min': 0.030180903151631, 'standard deviation': 0.001633514477612}"
"{'interval_start': '2019-04-15T00:00:00Z', 'max': '2019-04-21T13:37:21.115000Z', 'min': '2019-04-16T11:48:51.568000Z'}","{'average': 0.038341432230412004, 'count': 1138, 'max': 0.045349389314651004, 'min': 0.031960006803274, 'standard deviation': 0.002105694763812}"
"{'interval_start': '2019-04-22T00:00:00Z', 'max': '2019-04-28T13:05:40.799000Z', 'min': '2019-04-22T11:36:29.507000Z'}","{'average': 0.033395832531463006, 'count': 1467, 'max': 0.04669065400958, 'min': 0.024253306910395, 'standard deviation': 0.002870869524563}"
"{'interval_start': '2019-04-29T00:00:00Z', 'max': '2019-05-05T14:15:26.322000Z', 'min': '2019-04-29T11:07:07.185000Z'}","{'average': 0.034746437437004, 'count': 1368, 'max': 0.040962047874927, 'min': 0.026267061010003003, 'standard deviation': 0.00237509609042}"
"{'interval_start': '2019-05-06T00:00:00Z', 'max': '2019-05-12T13:43:32.442000Z', 'min': '2019-05-06T12:13:21.511000Z'}","{'average': 0.033389236260983, 'count': 1704, 'max': 0.039177376776933004, 'min': 0.026732381433248003, 'standard deviation': 0.00189385634657}"
"{'interval_start': '2019-05-13T00:00:00Z', 'max': '2019-05-19T13:11:50.158000Z', 'min': '2019-05-13T11:42:24.585000Z'}","{'average': 0.032732043089849006, 'count': 1385, 'max': 0.040469162166118004, 'min': 0.026019303128123002, 'standard deviation': 0.00199019079663}"
"{'interval_start': '2019-05-20T00:00:00Z', 'max': '2019-05-26T14:21:34.853000Z', 'min': '2019-05-20T11:13:06.212000Z'}","{'average': 0.030758502597178, 'count': 1416, 'max': 0.037343937903642, 'min': 0.023030761629343, 'standard deviation': 0.002332392942323}"
