date,Date,CDID,Value,series
2003 DEC,2003-12-15,WUMA,.32,Food
2003 DEC,2003-12-15,WUMB,.08,AlcoholTobacco
2003 DEC,2003-12-15,WUMC,-.22,ClothingFootwear
2003 DEC,2003-12-15,WUMD,.23,HousingHouseService
2003 DEC,2003-12-15,WUMP,-.04,FurnitureHousehold
2003 DEC,2003-12-15,WUMQ,.07,Health
2003 DEC,2003-12-15,WUMW,.43,Transport
2003 DEC,2003-12-15,WUMX,-.01,Communication
2003 DEC,2003-12-15,WUNC,-.35,RecreationCulture
2003 DEC,2003-12-15,WUND,.09,Education
2003 DEC,2003-12-15,WUNE,.4,RestaurantsHotels
2003 DEC,2003-12-15,WUNG,.26,Misc
2003 NOV,2003-11-15,WUMA,.28,Food
2003 NOV,2003-11-15,WUMB,.08,AlcoholTobacco
2003 NOV,2003-11-15,WUMC,-.26,ClothingFootwear
2003 NOV,2003-11-15,WUMD,.23,HousingHouseService
2003 NOV,2003-11-15,WUMP,-.02,FurnitureHousehold
2003 NOV,2003-11-15,WUMQ,.08,Health
2003 NOV,2003-11-15,WUMW,.53,Transport
2003 NOV,2003-11-15,WUMX,-.01,Communication
2003 NOV,2003-11-15,WUNC,-.36,RecreationCulture
2003 NOV,2003-11-15,WUND,.09,Education
2003 NOV,2003-11-15,WUNE,.4,RestaurantsHotels
2003 NOV,2003-11-15,WUNG,.28,Misc
2004 APR,2004-04-15,WUMA,.14,Food
2004 APR,2004-04-15,WUMB,.09,AlcoholTobacco
2004 APR,2004-04-15,WUMC,-.29,ClothingFootwear
2004 APR,2004-04-15,WUMD,.35,HousingHouseService
2004 APR,2004-04-15,WUMP,.02,FurnitureHousehold
2004 APR,2004-04-15,WUMQ,.05,Health
2004 APR,2004-04-15,WUMW,.2,Transport
2004 APR,2004-04-15,WUMX,.02,Communication
2004 APR,2004-04-15,WUNC,-.35,RecreationCulture
2004 APR,2004-04-15,WUND,.09,Education
2004 APR,2004-04-15,WUNE,.41,RestaurantsHotels
2004 APR,2004-04-15,WUNG,.39,Misc
2004 AUG,2004-08-15,WUMA,-.02,Food
2004 AUG,2004-08-15,WUMB,.09,AlcoholTobacco
2004 AUG,2004-08-15,WUMC,-.36,ClothingFootwear
2004 AUG,2004-08-15,WUMD,.38,HousingHouseService
2004 AUG,2004-08-15,WUMP,-.04,FurnitureHousehold
