,DATE,Under,Total,underpct,cont
0,1955-05-01,2063.0,64381,0.03204361535235551,US
1,1955-06-01,1982.0,64482,0.030737260010545574,US
2,1955-07-01,2123.0,65145,0.03258884027937677,US
3,1955-08-01,2203.0,65581,0.03359204647687592,US
4,1955-09-01,2133.0,65628,0.03250137136588042,US
5,1955-10-01,2093.0,65821,0.031798362224821866,US
6,1955-11-01,2199.0,66037,0.03329951390886927,US
7,1955-12-01,2149.0,66445,0.032342538941982094,US
8,1956-01-01,2149.0,66419,0.03235519956638914,US
9,1956-02-01,2087.0,66124,0.03156191397979553,US
10,1956-03-01,1980.0,66175,0.029920664903664528,US
11,1956-04-01,2051.0,66264,0.030951949776650972,US
12,1956-05-01,2194.0,66722,0.0328827073528971,US
13,1956-06-01,2331.0,66702,0.03494647836646577,US
14,1956-07-01,2287.0,66752,0.03426114573346117,US
15,1956-08-01,2353.0,66673,0.03529164729350712,US
16,1956-09-01,2399.0,66714,0.03595946877716821,US
17,1956-10-01,2417.0,66546,0.03632074054037809,US
18,1956-11-01,2414.0,66657,0.03621525121142566,US
19,1956-12-01,2306.0,66700,0.03457271364317841,US
20,1957-01-01,2283.0,66428,0.03436803757451677,US
21,1957-02-01,2426.0,66879,0.0362744658263431,US
22,1957-03-01,2435.0,66913,0.036390536965910956,US
23,1957-04-01,2283.0,66647,0.034255105256050536,US
24,1957-05-01,2377.0,66695,0.03563985306244846,US
25,1957-06-01,2476.0,67052,0.03692656445743602,US
26,1957-07-01,2449.0,67336,0.03636984673874302,US
27,1957-08-01,2440.0,66706,0.03657841873294756,US
28,1957-09-01,2484.0,67064,0.037039246093284024,US
29,1957-10-01,2641.0,67066,0.03937911907673038,US
30,1957-11-01,2643.0,67123,0.03937547487448416,US
31,1957-12-01,2712.0,67398,0.04023858274726253,US
32,1958-01-01,3291.0,67095,0.0490498546836575,US
33,1958-02-01,3437.0,67201,0.05114507224594872,US
34,1958-03-01,3972.0,67223,0.05908691965547506,US
35,1958-04-01,3743.0,67647,0.05533135246204561,US
36,1958-05-01,3602.0,67895,0.05305250754842036,US
37,1958-06-01,3340.0,67674,0.049354257174099365,US
38,1958-07-01,2955.0,67824,0.0435686482661005,US
39,1958-08-01,3178.0,68037,0.04670987844849126,US
40,1958-09-01,3166.0,68002,0.04655745419252375,US
41,1958-10-01,2969.0,68045,0.04363288999926519,US
42,1958-11-01,2805.0,67658,0.041458511927636055,US
43,1958-12-01,2825.0,67740,0.041703572483023324,US
44,1959-01-01,2749.0,67936,0.04046455487517663,US
45,1959-02-01,2515.0,67649,0.03717719404573608,US
46,1959-03-01,2846.0,68068,0.04181113004642416,US
47,1959-04-01,2592.0,68339,0.037928562021686006,US
48,1959-05-01,2353.0,68178,0.034512599372231514,US
49,1959-06-01,2543.0,68278,0.03724479334485486,US
50,1959-07-01,2668.0,68539,0.03892674243861159,US
51,1959-08-01,2599.0,68432,0.03797930792611644,US
52,1959-09-01,2507.0,68545,0.036574513093588154,US
53,1959-10-01,2730.0,68821,0.03966812455500501,US
54,1959-11-01,2799.0,68533,0.040841638334816806,US
55,1959-12-01,2734.0,68994,0.03962663420007537,US
56,1960-01-01,2507.0,68962,0.03635335402105507,US
57,1960-02-01,2565.0,68949,0.03720140973763216,US
58,1960-03-01,2405.0,68399,0.035161332768022927,US
59,1960-04-01,2769.0,69579,0.03979649032035528,US
60,1960-05-01,2733.0,69626,0.03925257805992014,US
61,1960-06-01,2904.0,69934,0.0415248663025138,US
62,1960-07-01,2830.0,69745,0.04057638540397161,US
63,1960-08-01,2933.0,69841,0.041995389527641355,US
64,1960-09-01,3071.0,70151,0.043776995338626674,US
65,1960-10-01,3069.0,69884,0.043915631618110004,US
66,1960-11-01,3119.0,70439,0.04427944746518264,US
67,1960-12-01,3305.0,70395,0.04694935719866468,US
68,1961-01-01,3428.0,70447,0.04866069527446165,US
69,1961-02-01,3561.0,70420,0.050568020448736165,US
70,1961-03-01,3325.0,70703,0.04702770745230047,US
71,1961-04-01,3295.0,70267,0.046892566923306817,US
72,1961-05-01,3269.0,70452,0.04640038607846477,US
73,1961-06-01,3151.0,70878,0.04445667202799176,US
