Date,GRA Purchases,PRGT 1/2/,Totals,Year,Total (Billion),Total ($),Global GDP ($),GDP (Billion $),IMF Credit/GDP,,,,,As of 31/08/22,$
09/30/2022,91088136681,15386591496,1.06E+11,2022,106.48,138.56,,99175.3,0.14%,,,,,1 SDR =,1.30134
12/31/2021,89474552025,14554823681,1.04E+11,2021,104.03,135.38,9.61E+13,96100.1,0.14%,,,,,,
12/31/2020,93408630285,12481816684,1.06E+11,2020,105.89,137.8,8.49E+13,84906.8,0.16%,,,,,,
12/31/2019,66945509865,6590835450,73536345315,2019,73.54,95.7,8.77E+13,87652.9,0.11%,,,,,,
12/31/2018,55395611392,6426181029,61821792421,2018,61.82,80.45,8.64E+13,86413,0.09%,,,,,,
12/31/2017,39585385873,6522280669,46107666542,2017,46.11,60,8.14E+13,81404,0.07%,,,,,,
12/31/2016,49267630851,6482647937,55750278788,2016,55.75,72.55,7.65E+13,76465.6,0.09%,,,,,,
12/31/2015,50757840741,6575911158,57333751899,2015,57.33,74.61,7.52E+13,75179.3,0.10%,,,,,,
12/31/2014,69041563463,6292755583,75334319046,2014,75.33,98.04,7.97E+13,79708.8,0.12%,,,,,,
12/31/2013,83899249061,6174392682,90073641743,2013,90.07,117.22,7.76E+13,77607.2,0.15%,,,,,,
12/31/2012,90042348252,5766292503,95808640755,2012,95.81,124.68,7.55E+13,75488.1,0.17%,,,,,,
12/31/2011,87276915790,5308609594,92585525384,2011,92.59,120.49,7.39E+13,73853.8,0.16%,,,,,,
12/31/2010,55620104510,4819344134,60439448644,2010,60.44,78.65,6.66E+13,66596.1,0.12%,,,,,,
12/31/2009,37221142436,5079705286,42300847722,2009,42.3,55.05,6.08E+13,60809.1,0.09%,,,,,,
12/31/2008,17514964723,3972372030,21487336753,2008,21.49,27.96,6.41E+13,64123.7,0.04%,,,,,,
12/31/2007,6036146757,3796945581,9833092338,2007,9.83,12.8,5.84E+13,58355,0.02%,,,,,,
12/31/2006,9822640239,3844020520,13666660759,2006,13.67,17.78,5.18E+13,51779.8,0.03%,,,,,,
12/31/2005,28432143237,6282121668,34714264905,2005,34.71,45.18,4.78E+13,47779.7,0.09%,,,,,,
12/31/2004,55373766674,6766029353,62139796027,2004,62.14,80.87,4.41E+13,44117.6,0.18%,,,,,,
12/31/2003,65032062712,6880893268,71912955980,2003,71.91,93.58,3.91E+13,39147,0.24%,,,,,,
12/31/2002,63601058794,6868671012,70469729806,2002,70.47,91.71,3.49E+13,34911.4,0.26%,,,,,,
12/31/2001,53477225409,6424578684,59901804093,2001,59.9,77.95,3.36E+13,33615.4,0.23%,,,,,,
12/31/2000,42990531049,6331595468,49322126517,2000,49.32,64.18,3.38E+13,33830.9,0.19%,,,,,,
12/31/1999,51061861875,6434274362,57496136237,1999,57.5,74.82,3.27E+13,32737.4,0.23%,,,,,,
12/31/1998,60451017051,6288825925,66739842976,1998,66.74,86.85,3.15E+13,31540,0.28%,,,,,,
12/31/1997,46559033783,6009867422,52568901205,1997,52.57,68.41,3.16E+13,31620.4,0.22%,,,,,,
12/31/1996,36127472805,5881609752,42009082557,1996,42.01,54.67,3.17E+13,31736.7,0.17%,,,,,,
12/31/1995,35929173412,5657438528,41586611940,1995,41.59,54.12,3.10E+13,31043.6,0.17%,,,,,,
12/31/1994,25611676952,4599768498,30211445450,1994,30.21,39.32,2.79E+13,27872.3,0.14%,,,,,,
12/31/1993,25196745031,3942792899,29139537930,1993,29.14,37.92,2.58E+13,25822,0.15%,,,,,,
12/31/1992,23967172718,3804463796,27771636514,1992,27.77,36.14,2.54E+13,25406.1,0.14%,,,,,,
12/31/1991,23378573926,3285717796,26664291722,1991,26.66,34.7,2.38E+13,23759.6,0.15%,,,,,,
12/31/1990,20731851093,2571911617,23303762710,1990,23.3,30.33,2.28E+13,22780,0.13%,,,,,,
12/31/1989,22315104224,2334886562,24649990786,1989,24.65,32.08,2.02E+13,20194,0.16%,,,,,,
12/31/1988,24750004884,1773964293,26523969177,1988,26.52,34.52,1.93E+13,19338,0.18%,,,,,,
12/31/1987,28751979125,1866342930,30618322055,1987,30.62,39.84,1.73E+13,17307.2,0.23%,,,,,,
12/31/1986,33334905644,2013169931,35348075575,1986,35.35,46,1.52E+13,15205.3,0.30%,,,,,,
12/31/1985,35194787249,2470247948,37665035197,1985,37.67,49.02,1.29E+13,12860.1,0.38%,,,,,,
12/31/1984,34936772393,2769874900,37706647293,1984,37.71,49.07,1.23E+13,12269.8,0.40%,,,,,,
