CRI Rank,Country,CRI Score ,CO2 per cap,Continent
130,Albania,118,1.62,Europe
125,Algeria,105.17,3.99,Africa
23,Angola,32.33,0.62,Africa
130,Antigua and Barbuda,118,5.03,North America
55,Argentina,60,4.12,South America
113,Armenia,98.17,2.44,Europe
19,Australia,28,15.09,Oceana
47,Austria,56.83,7.24,Europe
130,Azerbaijan,118,3.73,Europe
130,Bahrain,118,26.66,Asia
13,Bangladesh,23.5,0.55,Asia
130,Barbados,118,4,North America
130,Belarus,118,6.22,Europe
64,Belgium,66,8.24,Europe
130,Belize,118,1.72,North America
130,Benin,118,0.6,Africa
130,Bhutan,118,1.96,Asia
10,Bolivia,19.67,1.93,South America
48,Bosnia and Herzegovina,57.83,4.15,Europe
117,Botswana,99.83,2.51,Africa
27,Brazil,33.67,2.28,South America
130,Brunei,118,23.53,Asia
119,Bulgaria,101,6.18,Europe
130,Burkina Faso,118,0.26,Africa
57,Burundi,61.83,0.06,Africa
84,Cambodia,75.83,1.15,Asia
68,Cameroon,67.33,0.34,Africa
62,Canada,65.67,14.3,North America
130,Cape Verde,118,1.14,Africa
70,Central African Republic,67.5,0.04,Africa
130,Chad,118,0.11,Africa
25,Chile,33,4.38,South America
32,China,42.83,8.05,Asia
28,Colombia,36.33,1.78,South America
16,Comoros,25.33,0.36,Africa
130,Costa Rica,118,1.52,North America
129,Cote d'Ivoire,111.67,0.43,Africa
81,Croatia,75.17,4.36,Europe
130,Cyprus,118,6.11,Europe
107,Czech Republic,92.83,9.24,Europe
51,Democratic Republic of Congo,58.67,0.03,Africa
130,Timor-Leste,118,0.56,Asia
82,Denmark,75.5,5.05,Europe
75,Djibouti,73,0.34,Africa
88,Dominica,77.67,2.19,North America
130,Dominican Republic,118,2.6,North America
121,Ecuador,103.83,2.32,South America
120,Egypt,102,2.28,Africa
103,El Salvador,91.83,1.14,North America
130,Eritrea,118,0.23,Africa
83,Estonia,75.67,7.86,Europe
130,Eswatini,118,0.91,Africa
72,Ethiopia,69.33,0.15,Africa
75,Fiji,73,1.59,Oceana
112,Finland,97.83,6.79,Europe
40,France,52.5,4.74,Europe
130,Gabon,118,2.44,Africa
108,Georgia,93.17,2.93,Europe
56,Germany,61.33,8.09,Europe
42,Ghana,53.33,0.65,Africa
36,Greece,45,5.39,Europe
130,Grenada,118,2.56,North America
62,Guatemala,65.67,1.15,North America
115,Guinea,99.17,0.36,Africa
130,Guinea-Bissau,118,0.17,Africa
130,Guyana,118,3.84,South America
50,Haiti,58.33,0.25,North America
79,Honduras,73.33,1.06,North America
97,Hungary,85.83,4.99,Europe
100,Iceland,88.83,9.11,Europe
7,India,16.67,1.93,Asia
14,Indonesia,24.83,2.26,Asia
94,Iraq,84.33,4.26,Asia
123,Ireland,104.5,7.53,Europe
6,Afghanistan,16,0.3,Asia
18,Iran,27,8.52,Asia
128,Israel,108.83,6.13,Asia
35,Italy,43.5,5.55,Europe
130,Jamaica,118,2.72,North America
4,Japan,14.5,8.57,Asia
130,Jordan,118,2.3,Asia
130,Kazakhstan,118,14.41,Europe
25,Kenya,33,0.37,Africa
130,Kiribati,118,0.56,Oceana
60,South Korea,64,11.89,Asia
130,Kosovo,118,3.4,Europe
130,Kuwait,118,24.97,Asia
130,Kyrgyzstan,118,1.43,Asia
45,Laos,55.17,2.8,Asia
98,Latvia,86.83,3.88,Europe
44,Lebanon,54.67,4.46,Asia
61,Lesotho,64.67,1,Africa
101,Liberia,89.5,0.23,Africa
80,Libya,73.67,11.06,Africa
130,Lithuania,118,4.98,Europe
74,Luxembourg,72.83,13.07,Europe
29,Madagascar,40.33,0.15,Africa
5,Malawi,15.17,0.08,Africa
99,Malaysia,87.33,7.63,Asia
111,Maldives,97.33,4.06,Asia
90,Mali,79.67,0.19,Africa
68,Malta,67.33,3.27,Europe
130,Marshall Islands,118,3.78,Oceana
58,Mauritania,63,0.89,Africa
125,Mauritius,105.17,3.44,Africa
54,Mexico,59.5,3.21,North America
130,Moldova,118,1.83,Europe
22,Mongolia,31.67,15.03,Asia
89,Montenegro,78,2.79,Europe
90,Morocco,79.67,1.9,Africa
1,Mozambique,2.67,0.22,Africa
21,Myanmar,31.33,0.67,Asia
113,Namibia,98.17,1.59,Africa
12,Nepal,20,0.47,Asia
109,Netherlands,97.17,8.06,Europe
66,New Zealand,66.33,6.59,Oceana
49,Nicaragua,58,0.74,North America
9,Niger,18.17,0.11,Africa
73,Nigeria,70,0.64,Africa
130,North Macedonia,118,3.26,Europe
106,Norway,92.33,7.57,Europe
95,Oman,84.67,17.92,Asia
15,Pakistan,25,0.99,Asia
127,Panama,108.33,2.99,North America
51,Papua New Guinea,58.67,0.86,Oceana
20,Paraguay,30,1.28,South America
46,Peru,56.33,1.67,South America
17,Philippines,26.67,1.27,Asia
93,Poland,80,8.58,Europe
37,Portugal,48.33,3.96,Europe
130,Qatar,118,35.59,Asia
109,"Congo, Republic of the",97.17,1.28,Africa
53,Yemen,59.33,0.38,Asia
123,Romania,104.5,4.1,Europe
39,Russia,50.67,12.1,Europe
42,Rwanda,53.33,0.13,Africa
130,Samoa,118,1.34,Oceana
75,Saudi Arabia,73,18.7,Asia
70,Senegal,67.5,0.81,Africa
105,Serbia,92,4.23,Europe
130,Seychelles,118,5.34,Africa
86,Sierra Leone,76.5,0.15,Africa
130,Singapore,118,5.47,Asia
87,Slovakia,77.17,6.48,Europe
103,Slovenia,91.83,5.92,Europe
130,Solomon Islands,118,0.45,Oceana
24,South Africa,32.5,7.34,Africa
8,South Sudan,17.33,0.15,Africa
32,Spain,42.83,4.92,Europe
30,Sri Lanka,41.83,0.95,Asia
130,Saint Kitts and Nevis,118,4.99,North America
130,Saint Lucia,118,2.7,North America
130,Saint Vincent and the Grenadines,118,2.05,North America
11,Sudan,19.83,0.46,Africa
130,Suriname,118,4.56,South America
118,Sweden,100.5,3.42,Europe
96,Switzerland,85.5,4.02,Europe
122,Tajikistan,104.33,1.06,Asia
67,Tanzania,66.5,0.21,Africa
34,Thailand,43.17,3.89,Asia
3,Bahamas,6.5,5.85,North America
41,Gambia,53.17,0.25,Africa
130,Togo,118,0.27,Africa
130,Tonga,118,1.65,Oceana
130,Trinidad and Tobago,118,23.68,North America
130,Tunisia,118,2.58,Africa
64,Turkey,66,5.26,Europe
130,Tuvalu,118,0.71,Oceana
31,Uganda,42.17,0.13,Africa
85,Ukraine,76.17,4.64,Europe
130,United Arab Emirates,118,21.79,Asia
102,United Kingdom,90.83,5.15,Europe
90,Uruguay,79.67,1.97,South America
130,Uzbekistan,118,3.57,Asia
75,Vanuatu,73,0.55,Oceana
130,Venezuela,118,2.83,South America
38,Vietnam,50.17,3.34,Asia
59,Zambia,63.33,0.39,Africa
2,Zimbabwe,6.17,0.71,Africa
