date,label,month,quarter,sourceDataset,updateDate,value,year
1979,1979,,,PRDY,2015-09-30T23:00:00.000Z,,1979
1980,1980,,,PRDY,2022-04-06T23:00:00.000Z,-4.1,1980
1981,1981,,,PRDY,2022-04-06T23:00:00.000Z,-2.6,1981
1982,1982,,,PRDY,2022-04-06T23:00:00.000Z,9.0,1982
1983,1983,,,PRDY,2021-01-19T00:00:00.000Z,3.1,1983
1984,1984,,,PRDY,2021-01-19T00:00:00.000Z,3.3,1984
1985,1985,,,PRDY,2021-01-19T00:00:00.000Z,3.6,1985
1986,1986,,,PRDY,2018-01-05T00:00:00.000Z,0.0,1986
1987,1987,,,PRDY,2017-07-04T23:00:00.000Z,0.8,1987
1988,1988,,,PRDY,2021-01-19T00:00:00.000Z,5.8,1988
1989,1989,,,PRDY,2016-07-08T08:30:00.000Z,1.7,1989
1990,1990,,,PRDY,2021-01-19T00:00:00.000Z,1.6,1990
1991,1991,,,PRDY,2022-10-06T23:00:00.000Z,-4.4,1991
1992,1992,,,PRDY,2022-10-06T23:00:00.000Z,5.7,1992
1993,1993,,,PRDY,2022-10-06T23:00:00.000Z,8.8,1993
1994,1994,,,PRDY,2022-10-06T23:00:00.000Z,4.6,1994
1995,1995,,,PRDY,2022-10-06T23:00:00.000Z,-3.7,1995
1996,1996,,,PRDY,2020-11-04T00:00:00.000Z,-1.8,1996
1997,1997,,,PRDY,2022-10-06T23:00:00.000Z,4.9,1997
1998,1998,,,PRDY,2022-10-06T23:00:00.000Z,10.2,1998
1999,1999,,,PRDY,2022-10-06T23:00:00.000Z,11.1,1999
2000,2000,,,PRDY,2022-10-06T23:00:00.000Z,8.4,2000
2001,2001,,,PRDY,2022-10-06T23:00:00.000Z,5.9,2001
2002,2002,,,PRDY,2022-10-06T23:00:00.000Z,10.3,2002
2003,2003,,,PRDY,2022-10-06T23:00:00.000Z,16.5,2003
2004,2004,,,PRDY,2022-10-06T23:00:00.000Z,12.3,2004
2005,2005,,,PRDY,2022-10-06T23:00:00.000Z,3.4,2005
2006,2006,,,PRDY,2022-10-06T23:00:00.000Z,7.9,2006
2007,2007,,,PRDY,2021-10-06T23:00:00.000Z,7.6,2007
2008,2008,,,PRDY,2022-10-06T23:00:00.000Z,-5.2,2008
2009,2009,,,PRDY,2022-10-06T23:00:00.000Z,-18.9,2009
2010,2010,,,PRDY,2022-10-06T23:00:00.000Z,17.3,2010
2011,2011,,,PRDY,2022-10-06T23:00:00.000Z,5.6,2011
2012,2012,,,PRDY,2021-10-06T23:00:00.000Z,-2.5,2012
2013,2013,,,PRDY,2022-10-06T23:00:00.000Z,2.2,2013
2014,2014,,,PRDY,2022-10-06T23:00:00.000Z,2.9,2014
2015,2015,,,PRDY,2022-10-06T23:00:00.000Z,-8.1,2015
2016,2016,,,PRDY,2022-10-06T23:00:00.000Z,-5.8,2016
2017,2017,,,PRDY,2022-10-06T23:00:00.000Z,2.4,2017
2018,2018,,,PRDY,2022-10-06T23:00:00.000Z,9.6,2018
2019,2019,,,PRDY,2022-10-06T23:00:00.000Z,-9.2,2019
2020,2020,,,PRDY,2022-10-26T23:00:00.000Z,7.7,2020
2021,2021,,,PRDY,2022-10-26T23:00:00.000Z,33.2,2021
