Date,GRA Purchases,PRGT 1/2/,Totals,Year,Month,Month,Toal_billion,Inflation,Total_adjusted
08/31/2022,93769635059,15254184552,109023819611,2022,31/2022,31,109.0238196,201.6,54.0792756
12/31/2021,89474552025,14554823681,104029375706,2021,31/2021,31,104.0293757,196.9,52.83360879
12/31/2020,93408630285,12481816684,105890446969,2020,31/2020,31,105.890447,195.7,54.10855747
12/31/2019,66945509865,6590835450,73536345315,2019,31/2019,31,73.53634532,193.9,37.92488154
12/31/2018,55395611392,6426181029,61821792421,2018,31/2018,31,61.82179242,191.5,32.28292032
12/31/2017,39585385873,6522280669,46107666542,2017,31/2017,31,46.10766654,189.4,24.34406892
12/31/2016,49267630851,6482647937,55750278788,2016,31/2016,31,55.75027879,188.1,29.63863838
12/31/2015,50757840741,6575911158,57333751899,2015,31/2015,31,57.3337519,188,30.49667654
12/31/2014,69041563463,6292755583,75334319046,2014,31/2014,31,75.33431905,186.4,40.41540721
12/31/2013,83899249061,6174392682,90073641743,2013,31/2013,31,90.07364174,184.9,48.71478731
12/31/2012,90042348252,5766292503,95808640755,2012,31/2012,31,95.80864076,182.8,52.41172908
12/31/2011,87276915790,5308609594,92585525384,2011,31/2011,31,92.58552538,179.6,51.55096068
12/31/2010,55620104510,4819344134,60439448644,2010,31/2010,31,60.43944864,178,33.95474643
12/31/2009,37221142436,5079705286,42300847722,2009,31/2009,31,42.30084772,178.4,23.71123751
12/31/2008,17514964723,3972372030,21487336753,2008,31/2008,31,21.48733675,174.6,12.30660753
12/31/2007,6036146757,3796945581,9833092338,2007,31/2007,31,9.833092338,171.7,5.726902934
12/31/2006,9822640239,3844020520,13666660759,2006,31/2006,31,13.66666076,168.5,8.110777899
12/31/2005,28432143237,6282121668,34714264905,2005,31/2005,31,34.71426491,165.1,21.02620527
12/31/2004,55373766674,6766029353,62139796027,2004,31/2004,31,62.13979603,162.4,38.2634212
12/31/2003,65032062712,6880893268,71912955980,2003,31/2003,31,71.91295598,160.1,44.91752403
12/31/2002,63601058794,6868671012,70469729806,2002,31/2002,31,70.46972981,158.5,44.46039735
12/31/2001,53477225409,6424578684,59901804093,2001,31/2001,31,59.90180409,155.7,38.47257809
12/31/2000,42990531049,6331595468,49322126517,2000,31/2000,31,49.32212652,152.3,32.38484998
12/31/1999,51061861875,6434274362,57496136237,1999,31/1999,31,57.49613624,150.1,38.30522068
12/31/1998,60451017051,6288825925,66739842976,1998,31/1998,31,66.73984298,148.5,44.9426552
12/31/1997,46559033783,6009867422,52568901205,1997,31/1997,31,52.56890121,146.2,35.95684077
12/31/1996,36127472805,5881609752,42009082557,1996,31/1996,31,42.00908256,143.3,29.3154798
12/31/1995,35929173412,5657438528,41586611940,1995,31/1995,31,41.58661194,140.5,29.59901206
12/31/1994,25611676952,4599768498,30211445450,1994,31/1994,31,30.21144545,137.9,21.9082273
12/31/1993,25196745031,3942792899,29139537930,1993,31/1993,31,29.13953793,134.9,21.60084354
12/31/1992,23967172718,3804463796,27771636514,1992,31/1992,31,27.77163651,131.9,21.05506938
12/31/1991,23378573926,3285717796,26664291722,1991,31/1991,31,26.66429172,127.7,20.88041638
12/31/1990,20731851093,2571911617,23303762710,1990,31/1990,31,23.30376271,122.3,19.0545893
12/31/1989,22315104224,2334886562,24649990786,1989,31/1989,31,24.64999079,117.5,20.97871556
12/31/1988,24750004884,1773964293,26523969177,1988,31/1988,31,26.52396918,113.4,23.38974354
12/31/1987,28751979125,1866342930,30618322055,1987,31/1987,31,30.61832206,109.7,27.91095903
12/31/1986,33334905644,2013169931,35348075575,1986,31/1986,31,35.34807558,107.8,32.79042261
12/31/1985,35194787249,2470247948,37665035197,1985,31/1985,31,37.6650352,104.3,36.11221016
12/31/1984,34936772393,2769874900,37706647293,1984,31/1984,31,37.70664729,100,37.70664729
,,,,,,,,,
,,,,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,,,
,,,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,,,
