Date,GRA Purchases,PRGT 1/2/,RST,Totals,       SDR1 = US$,Total USD,gdp,deflator,growth,Total
12/31/2022,"96,930,343,222","15,871,251,001",0,"112,801,594,223",0.751403,"150,121,298,721.19",0,0.032,3.208095529,46794522590
12/31/2021,"89,474,552,025","14,554,823,681",0,"104,029,375,706",0.714493,"145,598,873,195.40","96,513,077,364,367.90",0.134039044,3.176095529,45842095065
12/31/2020,"93,408,630,285","12,481,816,684",0,"105,890,446,969",0.694315,"152,510,671,624.55","85,105,603,606,117.10",-0.028976492,3.042056485,50134069621
12/31/2019,"66,945,509,865","6,590,835,450",0,"73,536,345,315",0.723157,"101,687,939,569.14","87,645,255,635,476.50",0.013745202,3.071032977,33111966016
12/31/2018,"55,395,611,392","6,426,181,029",0,"61,821,792,421",0.719015,"85,981,227,680.92","86,456,888,252,044.30",0.062115189,3.057287775,28123367509
12/31/2017,"39,585,385,873","6,522,280,669",0,"46,107,666,542",0.702181,"65,663,506,335.26","81,400,670,239,258.90",0.064596175,2.995172586,21923112757
12/31/2016,"49,267,630,851","6,482,647,937",0,"55,750,278,788",0.743864,"74,946,870,379.53","76,461,546,747,208.70",0.016940304,2.930576411,25574105526
12/31/2015,"50,757,840,741","6,575,911,158",0,"57,333,751,899",0.721641,"79,449,133,154.85","75,187,841,840,596.70",-0.05700654,2.913636107,27268035625
12/31/2014,"69,041,563,463","6,292,755,583",0,"75,334,319,046",0.690224,"109,144,740,035.12","79,733,153,025,706.70",0.027393955,2.970642647,36741120699
12/31/2013,"83,899,249,061","6,174,392,682",0,"90,073,641,743",0.649351,"138,713,333,379.02","77,607,185,263,724.00",0.027894064,2.943248691,47129328141
12/31/2012,"90,042,348,252","5,766,292,503",0,"95,808,640,755",0.650652,"147,250,205,570.72","75,501,151,302,966.00",0.022252304,2.915354627,50508505619
12/31/2011,"87,276,915,790","5,308,609,594",0,"92,585,525,384",0.651353,"142,143,392,882.20","73,857,648,457,527.10",0.108877665,2.893102323,49131823558
