Year,South_Africa,Germany,Brazil,Russia
1995,4684000,14847000,1991000,10290000
1996,5186000,15205000,2666000,16208000
1997,5170000,15837000,2850000,17463000
1998,5898000,16511000,4818000,16188000
1999,6026000,17116000,5107000,18820000
2000,6001000,18983000,5313000,21169000
2001,5908000,17861000,4773000,21595000
2002,6550000,17969000,3785000,23309000
2003,6640000,18399000,4133000,22521000
2004,6815000,20137000,4794000,22064000
2005,7518000,21500000,5358000,22201000
2006,8509000,23569000,5017000,22486000
2007,9208000,24421000,5026000,22909000
2008,9729000,24884000,5050000,23676000
2009,9532000,24220000,4802000,21339000
2010,11303000,26875000,5161000,22281000
2011,12097000,28374000,5433000,24932000
2012,13069000,30411000,5677000,28177000
2013,14318000,31545000,5813000,30792000
2014,14530000,32999000,6430000,32421000
2015,13952000,34970000,6306000,33729000
2016,15121000,35555000,6547000,24571000
2017,14975000,37452000,6589000,24390000
2018,15004000,38881000,6621000,24551000
2019,14797000,39563000,6353000,24419000
2020,3886600.098,12449000,,6359000
