,date,band,value,value_%
0,2003/03,<620,72.19,7.449948400412796
1,2003/06,<620,71.41,7.038241671594717
2,2003/09,<620,78.15,7.346996333552694
3,2003/12,<620,90.06,8.75984826378757
4,2004/03,<620,79.29,12.07216808769793
5,2004/06,<620,87.96,12.373048248698831
6,2004/09,<620,96.66,12.285205897305541
7,2004/12,<620,88.88,13.238010128090558
8,2005/03,<620,84.55,12.826152912621358
9,2005/06,<620,87.04,13.76126482213439
10,2005/09,<620,83.95,11.018506365664786
11,2005/12,<620,87.04,10.88
12,2006/03,<620,87.61,12.973493262253813
13,2006/06,<620,100.21,13.746227709190673
14,2006/09,<620,95.41,13.253229615224338
15,2006/12,<620,92.82,14.46019629225736
16,2007/03,<620,114.58,15.242783025143009
17,2007/06,<620,83.17,12.83289615800031
18,2007/09,<620,81.25,11.575723037469725
19,2007/12,<620,53.46,10.388651379712398
20,2008/03,<620,45.92,10.132391879964695
21,2008/06,<620,45.04,8.073131385552966
22,2008/09,<620,34.78,8.83189436262062
23,2008/12,<620,29.66,9.821192052980132
24,2009/03,<620,31.26,7.862173038229376
25,2009/06,<620,25.83,5.003874467260751
26,2009/09,<620,24.25,4.742812438881283
27,2009/12,<620,22.01,5.604787369493253
28,2010/03,<620,24.06,6.339920948616601
29,2010/06,<620,16.53,4.518862766539092
30,2010/09,<620,17.62,4.5283988691853
31,2010/12,<620,18.87,4.075593952483802
32,2011/03,<620,13.01,2.6166532582461786
33,2011/06,<620,11.62,3.3020744529695936
34,2011/09,<620,12.89,4.409852890865549
35,2011/12,<620,15.7,3.8851769364018804
36,2012/03,<620,13.03,3.164157357940748
37,2012/06,<620,10.82,2.343005630142919
38,2012/09,<620,15.44,2.965808682289665
39,2012/12,<620,16.43,2.972141823444284
40,2013/03,<620,16.0,2.7739251040221915
41,2013/06,<620,18.42,3.181896700639144
42,2013/09,<620,16.8,3.0612244897959187
43,2013/12,<620,16.22,3.593265396544085
44,2014/03,<620,16.19,4.877975293763182
45,2014/06,<620,11.77,4.119705985299265
46,2014/09,<620,16.35,4.851632047477746
47,2014/12,<620,14.92,4.212309429700734
