Reigon,Percentage of Population who own/use crypto,Real GDP growth (Annual percent change),Population (2021)
Argentina,35,4,45808747
Australia,18,3.8,25739256
Austria,14,4.7,8956279
Belgium,15,2.4,11587882
Brazil,24,2.8,213993441
Canada,14,3.3,38246108
Chile,14,2,19212362
China,9,3.2,1412360000
Colombia,16,7.6,51265841
Czechia,13,1.9,10703446
Denmark,12,2.6,5856733
Dominican Republic,15,5.3,10953714
Egypt,14,6.6,104258327
Finland,12,2.1,5541696
France,9,2.5,67499343
Germany,12,1.5,83129285
Greece,18,5.2,10664568
Hong Kong,16,-0.8,7413100
Hungary,12,5.7,9709886
India,25,6.8,1393409033
Indonesia,19,5.3,276361788
Ireland,15,9,5028230
Israel,10,6.1,9364000
Italy,11,3.2,59066225
Japan,13,1.7,125681593
Kenya,19,5.3,54985702
Lithuania,14,1.8,2795321
Malaysia,20,5.4,32776195
Mexico,13,2.1,130262220
Morocco,12,0.8,37344787
Netherlands,20,4.5,17533405
New Zealand,15,2.3,5122600
Nigeria,45,3.2,211400704
Norway,15,3.6,5408320
Pakistan,19,6,225199929
Peru,14,2.7,33359416
Philippines,29,6.5,111046910
Poland,11,3.8,37781024
Portugal,15,6.2,10299423
Romania,14,4.8,19115146
Saudi Arabia,20,7.6,35340680
Serbia,13,3.5,6844078
Singapore,25,3,5453566
South Africa,24,2.1,60041996
Spain,16,4.3,47326687
Sweden,11,2.6,10415811
Switzerland,20,2.2,8697723
Taiwan,14,3.3,"23,855,010"
Thailand,44,2.8,69950844
Turkey,40,5,85042736
United Arab Emirates,34,5.1,9991083
United Kingdom,11,3.6,67326569
United States,16,1.6,331893745
Vietnam,27,7,98168829
