Country,Date,Unemployment Rate
GBR,2005-01,4.8
GBR,2005-02,4.7
GBR,2005-03,4.7
GBR,2005-04,4.8
GBR,2005-05,4.8
GBR,2005-06,4.7
GBR,2005-07,4.7
GBR,2005-08,4.7
GBR,2005-09,4.9
GBR,2005-10,5.1
GBR,2005-11,5.1
GBR,2005-12,5.1
GBR,2006-01,5.2
GBR,2006-02,5.2
GBR,2006-03,5.3
GBR,2006-04,5.4
GBR,2006-05,5.5
GBR,2006-06,5.5
GBR,2006-07,5.5
GBR,2006-08,5.5
GBR,2006-09,5.5
GBR,2006-10,5.4
GBR,2006-11,5.5
GBR,2006-12,5.5
GBR,2007-01,5.5
GBR,2007-02,5.5
GBR,2007-03,5.5
GBR,2007-04,5.4
GBR,2007-05,5.4
GBR,2007-06,5.3
GBR,2007-07,5.3
GBR,2007-08,5.3
GBR,2007-09,5.2
GBR,2007-10,5.2
GBR,2007-11,5.2
GBR,2007-12,5.2
GBR,2008-01,5.2
GBR,2008-02,5.2
GBR,2008-03,5.3
GBR,2008-04,5.2
GBR,2008-05,5.4
GBR,2008-06,5.5
GBR,2008-07,5.7
GBR,2008-08,5.9
GBR,2008-09,6.0
GBR,2008-10,6.2
GBR,2008-11,6.4
GBR,2008-12,6.5
GBR,2009-01,6.7
GBR,2009-02,7.1
GBR,2009-03,7.3
GBR,2009-04,7.6
GBR,2009-05,7.8
GBR,2009-06,7.9
GBR,2009-07,7.9
GBR,2009-08,7.8
GBR,2009-09,7.9
GBR,2009-10,7.8
GBR,2009-11,7.8
GBR,2009-12,7.7
GBR,2010-01,7.9
GBR,2010-02,8.0
GBR,2010-03,8.0
GBR,2010-04,7.9
GBR,2010-05,7.9
GBR,2010-06,7.8
GBR,2010-07,7.8
GBR,2010-08,7.8
GBR,2010-09,7.9
GBR,2010-10,7.9
GBR,2010-11,7.9
GBR,2010-12,7.9
GBR,2011-01,7.8
GBR,2011-02,7.8
GBR,2011-03,7.7
GBR,2011-04,7.8
GBR,2011-05,7.9
GBR,2011-06,8.0
GBR,2011-07,8.2
GBR,2011-08,8.3
GBR,2011-09,8.4
GBR,2011-10,8.5
GBR,2011-11,8.4
GBR,2011-12,8.4
GBR,2012-01,8.3
GBR,2012-02,8.2
GBR,2012-03,8.2
GBR,2012-04,8.1
GBR,2012-05,8.0
GBR,2012-06,8.0
GBR,2012-07,7.9
GBR,2012-08,7.9
GBR,2012-09,7.9
GBR,2012-10,7.8
GBR,2012-11,7.8
GBR,2012-12,7.8
GBR,2013-01,8.0
GBR,2013-02,7.8
GBR,2013-03,7.8
GBR,2013-04,7.8
GBR,2013-05,7.7
GBR,2013-06,7.7
GBR,2013-07,7.7
GBR,2013-08,7.6
GBR,2013-09,7.4
GBR,2013-10,7.2
GBR,2013-11,7.2
GBR,2013-12,7.2
GBR,2014-01,6.9
GBR,2014-02,6.8
GBR,2014-03,6.6
GBR,2014-04,6.4
GBR,2014-05,6.3
GBR,2014-06,6.1
GBR,2014-07,6.0
