Type,Time,Value,Value2,Detail,
Human,1561-1570,4373,19167,Value = energy consumption in megajoules,Value2 = Total for the time period
Draught Animal,1561-1570,6210,16927,,
Firewood,1561-1570,6324,20253,,
Wind,1561-1570,59,29602,,
Water,1561-1570,162,35089,,
Coal,1561-1570,2039,52347,,
Human,1600-1609,4161,96463,,
Draught Animal,1600-1609,4647,,,
Firewood,1600-1609,4729,,,
Wind,1600-1609,85,,,
Water,1600-1609,152,,,
Coal,1600-1609,3153,,,
Human,1650-1659,4521,,,
Draught Animal,1650-1659,4802,,,
Firewood,1650-1659,3849,,,
Wind,1650-1659,153,,,
Water,1650-1659,156,,,
Coal,1650-1659,6772,,,
Human,1700-1709,4789,,,
Draught Animal,1700-1709,5744,,,
Firewood,1700-1709,3939,,,
Wind,1700-1709,238,,,
Water,1700-1709,173,,,
Coal,1700-1709,14719,,,
Human,1750-1759,4519,,,
Draught Animal,1750-1759,5113,,,
Firewood,1750-1759,3429,,,
Wind,1750-1759,427,,,
Water,1750-1759,198,,,
Coal,1750-1759,21403,,,
Human,1800-1809,4233,,,
Draught Animal,1800-1809,3471,,,
Firewood,1800-1809,1877,,,
Wind,1800-1809,1282,,,
Water,1800-1809,111,,,
Coal,1800-1809,41373,,,
Human,1850-1859,3564,,,
Draught Animal,1850-1859,2633,,,
Firewood,1850-1859,118,,,
Wind,1850-1859,1280,,,
Water,1850-1859,89,,,
Coal,1850-1859,88779,,,
