Team,Type,Value
Manchester United F.C.,Rank,1
Chelsea F.C.,Rank,2
Manchester City F.C.,Rank,3
Liverpool F.C.,Rank,4
Tottenham Hotspur F.C.,Rank,5
Arsenal F.C.,Rank,6
Aston Villa F.C.,Rank,7
Leicester City,Rank,8
West Ham United F.C.,Rank,9
Newcastle United F.C.,Rank,10
Crystal Palace,Rank,11
Everton F.C.,Rank,12
Wolves F.C.,Rank,13
Fulham F.C.,Rank,14
Southampton F.C.,Rank,15
AFC Bournemouth,Rank,16
Nottingham Forest F.C.,Rank,17
Brighton & Hove Albion,Rank,18
Brentford F.C.,Rank,19
Leeds United F.C.,Rank,20
Manchester United F.C.,Active Players,29
Chelsea F.C.,Active Players,27
Manchester City F.C.,Active Players,24
Liverpool F.C.,Active Players,28
Tottenham Hotspur F.C.,Active Players,25
Arsenal F.C.,Active Players,25
Aston Villa F.C.,Active Players,26
Leicester City,Active Players,26
West Ham United F.C.,Active Players,28
Newcastle United F.C.,Active Players,30
Crystal Palace,Active Players,24
Everton F.C.,Active Players,28
Wolves F.C.,Active Players,31
Fulham F.C.,Active Players,28
Southampton F.C.,Active Players,25
AFC Bournemouth,Active Players,27
Nottingham Forest F.C.,Active Players,33
Brighton & Hove Albion,Active Players,22
Brentford F.C.,Active Players,27
Leeds United F.C.,Active Players,27
Manchester United F.C.,Forwards,"£84,170,000"
Chelsea F.C.,Forwards,"£22,464,000"
Manchester City F.C.,Forwards,"£22,100,000"
Liverpool F.C.,Forwards,"£51,242,000"
Tottenham Hotspur F.C.,Forwards,"£39,104,000"
Arsenal F.C.,Forwards,"£22,360,000"
Aston Villa F.C.,Forwards,"£20,560,000"
Leicester City,Forwards,"£15,970,000"
West Ham United F.C.,Forwards,"£10,880,000"
Newcastle United F.C.,Forwards,"£21,473,600"
Crystal Palace,Forwards,"£16,155,000"
Everton F.C.,Forwards,"£7,975,000"
Wolves F.C.,Forwards,"£16,510,000"
Fulham F.C.,Forwards,"£6,370,000"
Southampton F.C.,Forwards,"£13,930,000"
AFC Bournemouth,Forwards,"£6,920,000"
Nottingham Forest F.C.,Forwards,"£1,700,000"
Brighton & Hove Albion,Forwards,"£5,070,000"
Brentford F.C.,Forwards,"£1,712,000"
Leeds United F.C.,Forwards,"£6,830,000"
Manchester United F.C.,Midfielders,"£51,480,000"
Chelsea F.C.,Midfielders,"£86,080,000"
Manchester City F.C.,Midfielders,"£89,360,000"
Liverpool F.C.,Midfielders,"£47,580,000"
Tottenham Hotspur F.C.,Midfielders,"£29,905,200"
Arsenal F.C.,Midfielders,"£36,990,000"
Aston Villa F.C.,Midfielders,"£26,565,396"
Leicester City,Midfielders,"£28,168,000"
West Ham United F.C.,Midfielders,"£22,456,000"
Newcastle United F.C.,Midfielders,"£14,471,000"
Crystal Palace,Midfielders,"£15,470,000"
Everton F.C.,Midfielders,"£8,620,000"
Wolves F.C.,Midfielders,"£12,260,000"
Fulham F.C.,Midfielders,"£13,404,024"
Southampton F.C.,Midfielders,"£10,764,000"
AFC Bournemouth,Midfielders,"£12,140,000"
Nottingham Forest F.C.,Midfielders,"£13,540,000"
Brighton & Hove Albion,Midfielders,"£12,062,000"
Brentford F.C.,Midfielders,"£7,720,000"
Leeds United F.C.,Midfielders,"£1,859,000"
Manchester United F.C.,Defensemen,"£67,775,000"
Chelsea F.C.,Defensemen,"£62,140,000"
Manchester City F.C.,Defensemen,"£58,880,000"
Liverpool F.C.,Defensemen,"£46,000,000"
Tottenham Hotspur F.C.,Defensemen,"£29,450,000"
Arsenal F.C.,Defensemen,"£22,930,000"
Aston Villa F.C.,Defensemen,"£27,216,000"
Leicester City,Defensemen,"£22,735,000"
West Ham United F.C.,Defensemen,"£23,430,000"
Newcastle United F.C.,Defensemen,"£27,919,600"
Crystal Palace,Defensemen,"£21,228,000"
Everton F.C.,Defensemen,"£23,148,000"
Wolves F.C.,Defensemen,"£10,206,000"
Fulham F.C.,Defensemen,"£17,372,800"
Southampton F.C.,Defensemen,"£8,040,000"
AFC Bournemouth,Defensemen,"£9,766,000"
Nottingham Forest F.C.,Defensemen,"£8,420,000"
Brighton & Hove Albion,Defensemen,"£9,896,000"
Brentford F.C.,Defensemen,"£5,044,000"
Leeds United F.C.,Defensemen,"£5,354,000"
Manchester United F.C.,Goalkeepers,"£23,656,000"
Chelsea F.C.,Goalkeepers,"£12,324,000"
Manchester City F.C.,Goalkeepers,"£7,540,000"
Liverpool F.C.,Goalkeepers,"£11,128,000"
Tottenham Hotspur F.C.,Goalkeepers,"£9,180,000"
Arsenal F.C.,Goalkeepers,"£10,320,000"
Aston Villa F.C.,Goalkeepers,"£7,046,000"
Leicester City,Goalkeepers,"£2,600,000"
West Ham United F.C.,Goalkeepers,"£11,720,000"
Newcastle United F.C.,Goalkeepers,"£1,900,000"
Crystal Palace,Goalkeepers,"£6,572,000"
Everton F.C.,Goalkeepers,"£6,140,000"
Wolves F.C.,Goalkeepers,"£2,140,000"
Fulham F.C.,Goalkeepers,"£490,000"
Southampton F.C.,Goalkeepers,"£3,490,000"
AFC Bournemouth,Goalkeepers,"£280,000"
Nottingham Forest F.C.,Goalkeepers,"£5,330,000"
Brighton & Hove Albion,Goalkeepers,"£1,353,333"
Brentford F.C.,Goalkeepers,"£1,300,000"
Leeds United F.C.,Goalkeepers,"£1,714,000"
Manchester United F.C.,Transfer Fees,"£261,830,000"
Chelsea F.C.,Transfer Fees,"£313,280,000"
Manchester City F.C.,Transfer Fees,"£153,170,000"
Liverpool F.C.,Transfer Fees,"£94,370,000"
Tottenham Hotspur F.C.,Transfer Fees,"£167,090,000"
Arsenal F.C.,Transfer Fees,"£145,270,000"
Aston Villa F.C.,Transfer Fees,"£76,450,000"
Leicester City,Transfer Fees,"£18,700,000"
West Ham United F.C.,Transfer Fees,"£200,210,000"
Newcastle United F.C.,Transfer Fees,"£149,600,000"
Crystal Palace,Transfer Fees,"£36,630,000"
Everton F.C.,Transfer Fees,"£68,420,000"
Wolves F.C.,Transfer Fees,"£131,890,000"
Fulham F.C.,Transfer Fees,"£65,120,000"
Southampton F.C.,Transfer Fees,"£72,380,000"
AFC Bournemouth,Transfer Fees,"£29,590,000"
Nottingham Forest F.C.,Transfer Fees,"£164,670,000"
Brighton & Hove Albion,Transfer Fees,"£43,780,000"
Brentford F.C.,Transfer Fees,"£55,550,000"
Leeds United F.C.,Transfer Fees,"£98,970,000"
Manchester United F.C.,Estimated Total Salary,227081000
Chelsea F.C.,Estimated Total Salary,188008000
Manchester City F.C.,Estimated Total Salary,177880000
Liverpool F.C.,Estimated Total Salary,155950000
Tottenham Hotspur F.C.,Estimated Total Salary,107639200
Arsenal F.C.,Estimated Total Salary,92600000
Aston Villa F.C.,Estimated Total Salary,81387396
Leicester City,Estimated Total Salary,69473000
West Ham United F.C.,Estimated Total Salary,68486000
Newcastle United F.C.,Estimated Total Salary,65764200
Crystal Palace,Estimated Total Salary,59425000
Everton F.C.,Estimated Total Salary,45883000
Wolves F.C.,Estimated Total Salary,41116000
Fulham F.C.,Estimated Total Salary,37636824
Southampton F.C.,Estimated Total Salary,36224000
AFC Bournemouth,Estimated Total Salary,29106000
Nottingham Forest F.C.,Estimated Total Salary,28990000
Brighton & Hove Albion,Estimated Total Salary,28381333
Brentford F.C.,Estimated Total Salary,15776000
Leeds United F.C.,Estimated Total Salary,15757000
