date,Approve
09/02/2011,0.3
16/02/2011,0.3
23/02/2011,0.3
02/03/2011,0.3
09/03/2011,0.29
16/03/2011,0.29
23/03/2011,0.31
30/03/2011,0.32
06/04/2011,0.31
13/04/2011,0.31
20/04/2011,0.3
27/04/2011,0.32
03/05/2011,0.32
11/05/2011,0.33
18/05/2011,0.33
25/05/2011,0.32
01/06/2011,0.33
08/06/2011,0.31
15/06/2011,0.3
22/06/2011,0.3
29/06/2011,0.3
06/07/2011,0.29
12/07/2011,0.29
20/07/2011,0.29
27/07/2011,0.29
03/08/2011,0.3
10/08/2011,0.29
17/08/2011,0.29
24/08/2011,0.29
31/08/2011,0.3
07/09/2011,0.3
14/09/2011,0.3
21/09/2011,0.3
28/09/2011,0.3
05/10/2011,0.31
12/10/2011,0.3
19/10/2011,0.29
26/10/2011,0.28
02/11/2011,0.29
09/11/2011,0.28
16/11/2011,0.28
23/11/2011,0.28
30/11/2011,0.28
07/12/2011,0.29
14/12/2011,0.32
21/12/2011,0.32
22/12/2011,0.31
04/01/2012,0.32
11/01/2012,0.33
18/01/2012,0.32
24/01/2012,0.32
01/02/2012,0.33
08/02/2012,0.31
15/02/2012,0.31
22/02/2012,0.3
29/02/2012,0.31
07/03/2012,0.3
14/03/2012,0.29
21/03/2012,0.29
28/03/2012,0.27
04/04/2012,0.23
11/04/2012,0.26
18/04/2012,0.24
25/04/2012,0.23
02/05/2012,0.23
09/05/2012,0.23
16/05/2012,0.24
23/05/2012,0.24
30/05/2012,0.24
06/06/2012,0.25
13/06/2012,0.24
20/06/2012,0.24
27/06/2012,0.26
04/07/2012,0.24
11/07/2012,0.25
18/07/2012,0.24
25/07/2012,0.24
01/08/2012,0.25
08/08/2012,0.24
15/08/2012,0.25
21/08/2012,0.24
29/08/2012,0.23
05/09/2012,0.23
12/09/2012,0.23
19/09/2012,0.25
26/09/2012,0.24
03/10/2012,0.24
10/10/2012,0.25
17/10/2012,0.26
24/10/2012,0.25
31/10/2012,0.27
06/11/2012,0.27
14/11/2012,0.27
21/11/2012,0.26
28/11/2012,0.26
05/12/2012,0.26
12/12/2012,0.26
19/12/2012,0.26
21/12/2012,0.26
02/01/2013,0.25
09/01/2013,0.26
15/01/2013,0.27
23/01/2013,0.27
30/01/2013,0.27
06/02/2013,0.26
12/02/2013,0.26
20/02/2013,0.25
27/02/2013,0.25
06/03/2013,0.24
12/03/2013,0.24
20/03/2013,0.24
27/03/2013,0.24
03/04/2013,0.25
09/04/2013,0.26
16/04/2013,0.27
24/04/2013,0.27
30/04/2013,0.27
08/05/2013,0.25
15/05/2013,0.25
22/05/2013,0.24
29/05/2013,0.25
05/06/2013,0.25
12/06/2013,0.25
19/06/2013,0.25
26/06/2013,0.26
03/07/2013,0.26
10/07/2013,0.27
16/07/2013,0.27
24/07/2013,0.28
30/07/2013,0.29
07/08/2013,0.28
14/08/2013,0.28
21/08/2013,0.28
28/08/2013,0.28
04/09/2013,0.28
11/09/2013,0.28
18/09/2013,0.3
23/09/2013,0.29
02/10/2013,0.3
09/10/2013,0.32
16/10/2013,0.31
23/10/2013,0.29
30/10/2013,0.28
06/11/2013,0.28
12/11/2013,0.28
20/11/2013,0.29
27/11/2013,0.29
04/12/2013,0.28
10/12/2013,0.29
12/12/2013,0.32
19/12/2013,0.3
08/01/2014,0.29
15/01/2014,0.29
22/01/2014,0.29
29/01/2014,0.31
30/01/2014,0.32
12/02/2014,0.3
18/02/2014,0.3
26/02/2014,0.31
05/03/2014,0.32
12/03/2014,0.31
19/03/2014,0.31
26/03/2014,0.34
02/04/2014,0.33
09/04/2014,0.32
16/04/2014,0.32
23/04/2014,0.33
30/04/2014,0.32
07/05/2014,0.32
14/05/2014,0.32
21/05/2014,0.32
28/05/2014,0.31
04/06/2014,0.32
11/06/2014,0.31
18/06/2014,0.33
25/06/2014,0.31
01/07/2014,0.31
09/07/2014,0.31
16/07/2014,0.31
23/07/2014,0.3
30/07/2014,0.32
04/08/2014,0.32
12/08/2014,0.32
20/08/2014,0.31
27/08/2014,0.31
03/09/2014,0.3
10/09/2014,0.31
17/09/2014,0.31
24/09/2014,0.31
01/10/2014,0.31
08/10/2014,0.33
15/10/2014,0.31
22/10/2014,0.31
29/10/2014,0.31
05/11/2014,0.31
12/11/2014,0.31
19/11/2014,0.31
26/11/2014,0.31
03/12/2014,0.31
09/12/2014,0.31
17/12/2014,0.31
22/12/2014,0.31
07/01/2015,0.32
14/01/2015,0.31
21/01/2015,0.32
28/01/2015,0.33
04/02/2015,0.33
11/02/2015,0.32
18/02/2015,0.32
24/02/2015,0.33
04/03/2015,0.33
11/03/2015,0.34
18/03/2015,0.34
25/03/2015,0.37
01/04/2015,0.36
08/04/2015,0.37
15/04/2015,0.37
21/04/2015,0.37
28/04/2015,0.37
05/05/2015,0.38
13/05/2015,0.41
18/05/2015,0.4
26/05/2015,0.41
02/06/2015,0.4
10/06/2015,0.4
16/06/2015,0.4
24/06/2015,0.4
01/07/2015,0.39
07/07/2015,0.37
13/07/2015,0.4
24/08/2015,0.37
18/09/2015,0.37
26/10/2015,0.35
23/11/2015,0.32
23/12/2015,0.32
25/01/2016,0.33
23/02/2016,0.29
21/03/2016,0.22
25/04/2016,0.22
02/05/2016,0.24
20/05/2016,0.24
05/06/2016,0.18
04/07/2016,0.22
22/07/2016,0.27
01/09/2016,0.26
19/09/2016,0.25
24/10/2016,0.29
22/11/2016,0.28
15/12/2016,0.26
24/01/2017,0.3
20/02/2017,0.3
29/03/2017,0.34
21/04/2017,0.35
28/04/2017,0.35
22/05/2017,0.32
26/06/2017,0.24
24/07/2017,0.23
24/08/2017,0.23
27/09/2017,0.21
19/10/2017,0.21
17/11/2017,0.2
15/12/2017,0.2
28/02/2018,0.24
24/03/2018,0.25
19/04/2018,0.29
26/04/2018,0.26
11/06/2018,0.23
04/07/2018,0.25
24/07/2018,0.18
22/08/2018,0.2
21/09/2018,0.19
23/10/2018,0.21
22/11/2018,0.19
17/12/2018,0.2
23/01/2019,0.13
27/03/2019,0.11
01/05/2019,0.11
13/05/2019,0.09
24/06/2019,0.1
01/07/2019,0.11
08/07/2019,0.1
14/07/2019,0.14
22/07/2019,0.1
29/07/2019,0.14
05/08/2019,0.15
11/08/2019,0.2
19/08/2019,0.16
26/08/2019,0.18
02/09/2019,0.22
09/09/2019,0.16
16/09/2019,0.18
23/09/2019,0.17
30/09/2019,0.17
06/10/2019,0.2
14/10/2019,0.18
21/10/2019,0.22
28/10/2019,0.2
04/11/2019,0.19
11/11/2019,0.22
18/11/2019,0.21
25/11/2019,0.22
01/12/2019,0.22
16/12/2019,0.27
23/12/2019,0.34
30/12/2019,0.32
06/01/2020,0.3
13/01/2020,0.33
20/01/2020,0.32
27/01/2020,0.33
03/02/2020,0.35
09/02/2020,0.36
17/02/2020,0.34
24/02/2020,0.34
02/03/2020,0.33
09/03/2020,0.36
16/03/2020,0.39
23/03/2020,0.52
30/03/2020,0.52
06/04/2020,0.5
13/04/2020,0.5
20/04/2020,0.47
27/04/2020,0.47
03/05/2020,0.49
10/05/2020,0.44
18/05/2020,0.39
25/05/2020,0.37
02/06/2020,0.35
08/06/2020,0.32
15/06/2020,0.34
22/06/2020,0.32
29/06/2020,0.35
06/07/2020,0.34
13/07/2020,0.36
20/07/2020,0.32
27/07/2020,0.35
03/08/2020,0.34
10/08/2020,0.3
17/08/2020,0.29
24/08/2020,0.3
31/08/2020,0.31
07/09/2020,0.3
14/09/2020,0.3
21/09/2020,0.27
28/09/2020,0.29
05/10/2020,0.27
12/10/2020,0.28
18/10/2020,0.27
26/10/2020,0.27
02/11/2020,0.26
09/11/2020,0.28
15/11/2020,0.28
23/11/2020,0.27
30/11/2020,0.28
07/12/2020,0.27
14/12/2020,0.28
20/12/2020,0.27
28/12/2020,0.31
04/01/2021,0.32
11/01/2021,0.31
18/01/2021,0.29
25/01/2021,0.3
01/02/2021,0.32
08/02/2021,0.33
15/02/2021,0.3
22/02/2021,0.35
01/03/2021,0.36
08/03/2021,0.35
15/03/2021,0.37
22/03/2021,0.37
29/03/2021,0.35
05/04/2021,0.36
12/04/2021,0.38
19/04/2021,0.37
26/04/2021,0.36
03/05/2021,0.38
10/05/2021,0.4
17/05/2021,0.39
24/05/2021,0.38
31/05/2021,0.36
07/06/2021,0.37
14/06/2021,0.36
21/06/2021,0.33
28/06/2021,0.32
05/07/2021,0.32
12/07/2021,0.33
19/07/2021,0.31
26/07/2021,0.29
02/08/2021,0.31
09/08/2021,0.31
16/08/2021,0.29
23/08/2021,0.27
29/08/2021,0.27
06/09/2021,0.27
12/09/2021,0.26
19/09/2021,0.29
26/09/2021,0.26
04/10/2021,0.25
11/10/2021,0.28
18/10/2021,0.26
25/10/2021,0.25
01/11/2021,0.26
07/11/2021,0.23
15/11/2021,0.23
22/11/2021,0.22
29/11/2021,0.25
05/12/2021,0.26
13/12/2021,0.2
20/12/2021,0.22
27/12/2021,0.24
02/01/2022,0.24
10/01/2022,0.23
17/01/2022,0.2
24/01/2022,0.23
31/01/2022,0.23
06/02/2022,0.18
13/02/2022,0.21
21/02/2022,0.21
28/02/2022,0.25
07/03/2022,0.24
14/03/2022,0.23
20/03/2022,0.25
28/03/2022,0.25
04/04/2022,0.21
11/04/2022,0.23
18/04/2022,0.22
24/04/2022,0.23
02/05/2022,0.21
08/05/2022,0.22
16/05/2022,0.21
22/05/2022,0.22
29/05/2022,0.22
06/06/2022,0.21
13/06/2022,0.22
19/06/2022,0.21
27/06/2022,0.22
03/07/2022,0.19
11/07/2022,0.2
17/07/2022,0.2
25/07/2022,0.21
31/07/2022,0.21
08/08/2022,0.18
15/08/2022,0.18
22/08/2022,0.18
29/08/2022,0.17
05/09/2022,0.18
12/09/2022,0.21
25/09/2022,0.17
02/10/2022,0.11
