average,end,start
0.033405069567977,2019-01-01T12:59:30.127000Z,2019-01-01T11:18:35.384000Z
0.033587446287274,2019-01-02T14:20:39.340000Z,2019-01-02T12:38:49.518000Z
0.032912520038192006,2019-01-03T14:02:10.049000Z,2019-01-03T12:20:06.427000Z
0.033702127936789006,2019-01-04T13:43:15.878000Z,2019-01-04T12:01:37.935000Z
0.032870046895553,2019-01-05T13:24:37.064000Z,2019-01-05T11:43:01.282000Z
0.034331248995996,2019-01-06T13:05:41.560000Z,2019-01-06T11:24:29.299000Z
0.031879960290259,2019-01-07T12:47:07.901000Z,2019-01-07T12:45:12.344000Z
0.033116609994799005,2019-01-08T14:08:33.938000Z,2019-01-08T12:26:23.597000Z
0.033363566926584,2019-01-09T13:49:47.562000Z,2019-01-09T12:07:40.221000Z
0.031811060546221,2019-01-10T13:31:05.264000Z,2019-01-10T11:49:25.402000Z
0.030839344878730003,2019-01-11T13:12:20.206000Z,2019-01-11T11:31:01.704000Z
0.031797632100243,2019-01-12T12:53:32.625000Z,2019-01-12T12:52:29.986000Z
0.031134235172066003,2019-01-13T14:14:56.588000Z,2019-01-13T12:32:45.407000Z
0.032469220552593,2019-01-14T13:56:16.087000Z,2019-01-14T12:13:51.946000Z
0.030111957462580004,2019-01-15T13:37:14.827000Z,2019-01-15T11:55:17.205000Z
0.029663473229717,2019-01-16T13:18:44.766000Z,2019-01-16T11:36:45.464000Z
0.034280519624044,2019-01-17T12:59:53.466000Z,2019-01-17T11:18:40.604000Z
0.032466247209057005,2019-01-18T14:21:21.506000Z,2019-01-18T12:38:50.885000Z
0.032484486377958005,2019-01-19T14:02:52.200000Z,2019-01-19T12:20:04.901000Z
0.034258989665766,2019-01-20T13:44:04.495000Z,2019-01-20T12:01:27.395000Z
0.03546905813908,2019-01-21T13:24:48.771000Z,2019-01-21T11:42:54.630000Z
0.029143574707051003,2019-01-22T13:06:10.546000Z,2019-01-22T11:24:28.525000Z
0.032164442500677,2019-01-23T14:28:06.425000Z,2019-01-23T11:07:34.458000Z
0.032229180997681,2019-01-24T14:09:12.122000Z,2019-01-24T12:26:27.462000Z
0.032220653422144,2019-01-25T13:50:27.297000Z,2019-01-25T12:07:38.317000Z
0.029888335070232003,2019-01-26T13:30:59.509000Z,2019-01-26T11:50:13.647000Z
0.032124552924408,2019-01-27T13:12:26.438000Z,2019-01-27T11:30:41.177000Z
0.032887060669999,2019-01-28T12:53:36.806000Z,2019-01-28T11:14:15.182000Z
0.030206881333142,2019-01-29T14:15:42.755000Z,2019-01-29T12:32:31.096000Z
0.030857142679793004,2019-01-30T13:56:50.602000Z,2019-01-30T12:13:54.063000Z
0.033366439828219005,2019-01-31T13:37:44.888000Z,2019-01-31T11:55:20.748000Z
0.032611342634481004,2019-02-01T13:18:45.013000Z,2019-02-01T11:36:42.233000Z
0.035203741104514005,2019-02-02T12:59:49.737000Z,2019-02-02T11:18:28.236000Z
0.034631684285245004,2019-02-03T14:22:13.439000Z,2019-02-03T12:38:48.342000Z
0.033123699514703,2019-02-04T14:03:09.161000Z,2019-02-04T12:20:18.023000Z
0.031604904605106,2019-02-05T13:42:55.886000Z,2019-02-05T12:01:33.305000Z
0.03285284438746,2019-02-06T13:25:02.046000Z,2019-02-06T11:44:20.025000Z
0.033288308817215,2019-02-07T13:06:08.568000Z,2019-02-07T11:24:24.388000Z
0.030695171858695,2019-02-08T14:28:03.949000Z,2019-02-08T12:45:06.090000Z
0.033391300677543,2019-02-09T14:09:30.627000Z,2019-02-09T12:26:23.289000Z
0.032863431621387,2019-02-10T13:50:24.667000Z,2019-02-10T12:07:36.769000Z
0.037669687618811,2019-02-11T13:30:06.471000Z,2019-02-11T11:49:03.330000Z
0.032071875210138004,2019-02-12T13:12:24.030000Z,2019-02-12T11:31:20.649000Z
0.033382164593786005,2019-02-13T12:53:29.950000Z,2019-02-13T11:13:53.807000Z
0.03185017603553,2019-02-14T14:13:56.651000Z,2019-02-14T12:32:31.911000Z
0.031472563669676004,2019-02-15T13:56:39.017000Z,2019-02-15T12:13:49.829000Z
0.032820712846025,2019-02-16T13:37:29.935000Z,2019-02-16T11:55:11.196000Z
0.03348995254764,2019-02-17T13:18:41.613000Z,2019-02-17T11:36:50.954000Z
0.032714113121691,2019-02-18T12:59:45.730000Z,2019-02-18T11:18:26.390000Z
0.035894205052685,2019-02-19T14:19:50.470000Z,2019-02-19T12:38:43.849000Z
0.033308317201047,2019-02-20T14:03:01.942000Z,2019-02-20T12:19:58.924000Z
0.036285581945090004,2019-02-21T13:44:00.053000Z,2019-02-21T12:01:21.395000Z
0.035876945744861,2019-02-22T13:24:22.287000Z,2019-02-22T11:42:49.747000Z
0.03551600984673,2019-02-23T13:06:02.198000Z,2019-02-23T11:24:21.259000Z
0.038111044870068,2019-02-24T12:46:28.150000Z,2019-02-24T12:44:59.592000Z
0.036101243350394004,2019-02-25T14:08:05.760000Z,2019-02-25T12:26:14.621000Z
0.035359831820305006,2019-02-26T13:50:06.147000Z,2019-02-26T12:07:35.529000Z
0.035140855872369,2019-02-27T13:31:21.776000Z,2019-02-27T11:49:00.638000Z
0.033394940026058,2019-02-28T13:12:19.947000Z,2019-02-28T11:30:27.728000Z
0.035460896950831,2019-03-01T12:53:26.937000Z,2019-03-01T11:13:36.995000Z
0.036155002268209,2019-03-02T14:14:43.908000Z,2019-03-02T12:32:24.089000Z
0.033518406479218,2019-03-03T13:56:41.536000Z,2019-03-03T12:13:47.158000Z
0.034076820924570005,2019-03-04T13:37:38.082000Z,2019-03-04T11:55:21.264000Z
0.035026236725124005,2019-03-05T13:18:36.469000Z,2019-03-05T11:36:38.010000Z
0.032647940287033,2019-03-06T12:59:41.894000Z,2019-03-06T11:19:11.993000Z
0.032223516123162,2019-03-07T14:22:06.543000Z,2019-03-07T12:38:41.444000Z
0.033203210455901,2019-03-08T14:03:02.859000Z,2019-03-08T12:20:10.641000Z
0.033710313565572005,2019-03-09T13:43:57.122000Z,2019-03-09T12:01:20.025000Z
0.033145630897747004,2019-03-10T13:24:54.504000Z,2019-03-10T11:42:45.007000Z
0.038436902022391,2019-03-11T13:05:57.926000Z,2019-03-11T11:24:16.987000Z
0.03043964720318,2019-03-12T14:27:20.166000Z,2019-03-12T11:07:50.843000Z
0.037677922951323,2019-03-13T14:09:22.376000Z,2019-03-13T12:26:06.999000Z
0.035788444440552,2019-03-14T13:50:15.677000Z,2019-03-14T12:07:27.540000Z
