honap,honap_angol,datum,honap_szam,homerseklet,ertek
Aug.,Aug.,2021-08-01,8,Havi napsütéses órák száma,26.2
Aug.,Aug.,2021-08-01,8,Rekord max. hőmérséklet (°C),38.0
Aug.,Aug.,2021-08-01,8,Rekord min. hőmérséklet (°C),3.5
Aug.,Aug.,2021-08-01,8,Átl. csapadékmennyiség (mm),6.0
Aug.,Aug.,2021-08-01,8,Átlagos max. hőmérséklet (°C),24.3
Aug.,Aug.,2021-08-01,8,Átlagos min. hőmérséklet (°C),12.2
Dec.,Dec.,2021-12-01,12,Havi napsütéses órák száma,5.5
Dec.,Dec.,2021-12-01,12,Rekord max. hőmérséklet (°C),18.7
Dec.,Dec.,2021-12-01,12,Rekord min. hőmérséklet (°C),-28.0
Dec.,Dec.,2021-12-01,12,Átl. csapadékmennyiség (mm),3.2
Dec.,Dec.,2021-12-01,12,Átlagos max. hőmérséklet (°C),1.8
Dec.,Dec.,2021-12-01,12,Átlagos min. hőmérséklet (°C),-4.2
Feb.,Feb.,2021-02-01,2,Havi napsütéses órák száma,9.9
Feb.,Feb.,2021-02-01,2,Rekord max. hőmérséklet (°C),19.3
Feb.,Feb.,2021-02-01,2,Rekord min. hőmérséklet (°C),-32.5
Feb.,Feb.,2021-02-01,2,Átl. csapadékmennyiség (mm),2.0
Feb.,Feb.,2021-02-01,2,Átlagos max. hőmérséklet (°C),3.2
Feb.,Feb.,2021-02-01,2,Átlagos min. hőmérséklet (°C),-4.7
Jan.,Jan.,2021-01-01,1,Havi napsütéses órák száma,7.1
Jan.,Jan.,2021-01-01,1,Rekord max. hőmérséklet (°C),14.0
Jan.,Jan.,2021-01-01,1,Rekord min. hőmérséklet (°C),-34.2
Jan.,Jan.,2021-01-01,1,Átl. csapadékmennyiség (mm),2.4
Jan.,Jan.,2021-01-01,1,Átlagos max. hőmérséklet (°C),0.3
Jan.,Jan.,2021-01-01,1,Átlagos min. hőmérséklet (°C),-6.5
Júl.,Jul.,2021-07-01,7,Havi napsütéses órák száma,27.4
Júl.,Jul.,2021-07-01,7,Rekord max. hőmérséklet (°C),37.0
Júl.,Jul.,2021-07-01,7,Rekord min. hőmérséklet (°C),5.2
Júl.,Jul.,2021-07-01,7,Átl. csapadékmennyiség (mm),8.1
Júl.,Jul.,2021-07-01,7,Átlagos max. hőmérséklet (°C),24.5
Júl.,Jul.,2021-07-01,7,Átlagos min. hőmérséklet (°C),12.7
Jún.,Jun.,2021-06-01,6,Havi napsütéses órák száma,23.8
Jún.,Jun.,2021-06-01,6,Rekord max. hőmérséklet (°C),36.0
Jún.,Jun.,2021-06-01,6,Rekord min. hőmérséklet (°C),0.4
Jún.,Jun.,2021-06-01,6,Átl. csapadékmennyiség (mm),9.5
Jún.,Jun.,2021-06-01,6,Átlagos max. hőmérséklet (°C),22.6
Jún.,Jun.,2021-06-01,6,Átlagos min. hőmérséklet (°C),11.3
Máj.,May.,2021-05-01,5,Havi napsütéses órák száma,23.1
Máj.,May.,2021-05-01,5,Rekord max. hőmérséklet (°C),32.5
Máj.,May.,2021-05-01,5,Rekord min. hőmérséklet (°C),-3.5
Máj.,May.,2021-05-01,5,Átl. csapadékmennyiség (mm),6.9
Máj.,May.,2021-05-01,5,Átlagos max. hőmérséklet (°C),20.3
Máj.,May.,2021-05-01,5,Átlagos min. hőmérséklet (°C),8.6
Már.,Mar.,2021-03-01,3,Havi napsütéses órák száma,16.5
Már.,Mar.,2021-03-01,3,Rekord max. hőmérséklet (°C),26.6
Már.,Mar.,2021-03-01,3,Rekord min. hőmérséklet (°C),-22.0
Már.,Mar.,2021-03-01,3,Átl. csapadékmennyiség (mm),2.2
Már.,Mar.,2021-03-01,3,Átlagos max. hőmérséklet (°C),10.0
Már.,Mar.,2021-03-01,3,Átlagos min. hőmérséklet (°C),-0.6
Nov.,Nov.,2021-11-01,11,Havi napsütéses órák száma,7.5
Nov.,Nov.,2021-11-01,11,Rekord max. hőmérséklet (°C),26.0
Nov.,Nov.,2021-11-01,11,Rekord min. hőmérséklet (°C),-22.0
Nov.,Nov.,2021-11-01,11,Átl. csapadékmennyiség (mm),3.0
Nov.,Nov.,2021-11-01,11,Átlagos max. hőmérséklet (°C),6.3
Nov.,Nov.,2021-11-01,11,Átlagos min. hőmérséklet (°C),-0.7
Okt.,Oct.,2021-10-01,10,Havi napsütéses órák száma,16.6
Okt.,Oct.,2021-10-01,10,Rekord max. hőmérséklet (°C),32.6
Okt.,Oct.,2021-10-01,10,Rekord min. hőmérséklet (°C),-8.8
Okt.,Oct.,2021-10-01,10,Átl. csapadékmennyiség (mm),3.1
Okt.,Oct.,2021-10-01,10,Átlagos max. hőmérséklet (°C),14.6
Okt.,Oct.,2021-10-01,10,Átlagos min. hőmérséklet (°C),3.8
Szep.,Sep.,2021-09-01,9,Havi napsütéses órák száma,20.5
Szep.,Sep.,2021-09-01,9,Rekord max. hőmérséklet (°C),33.7
Szep.,Sep.,2021-09-01,9,Rekord min. hőmérséklet (°C),-3.0
Szep.,Sep.,2021-09-01,9,Átl. csapadékmennyiség (mm),3.6
Szep.,Sep.,2021-09-01,9,Átlagos max. hőmérséklet (°C),20.7
Szep.,Sep.,2021-09-01,9,Átlagos min. hőmérséklet (°C),8.9
Ápr.,Apr.,2021-04-01,4,Havi napsütéses órák száma,17.5
Ápr.,Apr.,2021-04-01,4,Rekord max. hőmérséklet (°C),30.2
Ápr.,Apr.,2021-04-01,4,Rekord min. hőmérséklet (°C),-8.4
Ápr.,Apr.,2021-04-01,4,Átl. csapadékmennyiség (mm),4.8
Ápr.,Apr.,2021-04-01,4,Átlagos max. hőmérséklet (°C),15.0
Ápr.,Apr.,2021-04-01,4,Átlagos min. hőmérséklet (°C),4.0
