Time,Percentage,,,,Time period,Percentage change
1990 JAN,7.8,1990,JAN,1,1990-01-01,7.8
1990 FEB,8.3,1990,FEB,2,1990-02-01,8.3
1990 MAR,8.3,1990,MAR,3,1990-03-01,8.3
1990 APR,8.2,1990,APR,4,1990-04-01,8.2
1990 MAY,8.7,1990,MAY,5,1990-05-01,8.7
1990 JUN,8.4,1990,JUN,6,1990-06-01,8.4
1990 JUL,8.1,1990,JUL,7,1990-07-01,8.1
1990 AUG,8.6,1990,AUG,8,1990-08-01,8.6
1990 SEP,8.3,1990,SEP,9,1990-09-01,8.3
1990 OCT,7.6,1990,OCT,10,1990-10-01,7.6
1990 NOV,7.5,1990,NOV,11,1990-11-01,7.5
1990 DEC,7.2,1990,DEC,12,1990-12-01,7.2
1991 JAN,6.6,1991,JAN,1,1991-01-01,6.6
1991 FEB,6.9,1991,FEB,2,1991-02-01,6.9
1991 MAR,6.5,1991,MAR,3,1991-03-01,6.5
1991 APR,7.2,1991,APR,4,1991-04-01,7.2
1991 MAY,6.1,1991,MAY,5,1991-05-01,6.1
1991 JUN,7,1991,JUN,6,1991-06-01,7
1991 JUL,6.8,1991,JUL,7,1991-07-01,6.8
1991 AUG,6.6,1991,AUG,8,1991-08-01,6.6
1991 SEP,5.6,1991,SEP,9,1991-09-01,5.6
1991 OCT,5.6,1991,OCT,10,1991-10-01,5.6
1991 NOV,5.7,1991,NOV,11,1991-11-01,5.7
1991 DEC,5.5,1991,DEC,12,1991-12-01,5.5
1992 JAN,5.6,1992,JAN,1,1992-01-01,5.6
1992 FEB,5.1,1992,FEB,2,1992-02-01,5.1
1992 MAR,5.2,1992,MAR,3,1992-03-01,5.2
1992 APR,3.3,1992,APR,4,1992-04-01,3.3
1992 MAY,3.7,1992,MAY,5,1992-05-01,3.7
1992 JUN,2.5,1992,JUN,6,1992-06-01,2.5
1992 JUL,2.4,1992,JUL,7,1992-07-01,2.4
1992 AUG,1.9,1992,AUG,8,1992-08-01,1.9
1992 SEP,2.2,1992,SEP,9,1992-09-01,2.2
1992 OCT,2.3,1992,OCT,10,1992-10-01,2.3
1992 NOV,1.5,1992,NOV,11,1992-11-01,1.5
1992 DEC,1.9,1992,DEC,12,1992-12-01,1.9
1993 JAN,1.4,1993,JAN,1,1993-01-01,1.4
1993 FEB,1.8,1993,FEB,2,1993-02-01,1.8
1993 MAR,2.3,1993,MAR,3,1993-03-01,2.3
1993 APR,2.4,1993,APR,4,1993-04-01,2.4
1993 MAY,2.8,1993,MAY,5,1993-05-01,2.8
1993 JUN,2.8,1993,JUN,6,1993-06-01,2.8
1993 JUL,3.7,1993,JUL,7,1993-07-01,3.7
1993 AUG,3.6,1993,AUG,8,1993-08-01,3.6
1993 SEP,3.6,1993,SEP,9,1993-09-01,3.6
1993 OCT,2.8,1993,OCT,10,1993-10-01,2.8
1993 NOV,2.3,1993,NOV,11,1993-11-01,2.3
1993 DEC,1.8,1993,DEC,12,1993-12-01,1.8
1994 JAN,1.9,1994,JAN,1,1994-01-01,1.9
1994 FEB,1.5,1994,FEB,2,1994-02-01,1.5
1994 MAR,1.2,1994,MAR,3,1994-03-01,1.2
1994 APR,1.6,1994,APR,4,1994-04-01,1.6
1994 MAY,1.5,1994,MAY,5,1994-05-01,1.5
1994 JUN,1.8,1994,JUN,6,1994-06-01,1.8
1994 JUL,1.5,1994,JUL,7,1994-07-01,1.5
1994 AUG,1.7,1994,AUG,8,1994-08-01,1.7
1994 SEP,1.3,1994,SEP,9,1994-09-01,1.3
1994 OCT,1.8,1994,OCT,10,1994-10-01,1.8
1994 NOV,2.6,1994,NOV,11,1994-11-01,2.6
1994 DEC,2.9,1994,DEC,12,1994-12-01,2.9
1995 JAN,3.4,1995,JAN,1,1995-01-01,3.4
1995 FEB,3.5,1995,FEB,2,1995-02-01,3.5
1995 MAR,3.6,1995,MAR,3,1995-03-01,3.6
1995 APR,3.3,1995,APR,4,1995-04-01,3.3
1995 MAY,3.9,1995,MAY,5,1995-05-01,3.9
1995 JUN,3.3,1995,JUN,6,1995-06-01,3.3
1995 JUL,3.2,1995,JUL,7,1995-07-01,3.2
1995 AUG,4.5,1995,AUG,8,1995-08-01,4.5
1995 SEP,5.3,1995,SEP,9,1995-09-01,5.3
1995 OCT,4.5,1995,OCT,10,1995-10-01,4.5
1995 NOV,4.3,1995,NOV,11,1995-11-01,4.3
1995 DEC,4.5,1995,DEC,12,1995-12-01,4.5
1996 JAN,4,1996,JAN,1,1996-01-01,4
1996 FEB,4.4,1996,FEB,2,1996-02-01,4.4
1996 MAR,4.4,1996,MAR,3,1996-03-01,4.4
1996 APR,4.6,1996,APR,4,1996-04-01,4.6
1996 MAY,3.7,1996,MAY,5,1996-05-01,3.7
1996 JUN,4.4,1996,JUN,6,1996-06-01,4.4
1996 JUL,4,1996,JUL,7,1996-07-01,4
1996 AUG,3.3,1996,AUG,8,1996-08-01,3.3
1996 SEP,2.3,1996,SEP,9,1996-09-01,2.3
1996 OCT,2.5,1996,OCT,10,1996-10-01,2.5
1996 NOV,2.1,1996,NOV,11,1996-11-01,2.1
1996 DEC,1.6,1996,DEC,12,1996-12-01,1.6
1997 JAN,1.8,1997,JAN,1,1997-01-01,1.8
1997 FEB,0.8,1997,FEB,2,1997-02-01,0.8
1997 MAR,-0.2,1997,MAR,3,1997-03-01,-0.2
1997 APR,0.1,1997,APR,4,1997-04-01,0.1
1997 MAY,0.1,1997,MAY,5,1997-05-01,0.1
1997 JUN,0.7,1997,JUN,6,1997-06-01,0.7
1997 JUL,1.4,1997,JUL,7,1997-07-01,1.4
1997 AUG,0.5,1997,AUG,8,1997-08-01,0.5
1997 SEP,1.2,1997,SEP,9,1997-09-01,1.2
1997 OCT,2,1997,OCT,10,1997-10-01,2
1997 NOV,2,1997,NOV,11,1997-11-01,2
1997 DEC,1.9,1997,DEC,12,1997-12-01,1.9
1998 JAN,1.4,1998,JAN,1,1998-01-01,1.4
1998 FEB,1.6,1998,FEB,2,1998-02-01,1.6
1998 MAR,1.8,1998,MAR,3,1998-03-01,1.8
1998 APR,1.7,1998,APR,4,1998-04-01,1.7
1998 MAY,2.3,1998,MAY,5,1998-05-01,2.3
1998 JUN,1.4,1998,JUN,6,1998-06-01,1.4
1998 JUL,1.5,1998,JUL,7,1998-07-01,1.5
1998 AUG,2.3,1998,AUG,8,1998-08-01,2.3
1998 SEP,2.1,1998,SEP,9,1998-09-01,2.1
1998 OCT,2.2,1998,OCT,10,1998-10-01,2.2
1998 NOV,2.4,1998,NOV,11,1998-11-01,2.4
1998 DEC,2.9,1998,DEC,12,1998-12-01,2.9
1999 JAN,3.1,1999,JAN,1,1999-01-01,3.1
1999 FEB,3.2,1999,FEB,2,1999-02-01,3.2
1999 MAR,2.9,1999,MAR,3,1999-03-01,2.9
1999 APR,2.3,1999,APR,4,1999-04-01,2.3
