Income group,Categories,Spending%
Bottom decile,Food & Drink,21.4
Bottom decile,Housing,27.0
Bottom decile,Other goods and services,34.8
Bottom decile,Transport,7.2
Bottom decile,Recreation,9.6
2nd decile,Food & Drink,20.3
2nd decile,Housing,24.0
2nd decile,Other goods and services,35.0
2nd decile,Transport,8.3
2nd decile,Recreation,12.4
3rd decile,Food & Drink,18.9
3rd decile,Housing,22.9
3rd decile,Other goods and services,37.1
3rd decile,Transport,10.3
3rd decile,Recreation,10.8
4th decile,Food & Drink,19.0
4th decile,Housing,22.3
4th decile,Other goods and services,37.7
4th decile,Transport,10.2
4th decile,Recreation,10.8
5th decile,Food & Drink,18.1
5th decile,Housing,19.4
5th decile,Other goods and services,38.1
5th decile,Transport,12.3
5th decile,Recreation,12.1
6th decile,Food & Drink,17.7
6th decile,Housing,18.5
6th decile,Other goods and services,37.5
6th decile,Transport,12.6
6th decile,Recreation,13.7
7th decile,Food & Drink,17.8
7th decile,Housing,17.6
7th decile,Other goods and services,38.3
7th decile,Transport,12.5
7th decile,Recreation,13.8
8th decile,Food & Drink,17.0
8th decile,Housing,15.8
8th decile,Other goods and services,38.4
8th decile,Transport,14.4
8th decile,Recreation,14.4
9th decile,Food & Drink,16.6
9th decile,Housing,14.7
9th decile,Other goods and services,39.2
9th decile,Transport,15.9
9th decile,Recreation,13.6
Top decile,Food & Drink,14.4
Top decile,Housing,12.1
Top decile,Other goods and services,44.9
Top decile,Transport,13.5
Top decile,Recreation,15.1
