stage,tracker,precision,AUC
original,CN,72.4,44.2
original,KCF,68.5,41.3
original,Staple,77.8,56.2
original,ECO_HC,79.8,57.5
original,AutoTrack,79.0,57.4
demos.+g.c.,CN,67.7,41.9
demos.+g.c.,KCF,67.8,40.7
demos.+g.c.,Staple,77.4,56.4
demos.+g.c.,ECO_HC,78.9,59.0
demos.+g.c.,AutoTrack,81.2,58.5
+denoise,CN,67.7,42.0
+denoise,KCF,68.2,41.0
+denoise,Staple,77.6,56.8
+denoise,ECO_HC,75.8,56.8
+denoise,AutoTrack,83.0,59.4
all off,CN,44.7,25.3
all off,KCF,63.6,38.6
all off,Staple,63.2,40.6
all off,ECO_HC,65.5,45.7
all off,AutoTrack,73.3,50.4
