preferred color,COUNT,gender
,1,M
,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
,1,M
,1,M
,1,M
,1,M
,1,F
,1,F
,1,F
blue,1,F
blue,1,F
blue,1,F
red,1,F
red,1,M
red,1,F
,1,F
,1,F
,1,F
,1,F
,1,M
,1,F
,1,M
,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
,1,M
,1,F
,1,F
black,1,F
black,1,F
black,1,M
black,1,F
black,1,F
black,1,F
black,1,M
,1,F
,1,F
,1,F
black,1,F
,1,M
,1,F
,1,F
,1,M
,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
,1,M
,1,F
,1,F
,1,F
,1,M
,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
,1,M
,1,M
,1,F
,1,F
,1,F
,1,M
,1,F
red,1,F
red,1,F
orange,1,F
orange,1,M
orange,1,M
orange,1,F
red,1,F
red,1,F
red,1,F
red,1,M
red,1,F
blue,1,F
blue,1,M
blue,1,F
blue,1,F
blue,1,F
blue,1,F
blue,1,F
blue,1,F
blue,1,F
blue,1,F
blue,1,F
purple,1,F
orange,1,F
orange,1,F
orange,1,F
orange,1,F
orange,1,F
orange,1,F
black,1,M
black,1,F
black,1,F
black,1,F
black,1,F
blue,1,F
blue,1,F
black,1,F
green,1,F
green,1,F
green,1,F
green,1,F
green,1,F
green,1,M
green,1,F
red,1,F
black,1,F
black,1,F
black,1,F
black,1,F
black,1,F
black,1,F
black,1,F
orange,1,F
orange,1,F
orange,1,F
orange,1,F
orange,1,F
orange,1,M
orange,1,F
orange,1,M
orange,1,M
orange,1,F
orange,1,M
orange,1,F
orange,1,M
orange,1,F
orange,1,F
orange,1,M
orange,1,M
orange,1,F
orange,1,F
orange,1,F
orange,1,F
orange,1,F
orange,1,F
orange,1,F
orange,1,F
orange,1,M
orange,1,F
orange,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
,1,M
,1,F
,1,F
,1,M
,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
,1,M
,1,F
,1,F
,1,M
,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
yellow,1,F
yellow,1,F
yellow,1,F
yellow,1,F
yellow,1,M
yellow,1,M
yellow,1,F
yellow,1,F
yellow,1,F
yellow,1,F
yellow,1,F
yellow,1,F
yellow,1,F
yellow,1,F
yellow,1,F
yellow,1,F
,1,F
,1,F
,1,M
black,1,M
black,1,F
blue,1,F
blue,1,F
blue,1,F
blue,1,F
blue,1,M
blue,1,F
blue,1,F
blue,1,M
blue,1,F
blue,1,M
blue,1,F
blue,1,M
red,1,F
red,1,M
black,1,M
black,1,F
black,1,M
black,1,F
black,1,F
black,1,F
black,1,F
black,1,F
black,1,F
black,1,M
black,1,M
black,1,F
black,1,F
black,1,F
black,1,F
black,1,F
black,1,F
black,1,F
black,1,M
black,1,F
black,1,F
black,1,F
black,1,F
black,1,F
black,1,F
black,1,M
black,1,F
black,1,M
black,1,M
black,1,M
black,1,F
black,1,F
black,1,F
black,1,F
black,1,M
black,1,F
black,1,F
black,1,F
black,1,F
black,1,F
black,1,M
black,1,F
black,1,F
blue,1,F
blue,1,F
blue,1,F
blue,1,F
black,1,F
black,1,F
black,1,F
red,1,M
red,1,M
red,1,F
red,1,F
red,1,M
red,1,F
,1,M
,1,F
,1,F
,1,F
,1,M
,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
,1,M
,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
,1,M
,1,F
,1,F
,1,F
,1,M
,1,F
,1,F
,1,F
,1,F
,1,F
,1,M
,1,F
,1,F
,1,F
,1,F
red,1,F
red,1,F
red,1,F
red,1,F
red,1,M
,1,M
,1,F
,1,F
,1,F
,1,M
,1,M
,1,F
,1,F
,1,F
,1,M
black,1,M
black,1,F
black,1,F
black,1,F
black,1,M
black,1,F
black,1,F
black,1,F
black,1,M
black,1,F
black,1,F
black,1,M
black,1,M
black,1,F
black,1,F
black,1,F
black,1,F
,1,F
,1,F
,1,F
,1,F
,1,F
,1,M
,1,F
,1,F
,1,F
,1,M
white,1,F
white,1,F
