time,quantity,item
0,5.0,munchkin
1,10.278031643091577,munchkin
2,15.18958683997628,munchkin
3,19.71068609258575,munchkin
4,17.000000000000004,munchkin
5,22.127049995800743,munchkin
6,28.13058987556147,munchkin
7,28.03516289842348,munchkin
8,33.85761802547598,munchkin
9,37.610188015018984,munchkin
10,38.30212829607493,munchkin
11,39.940667420160906,munchkin
12,40.53159496449108,munchkin
13,43.07964401264505,munchkin
14,43.58875032686557,munchkin
15,53.06223395648531,munchkin
16,51.50293012833275,munchkin
17,53.91328587177879,munchkin
18,56.29543283815009,munchkin
19,60.65124317675735,munchkin
0,2.0,witch
1,3.623898318388478,witch
2,10.309573444801934,witch
3,11.727161387290321,witch
4,13.98560543306118,witch
5,16.132639022018836,witch
6,15.194870523363548,witch
7,21.189151347155786,witch
8,21.127049995800743,witch
9,24.016965485301043,witch
10,22.86525259636632,witch
11,27.676874454922782,witch
12,28.45580618665162,witch
13,29.205297528345778,witch
14,33.9280507756976,witch
15,34.62634547570625,witch
16,33.30212829607493,witch
17,34.95707936800063,witch
18,37.59266228400805,witch
19,38.210162462449645,witch
0,1.0,dog
1,4.408224685280692,dog
2,5.192962712629476,dog
3,5.799546134795289,dog
4,7.30037210271847,dog
5,9.727161387290321,dog
6,11.097596309015797,dog
7,12.42287530066645,dog
8,13.71068609258575,dog
9,15.966610165238238,dog
10,17.194870523363548,dog
11,17.398765361701578,dog
12,18.580936309501134,dog
13,18.74354294621998,dog
14,21.888381054913122,dog
15,22.016965485301043,dog
16,24.13058987556147,dog
17,23.230370739754015,dog
18,26.317280693371046,dog
19,26.392173948075055,dog
0,2.0,lion
1,4.031433133020796,lion
2,7.278031643091578,lion
3,8.30037210271847,lion
4,10.18958683997628,lion
5,13.98560543306118,lion
6,14.71068609258575,lion
7,17.378925219250924,lion
8,17.000000000000004,lion
9,19.580936309501134,lion
10,22.127049995800743,lion
11,23.642492771517183,lion
12,22.13058987556147,lion
13,26.59405975059458,lion
14,25.03516289842348,lion
15,26.45580618665162,lion
16,27.85761802547598,lion
17,30.242003864203042,lion
18,32.610188015018984,lion
19,31.96324574534057,lion
0,3.0,tiger
1,5.623898318388478,tiger
2,6.309573444801933,tiger
3,9.727161387290321,tiger
4,14.98560543306118,tiger
5,13.132639022018838,tiger
6,16.194870523363548,tiger
7,19.189151347155786,tiger
8,21.127049995800743,tiger
9,25.016965485301043,tiger
10,26.86525259636632,tiger
11,25.676874454922782,tiger
12,27.45580618665162,tiger
13,29.205297528345778,tiger
14,32.9280507756976,tiger
15,35.62634547570625,tiger
16,37.30212829607493,tiger
17,35.95707936800063,tiger
18,39.59266228400805,tiger
19,40.210162462449645,tiger
0,2.0,bear
1,6.031433133020796,bear
2,7.278031643091578,bear
3,9.30037210271847,bear
4,12.18958683997628,bear
5,11.98560543306118,bear
6,13.71068609258575,bear
7,14.378925219250926,bear
8,19.000000000000004,bear
9,19.580936309501134,bear
10,19.127049995800743,bear
11,20.642492771517183,bear
12,24.13058987556147,bear
13,24.59405975059458,bear
14,25.03516289842348,bear
15,26.45580618665162,bear
16,27.85761802547598,bear
17,29.242003864203042,bear
18,31.610188015018984,bear
19,33.96324574534057,bear
