Time,Date
10.6,1912-07-06
10.6,1920-09-16
10.4,1921-04-23
10.4,1929-08-08
10.4,1929-08-25
10.3,1930-08-09
10.3,1932-08-01
10.3,1933-08-12
10.3,1934-08-06
10.3,1934-08-26
10.3,1934-09-15
10.3,1934-09-23
10.3,1935-06-15
10.2,1936-06-20
10.2,1941-06-06
10.2,1948-05-15
10.2,1948-07-09
10.2,1951-08-25
10.2,1954-10-31
10.2,1956-05-19
10.2,1956-06-01
10.2,1956-06-22
10.2,1956-06-29
10.2,1956-06-29
10.1,1956-08-03
10.1,1956-08-04
10.1,1956-10-20
10.1,1956-10-27
10.1,1959-04-18
10.0,1960-06-21
10.0,1960-07-15
10.0,1964-08-15
10.0,1964-10-15
10.0,1967-05-27
10.0,1967-06-17
10.0,1968-04-02
10.0,1968-05-31
10.0,1968-06-20
10.0,1968-06-20
9.95,1968-10-14
9.93,1983-07-03
9.92,1988-09-24
9.9,1991-06-14
9.86,1991-08-25
9.85,1994-07-06
9.84,1996-07-27
9.79,1999-06-16
9.77,2005-06-14
9.77,2006-06-11
9.77,2006-08-18
9.74,2007-09-09
9.72,2008-05-31
9.69,2008-08-16
9.58,2009-08-16
