candidate_party,all_spending,count
Democrat,500000,214
Democrat,1500000,102
Democrat,2500000,37
Democrat,3500000,20
Democrat,4500000,19
Democrat,5500000,8
Democrat,6500000,6
Democrat,7500000,7
Democrat,8500000,3
Democrat,9500000,14
Republican,500000,170
Republican,1500000,95
Republican,2500000,34
Republican,3500000,14
Republican,4500000,13
Republican,5500000,11
Republican,6500000,5
Republican,7500000,3
Republican,8500000,1
Republican,9500000,8
_AllOthers,500000,31
_AllOthers,1500000,2
_AllOthers,2500000,1
_AllOthers,3500000,1
_AllOthers,4500000,1
_AllOthers,5500000,0
_AllOthers,6500000,0
_AllOthers,7500000,1
_AllOthers,8500000,0
_AllOthers,9500000,1
