off_type,year,total_pop,money_bond_rate,povertyR
Felony,2015,2088,21.683429118773944,12.384913793103449
Felony,2015,1790490,87.71255513997089,8.171350970963257
Felony,2015,2240680,81.56696585664774,11.508464528625238
Felony,2015,438316,56.583698400258385,16.31624855127351
Felony,2015,870026,75.06142353767615,16.278036518448875
Felony,2014,14589,80.66021989526,34.36999794365618
Felony,2014,240793,53.28000191138891,14.585191845277894
Felony,2014,3302964,89.49433257320703,10.506826959058591
Felony,2014,1636321,75.16843730379526,14.431771211149892
Felony,2014,67889,67.51686954300345,23.842087819823533
Misdemeanor,2016,1042442,46.807038713265975,13.88787654373097
Misdemeanor,2016,1906340,85.46199978947872,10.022632741273856
Misdemeanor,2016,1640445,70.03611265529337,8.278085824273292
Misdemeanor,2016,11490,66.66981666518,40.87095735422106
Misdemeanor,2016,158110,81.59478449856398,19.85412307886914
Felony,2016,886713,61.922257274380755,13.657218626545454
Felony,2016,889425,93.84148693059524,11.583938162295865
Felony,2016,161262,48.34516731542246,14.745966191663255
Felony,2016,296151,71.33981027126043,21.39206283281164
Felony,2016,3206894,80.0853614532999,9.101850076740924
Misdemeanor,2014,324392,74.52009674463793,20.390937507706724
Misdemeanor,2014,341394,36.47384827261822,13.06178696755069
Misdemeanor,2014,825624,57.826192891214575,11.978454720308518
Misdemeanor,2014,1635563,89.93010573900598,12.890574316000057
Misdemeanor,2014,1487534,80.02917783019254,7.798030229897268
Misdemeanor,2015,950393,73.85800354720605,8.44006268985567
Misdemeanor,2015,240186,79.69167678184587,18.351580441824254
Misdemeanor,2015,17556,67.15862198183922,36.616438824333564
Misdemeanor,2015,1883197,89.01810278601758,10.215541549821925
Misdemeanor,2015,1587708,50.533435239125865,11.995409924242995
