pacbioRun,filter_reason,count,total_counts,frac_counts
A_220708,barcode clip3,467,1339499,0.00034863781159971
A_220708,barcode mutation_nt_count,25011,1339499,0.018671906436660272
A_220708,gene clip3,50687,1339499,0.037840267144656325
A_220708,gene mutation_nt_count,18150,1339499,0.01354984214247267
A_220708,query_clip3,18796,1339499,0.014032112006055995
A_220708,query_clip5,110277,1339499,0.08232704914300049
A_220708,termini3 clip3,2975,1339499,0.0022209796349232066
A_220708,termini3 mutation_nt_count,17084,1339499,0.01275402221278254
A_220708,termini5 clip5,82562,1339499,0.061636477518833534
A_220708,termini5 mutation_nt_count,6388,1339499,0.004768947195929224
A_220708,variant_tag3 mutation_nt_count,3215,1339499,0.0024001511012699526
A_220708,variant_tag5 mutation_nt_count,1035,1339499,0.0007726769486203424
B_220708,barcode clip3,451,1239176,0.0003639515290806149
B_220708,barcode mutation_nt_count,23382,1239176,0.01886899036133689
B_220708,gene clip3,48074,1239176,0.03879513483153321
B_220708,gene mutation_nt_count,18858,1239176,0.015218177240359723
B_220708,query_clip3,26958,1239176,0.02175477898216234
B_220708,query_clip5,97262,1239176,0.07848925414953162
B_220708,termini3 clip3,2850,1239176,0.002299915427671291
B_220708,termini3 mutation_nt_count,15853,1239176,0.012793178692937888
B_220708,termini5 clip5,71014,1239176,0.05730743655461371
B_220708,termini5 mutation_nt_count,5939,1239176,0.004792700956119228
B_220708,variant_tag3 mutation_nt_count,2723,1239176,0.002197427968262781
B_220708,variant_tag5 mutation_nt_count,1129,1239176,0.0009110893045055746
A_220708,aligned,1002852,1339499,0.7486769307031957
B_220708,aligned,924683,1239176,0.7462079640018852
