category,count,pacbioRun,library
aligned PacBio_amplicon,555551,Lib-1_211105,Lib-1
filtered PacBio_amplicon,98612,Lib-1_211105,Lib-1
unmapped,9945,Lib-1_211105,Lib-1
aligned PacBio_amplicon,277734,Lib-3_211105,Lib-3
filtered PacBio_amplicon,51835,Lib-3_211105,Lib-3
unmapped,5415,Lib-3_211105,Lib-3
aligned PacBio_amplicon,442826,Lib-2_211105,Lib-2
filtered PacBio_amplicon,63411,Lib-2_211105,Lib-2
unmapped,6108,Lib-2_211105,Lib-2
aligned PacBio_amplicon,461149,Lib-4_211105,Lib-4
filtered PacBio_amplicon,73321,Lib-4_211105,Lib-4
unmapped,7858,Lib-4_211105,Lib-4
aligned PacBio_amplicon,576055,Lib-1_220124,Lib-1
filtered PacBio_amplicon,114574,Lib-1_220124,Lib-1
unmapped,12434,Lib-1_220124,Lib-1
aligned PacBio_amplicon,286468,Lib-3_220124,Lib-3
filtered PacBio_amplicon,60157,Lib-3_220124,Lib-3
unmapped,7144,Lib-3_220124,Lib-3
aligned PacBio_amplicon,455196,Lib-2_220124,Lib-2
filtered PacBio_amplicon,73081,Lib-2_220124,Lib-2
unmapped,7931,Lib-2_220124,Lib-2
aligned PacBio_amplicon,475648,Lib-4_220124,Lib-4
filtered PacBio_amplicon,85015,Lib-4_220124,Lib-4
unmapped,10111,Lib-4_220124,Lib-4
