n_neighbors,score_type,accuracy
1,mean_train_score,1.0
6,mean_train_score,0.8416600441501103
11,mean_train_score,0.8230507726269316
16,mean_train_score,0.8077262693156733
21,mean_train_score,0.7778101545253863
26,mean_train_score,0.7658543046357617
31,mean_train_score,0.7585253863134657
36,mean_train_score,0.7385827814569536
41,mean_train_score,0.7259116997792494
46,mean_train_score,0.7339161147902871
1,mean_cv_score,0.7676470588235293
6,mean_cv_score,0.7856617647058823
11,mean_cv_score,0.8110294117647058
16,mean_cv_score,0.7933823529411764
21,mean_cv_score,0.7569852941176471
26,mean_cv_score,0.7393382352941177
31,mean_cv_score,0.7389705882352942
36,mean_cv_score,0.7202205882352942
41,mean_cv_score,0.7264705882352942
46,mean_cv_score,0.7139705882352942
