coef,metabolite,description
-1.403220164,pydx[e],Pyridoxal
-1.3864171369,so3[e],Sulfite
-1.2988432936,malt[e],Maltose
-1.2627663038,h2[e],Hydrogen
-0.9494759469,cit[e],Citrate
-0.92410626,HC02194[e],Ursodiol
-0.8255619351,glc_D[e],D-glucose
-0.8189398698,h[e],proton
-0.7426755129,glutar[e],Glutarate
-0.7420113834,tsul[e],thiosulfate(2-)
-0.6232042068,uchol[e],Ursocholate
-0.5684139533,ddca[e],laurate
-0.5605311581,ttdca[e],tetradecanoate (n-C14:0)
-0.525357532,tmao[e],Trimethylamine N-oxide
-0.2593162562,pydxn[e],Pyridoxine
-0.2062304347,acmana[e],N-acetyl-D-mannosamine
-0.193992698,2ddglcn[e],2-Dehydro-3-deoxy-D-gluconate
-0.1555650235,gln_L[e],L-glutamine
-0.1315094624,2obut[e],2-Oxobutanoate
-0.017417445,man[e],D-Mannose
0.0052796728,isoval[e],"Isovalerate, 3-Methylbutanoate"
0.0068658506,13ppd[e],"Propane-1,3-diol"
0.1179742656,4abut[e],4-Aminobutanoate
0.4094416403,mnl[e],D-Mannitol
0.7845626081,fru[e],D-Fructose
