Date,48-monthnew car,60-monthnew car,All creditcard amounts 1,Credit card accountsassessed interest,24-monthpersonal,Interestrates,Maturity(months),Amount financed(dollars),dt
1994 Q4,n.a.,n.a.,15.69,15.77,n.a.,n.a.,n.a.,n.a.,1995-01-01T00:00:00
1995 Q1,n.a.,n.a.,16.1,15.28,n.a.,n.a.,n.a.,n.a.,1995-04-01T00:00:00
1995 Q2,n.a.,n.a.,16.14,16.26,n.a.,n.a.,n.a.,n.a.,1995-07-01T00:00:00
1995 Q3,n.a.,n.a.,15.92,15.9,n.a.,n.a.,n.a.,n.a.,1995-10-01T00:00:00
1995 Q4,n.a.,n.a.,15.81,15.74,n.a.,n.a.,n.a.,n.a.,1996-01-01T00:00:00
1996 Q1,n.a.,n.a.,15.8,15.42,n.a.,n.a.,n.a.,n.a.,1996-04-01T00:00:00
1996 Q2,n.a.,n.a.,15.44,15.33,n.a.,n.a.,n.a.,n.a.,1996-07-01T00:00:00
1996 Q3,n.a.,n.a.,15.66,15.66,n.a.,n.a.,n.a.,n.a.,1996-10-01T00:00:00
1996 Q4,n.a.,n.a.,15.62,15.52,n.a.,n.a.,n.a.,n.a.,1997-01-01T00:00:00
1997 Q1,n.a.,n.a.,15.88,15.15,n.a.,n.a.,n.a.,n.a.,1997-04-01T00:00:00
1997 Q2,n.a.,n.a.,15.74,15.72,n.a.,n.a.,n.a.,n.a.,1997-07-01T00:00:00
1997 Q3,n.a.,n.a.,15.8,15.79,n.a.,n.a.,n.a.,n.a.,1997-10-01T00:00:00
1997 Q4,n.a.,n.a.,15.76,15.74,n.a.,n.a.,n.a.,n.a.,1998-01-01T00:00:00
1998 Q1,8.89,n.a.,15.68,15.34,14.06,n.a.,n.a.,n.a.,1998-04-01T00:00:00
1998 Q2,8.69,n.a.,15.65,15.7,13.76,n.a.,n.a.,n.a.,1998-07-01T00:00:00
1998 Q3,8.70,n.a.,15.82,15.84,13.48,n.a.,n.a.,n.a.,1998-10-01T00:00:00
1998 Q4,8.62,n.a.,15.67,15.73,13.75,n.a.,n.a.,n.a.,1999-01-01T00:00:00
1999 Q1,8.34,n.a.,15.39,14.73,13.39,n.a.,n.a.,n.a.,1999-04-01T00:00:00
1999 Q2,8.31,n.a.,15.19,14.94,13.26,n.a.,n.a.,n.a.,1999-07-01T00:00:00
1999 Q3,8.44,n.a.,15.07,14.8,13.38,n.a.,n.a.,n.a.,1999-10-01T00:00:00
1999 Q4,8.67,n.a.,15.12,14.78,13.52,n.a.,n.a.,n.a.,2000-01-01T00:00:00
2000 Q1,8.88,n.a.,15.55,14.3,13.76,n.a.,n.a.,n.a.,2000-04-01T00:00:00
2000 Q2,9.22,n.a.,15.6,14.76,13.89,n.a.,n.a.,n.a.,2000-07-01T00:00:00
2000 Q3,9.62,n.a.,15.98,15.37,13.84,n.a.,n.a.,n.a.,2000-10-01T00:00:00
2000 Q4,9.64,n.a.,15.99,15.26,14.10,n.a.,n.a.,n.a.,2001-01-01T00:00:00
2001 Q1,9.17,n.a.,15.63,14.63,13.70,n.a.,n.a.,n.a.,2001-04-01T00:00:00
2001 Q2,8.67,n.a.,15.06,14.65,13.30,n.a.,n.a.,n.a.,2001-07-01T00:00:00
2001 Q3,8.30,n.a.,14.59,14.67,13.25,n.a.,n.a.,n.a.,2001-10-01T00:00:00
2001 Q4,7.86,n.a.,14.21,13.9,12.62,n.a.,n.a.,n.a.,2002-01-01T00:00:00
2002 Q1,7.80,n.a.,13.62,13.0,12.86,n.a.,n.a.,n.a.,2002-04-01T00:00:00
2002 Q2,7.74,n.a.,13.53,13.36,12.57,n.a.,n.a.,n.a.,2002-07-01T00:00:00
2002 Q3,7.58,n.a.,13.36,13.29,12.49,n.a.,n.a.,n.a.,2002-10-01T00:00:00
2002 Q4,7.34,n.a.,13.11,12.78,12.24,n.a.,n.a.,n.a.,2003-01-01T00:00:00
2003 Q1,7.11,n.a.,12.26,11.96,11.70,n.a.,n.a.,n.a.,2003-04-01T00:00:00
2003 Q2,7.05,n.a.,12.12,12.89,12.19,n.a.,n.a.,n.a.,2003-07-01T00:00:00
2003 Q3,6.76,n.a.,12.47,13.13,11.97,n.a.,n.a.,n.a.,2003-10-01T00:00:00
2003 Q4,6.82,n.a.,12.35,12.93,11.97,n.a.,n.a.,n.a.,2004-01-01T00:00:00
2004 Q1,6.72,n.a.,12.67,12.42,11.88,n.a.,n.a.,n.a.,2004-04-01T00:00:00
2004 Q2,6.43,n.a.,12.69,12.93,11.80,n.a.,n.a.,n.a.,2004-07-01T00:00:00
2004 Q3,6.55,n.a.,13.02,13.6,12.02,n.a.,n.a.,n.a.,2004-10-01T00:00:00
2004 Q4,6.71,n.a.,12.51,13.92,11.84,n.a.,n.a.,n.a.,2005-01-01T00:00:00
2005 Q1,6.86,n.a.,12.21,14.13,12.01,n.a.,n.a.,n.a.,2005-04-01T00:00:00
2005 Q2,6.92,n.a.,12.77,14.81,12.05,n.a.,n.a.,n.a.,2005-07-01T00:00:00
2005 Q3,7.08,n.a.,12.48,14.75,12.22,n.a.,n.a.,n.a.,2005-10-01T00:00:00
2005 Q4,7.43,n.a.,12.58,14.49,11.95,n.a.,n.a.,n.a.,2006-01-01T00:00:00
2006 Q1,7.39,n.a.,13.3,14.38,12.18,n.a.,n.a.,n.a.,2006-04-01T00:00:00
2006 Q2,7.60,n.a.,13.16,14.77,12.58,n.a.,n.a.,n.a.,2006-07-01T00:00:00
2006 Q3,7.95,7.82,13.06,14.67,12.40,n.a.,n.a.,n.a.,2006-10-01T00:00:00
2006 Q4,7.92,7.78,13.31,15.09,12.49,n.a.,n.a.,n.a.,2007-01-01T00:00:00
2007 Q1,7.74,7.71,13.41,14.64,12.32,n.a.,n.a.,n.a.,2007-04-01T00:00:00
2007 Q2,7.92,7.78,13.46,14.47,12.53,n.a.,n.a.,n.a.,2007-07-01T00:00:00
2007 Q3,7.82,7.77,13.59,15.24,12.51,n.a.,n.a.,n.a.,2007-10-01T00:00:00
2007 Q4,7.59,7.60,12.75,14.38,12.16,n.a.,n.a.,n.a.,2008-01-01T00:00:00
2008 Q1,7.27,7.18,12.47,13.77,11.43,6.64,62.01,25041.08,2008-04-01T00:00:00
2008 Q2,6.84,6.93,11.88,13.51,11.14,5.74,61.63,23623.28,2008-07-01T00:00:00
2008 Q3,6.92,6.94,11.94,13.64,11.48,5.56,62.39,24759.34,2008-10-01T00:00:00
2008 Q4,7.06,7.12,12.03,13.36,11.44,5.62,59.52,24843.26,2009-01-01T00:00:00
2009 Q1,6.92,6.96,12.97,13.54,11.05,5.71,59.46,25088.65,2009-04-01T00:00:00
2009 Q2,6.79,6.93,13.32,14.43,11.25,4.71,60.29,25657.32,2009-07-01T00:00:00
2009 Q3,6.61,6.71,13.71,14.9,10.89,5.11,60.27,24009.70,2009-10-01T00:00:00
2009 Q4,6.55,6.59,13.6,14.37,11.20,5.25,60.17,26547.94,2010-01-01T00:00:00
2010 Q1,6.45,6.45,14.26,14.67,10.83,5.02,61.16,25962.78,2010-04-01T00:00:00
2010 Q2,6.26,6.38,13.84,14.48,11.00,4.64,61.27,25463.91,2010-07-01T00:00:00
2010 Q3,6.24,6.23,13.59,14.22,10.71,4.67,61.30,25219.03,2010-10-01T00:00:00
2010 Q4,5.87,6.05,13.44,13.67,10.94,4.48,60.55,25261.78,2011-01-01T00:00:00
2011 Q1,5.85,6.10,13.44,13.44,10.98,4.42,60.65,25082.26,2011-04-01T00:00:00
2011 Q2,5.79,5.83,12.89,13.06,11.37,4.40,60.76,24718.03,2011-07-01T00:00:00
2011 Q3,5.89,5.62,12.28,13.08,10.80,4.46,60.80,25191.12,2011-10-01T00:00:00
2011 Q4,5.40,5.25,12.36,12.78,10.36,4.54,59.94,25492.56,2012-01-01T00:00:00
2012 Q1,5.07,5.02,12.34,13.04,10.89,4.51,60.71,25430.34,2012-04-01T00:00:00
2012 Q2,4.88,4.87,12.06,12.76,10.94,4.77,61.67,25003.33,2012-07-01T00:00:00
2012 Q3,4.88,4.75,11.95,13.21,10.37,4.74,61.71,25086.70,2012-10-01T00:00:00
2012 Q4,4.82,4.64,11.88,12.81,10.64,4.53,62.60,25842.76,2013-01-01T00:00:00
2013 Q1,4.69,4.60,11.94,13.02,10.12,4.80,62.67,25609.04,2013-04-01T00:00:00
2013 Q2,4.13,4.34,11.95,12.76,10.34,4.78,62.60,25394.52,2013-07-01T00:00:00
2013 Q3,4.46,4.38,11.88,13.11,10.13,4.43,62.52,25389.92,2013-10-01T00:00:00
2013 Q4,4.42,4.52,11.85,12.89,10.22,4.69,62.56,25951.03,2014-01-01T00:00:00
2014 Q1,4.23,4.37,11.83,13.14,10.09,5.01,63.58,26186.90,2014-04-01T00:00:00
2014 Q2,4.50,4.46,11.83,12.74,9.62,5.03,63.65,25839.92,2014-07-01T00:00:00
2014 Q3,4.16,4.11,11.82,13.18,10.73,4.68,63.64,26370.63,2014-10-01T00:00:00
2014 Q4,4.06,4.07,11.99,13.68,10.47,4.82,64.58,26755.30,2015-01-01T00:00:00
2015 Q1,4.53,4.27,11.98,13.53,9.85,5.19,64.58,27272.36,2015-04-01T00:00:00
2015 Q2,4.15,4.21,12.04,13.49,9.69,5.38,65.47,26932.27,2015-07-01T00:00:00
2015 Q3,4.09,4.25,12.1,13.93,9.80,4.92,65.51,27697.60,2015-10-01T00:00:00
2015 Q4,4.00,4.05,12.22,13.7,9.66,5.03,65.43,27986.15,2016-01-01T00:00:00
2016 Q1,4.17,4.11,12.31,13.51,10.03,5.25,65.61,28140.06,2016-04-01T00:00:00
2016 Q2,4.33,4.15,12.16,13.35,9.65,5.04,65.58,28126.64,2016-07-01T00:00:00
2016 Q3,4.25,4.25,12.51,13.76,9.64,4.98,66.45,28667.30,2016-10-01T00:00:00
2016 Q4,4.45,4.05,12.41,13.61,9.45,4.94,66.50,29468.55,2017-01-01T00:00:00
2017 Q1,4.52,4.21,12.54,13.86,10.05,5.10,67.37,29133.85,2017-04-01T00:00:00
2017 Q2,4.67,4.24,12.77,14.0,10.13,5.61,66.53,28569.47,2017-07-01T00:00:00
2017 Q3,4.42,4.36,13.08,14.89,9.76,5.44,67.36,29153.73,2017-10-01T00:00:00
2017 Q4,4.81,4.51,13.16,14.99,10.57,5.29,67.35,30294.94,2018-01-01T00:00:00
2018 Q1,4.74,4.75,13.63,15.32,10.22,5.24,66.46,30471.66,2018-04-01T00:00:00
2018 Q2,5.05,4.99,14.14,15.54,10.31,6.16,66.49,29805.20,2018-07-01T00:00:00
2018 Q3,5.05,4.96,14.38,16.46,10.08,6.43,65.59,29921.27,2018-10-01T00:00:00
2018 Q4,5.29,5.36,14.73,16.86,10.65,6.70,66.49,30493.73,2019-01-01T00:00:00
2019 Q1,5.50,5.24,15.09,16.91,10.36,6.48,66.47,30865.42,2019-04-01T00:00:00
2019 Q2,5.35,5.36,15.13,17.14,10.63,6.68,66.49,31170.60,2019-07-01T00:00:00
2019 Q3,5.27,5.27,15.1,16.97,10.07,6.37,66.50,31514.06,2019-10-01T00:00:00
2019 Q4,5.45,5.37,14.87,16.88,10.21,6.11,66.65,31692.14,2020-01-01T00:00:00
2020 Q1,5.29,5.15,15.09,16.61,9.63,6.13,67.51,32723.94,2020-04-01T00:00:00
2020 Q2,5.13,5.14,14.52,15.78,9.50,4.80,71.00,36674.90,2020-07-01T00:00:00
2020 Q3,4.98,4.98,14.58,16.43,9.26,4.98,68.15,34660.26,2020-10-01T00:00:00
2020 Q4,4.95,4.80,14.65,16.28,9.65,5.07,68.19,33738.23,2021-01-01T00:00:00
2021 Q1,5.21,4.96,14.75,15.91,9.46,4.79,67.28,34207.35,2021-04-01T00:00:00
