Month,Year,order,variable,value
Jan,2007,0,Index,1.171
Feb,2007,1,Index,1.196
Mar,2007,2,Index,1.258
Apr,2007,3,Index,1.259
May,2007,4,Index,1.278
Jun,2007,5,Index,1.31
Jul,2007,6,Index,1.259
Aug,2007,7,Index,1.271
Sep,2007,8,Index,1.295
Oct,2007,9,Index,1.264
Nov,2007,10,Index,1.256
Dec,2007,11,Index,1.173
Jan,2008,0,Index,1.129
Feb,2008,1,Index,1.134
Mar,2008,2,Index,1.16
Apr,2008,3,Index,1.171
May,2008,4,Index,1.162
Jun,2008,5,Index,1.166
Jul,2008,6,Index,1.096
Aug,2008,7,Index,1.127
Sep,2008,8,Index,1.08
Oct,2008,9,Index,1.05
Nov,2008,10,Index,1.028
Dec,2008,11,Index,0.902
Jan,2009,0,Index,0.851
Feb,2009,1,Index,0.938
Mar,2009,2,Index,0.905
Apr,2009,3,Index,0.878
May,2009,4,Index,0.913
Jun,2009,5,Index,0.933
Jul,2009,6,Index,0.928
Aug,2009,7,Index,0.94
Sep,2009,8,Index,0.966
Oct,2009,9,Index,0.921
Nov,2009,10,Index,0.947
Dec,2009,11,Index,0.919
Jan,2019,0,Index,1.128
Feb,2019,1,Index,1.173
Mar,2019,2,Index,1.197
Apr,2019,3,Index,1.194
May,2019,4,Index,1.228
Jun,2019,5,Index,1.181
Jul,2019,6,Index,1.171
Aug,2019,7,Index,1.19
Sep,2019,8,Index,1.199
Oct,2019,9,Index,1.152
Nov,2019,10,Index,1.124
Dec,2019,11,Index,1.052
Jan,2020,0,Index,1.022
Feb,2020,1,Index,1.085
Mar,2020,2,Index,1.087
Apr,2020,3,Index,0.923
May,2020,4,Index,0.938
Jun,2020,5,Index,0.971
Jul,2020,6,Index,1.018
Aug,2020,7,Index,1.099
Sep,2020,8,Index,1.177
Oct,2020,9,Index,1.18
Nov,2020,10,Index,1.154
Dec,2020,11,Index,1.122
Jan,2021,0,Index,1.11
Feb,2021,1,Index,1.13
Mar,2021,2,Index,1.196
Apr,2021,3,Index,1.178
May,2021,4,Index,1.269
Jun,2021,5,Index,1.231
Jul,2021,6,Index,1.177
Aug,2021,7,Index,1.234
Sep,2021,8,Index,1.184
Oct,2021,9,Index,1.189
Nov,2021,10,Index,1.206
Dec,2021,11,Index,1.208
Jan,2022,0,Index,1.078
Feb,2022,1,Index,1.171
Mar,2022,2,Index,1.203
