x,f(x)
0,0.0
1,0.19866933079506122
2,0.3894183423086505
3,0.5646424733950354
4,0.7173560908995228
5,0.8414709848078965
6,0.9320390859672263
7,0.9854497299884601
8,0.9995736030415051
9,0.9738476308781951
10,0.9092974268256817
11,0.8084964038195901
12,0.675463180551151
13,0.5155013718214642
14,0.33498815015590505
15,0.1411200080598672
16,-0.058374143427580086
17,-0.2555411020268312
18,-0.44252044329485246
19,-0.6118578909427189
20,-0.7568024953079282
21,-0.8715757724135881
22,-0.9516020738895161
23,-0.9936910036334644
24,-0.9961646088358407
25,-0.9589242746631385
26,-0.8834546557201531
27,-0.7727644875559871
28,-0.6312666378723216
29,-0.46460217941375737
30,-0.27941549819892586
31,-0.08308940281749641
32,0.11654920485049364
33,0.31154136351337786
34,0.4941133511386082
35,0.6569865987187891
36,0.7936678638491531
37,0.8987080958116269
38,0.9679196720314863
39,0.998543345374605
40,0.9893582466233818
41,0.9407305566797731
42,0.8545989080882805
43,0.7343970978741134
44,0.5849171928917617
45,0.4121184852417566
46,0.22288991410024764
47,0.024775425453357765
48,-0.17432678122297965
49,-0.3664791292519284
50,-0.5440211108893699
51,-0.6998746875935424
52,-0.8278264690856536
53,-0.9227754216128066
54,-0.9809362300664916
55,-0.9999902065507035
56,-0.9791777291513174
57,-0.9193285256646757
58,-0.8228285949687089
59,-0.6935250847771224
60,-0.5365729180004349
61,-0.3582292822368287
62,-0.1656041754483094
63,0.03362304722113669
64,0.23150982510153895
65,0.4201670368266409
66,0.592073514707223
67,0.7403758899524486
68,0.8591618148564959
69,0.9436956694441048
70,0.9906073556948704
71,0.9980266527163617
72,0.9656577765492775
73,0.8947911721405042
74,0.7882520673753163
75,0.6502878401571169
76,0.4863986888537997
77,0.30311835674570226
78,0.10775365229944406
79,-0.09190685022768165
80,-0.2879033166650653
81,-0.47242198639846616
82,-0.6381066823479474
83,-0.7783520785342986
84,-0.8875670335815046
85,-0.9613974918795568
86,-0.9969000660415961
87,-0.9926593804706332
88,-0.948844497918124
89,-0.8672021794855813
90,-0.750987246771676
91,-0.6048328224062841
92,-0.4345656220718967
93,-0.2469736617366209
94,-0.04953564087836742
95,0.14987720966295234
96,0.3433149288198954
97,0.5230657651576964
98,0.6819636200681355
99,0.8136737375071054
