id,tipo
1,Evadido
2,Evadido
3,Evadido
4,Evadido
5,Evadido
6,Evadido
7,Evadido
8,Evadido
9,Evadido
10,Evadido
11,Evadido
12,Evadido
13,Evadido
14,Evadido
15,Evadido
16,Evadido
17,Evadido
18,Evadido
19,Evadido
20,Evadido
21,Evadido
22,Evadido
23,Evadido
24,Evadido
25,Evadido
26,Evadido
27,Evadido
28,Evadido
29,Evadido
30,Evadido
31,Evadido
32,Evadido
33,Evadido
34,Evadido
35,Evadido
36,Evadido
37,Evadido
38,Evadido
39,Graduado
40,Graduado
41,Graduado
42,Graduado
43,Graduado
44,Graduado
45,Graduado
46,Graduado
47,Graduado
48,Graduado
49,Graduado
50,Graduado
51,Graduado
52,Graduado
53,Graduado
54,Graduado
55,Graduado
56,Graduado
57,Graduado
58,Graduado
59,Graduado
60,Graduado
61,Graduado
62,Graduado
63,Graduado
64,Graduado
65,Graduado
66,Regular
67,Regular
68,Regular
69,Regular
70,Regular
71,Regular
72,Regular
73,Regular
74,Regular
75,Regular
76,Regular
77,Regular
78,Regular
79,Regular
80,Regular
81,Regular
82,Regular
83,Regular
84,Regular
85,Regular
86,Regular
87,Regular
88,Regular
89,Regular
90,Regular
91,Regular
92,Reingresso
93,Reingresso
94,Reingresso
95,Reingresso
96,Reingresso
97,Reingresso
98,Reingresso
99,Reingresso
100,Reingresso
