areaCode,areaName,areaType,date,newAdmissionsRollingRate
E92000001,England,nation,2023-12-08,4.6
E92000001,England,nation,2023-12-07,4.5
E92000001,England,nation,2023-12-06,4.4
E92000001,England,nation,2023-12-05,4.2
E92000001,England,nation,2023-12-04,4.1
E92000001,England,nation,2023-12-03,3.9
E92000001,England,nation,2023-12-02,3.7
E92000001,England,nation,2023-12-01,3.6
E92000001,England,nation,2023-11-30,3.6
E92000001,England,nation,2023-11-29,3.6
E92000001,England,nation,2023-11-28,3.5
E92000001,England,nation,2023-11-27,3.4
E92000001,England,nation,2023-11-26,3.4
E92000001,England,nation,2023-11-25,3.3
E92000001,England,nation,2023-11-24,3.3
E92000001,England,nation,2023-11-23,3.3
E92000001,England,nation,2023-11-22,3.3
E92000001,England,nation,2023-11-21,3.4
E92000001,England,nation,2023-11-20,3.4
E92000001,England,nation,2023-11-19,3.5
E92000001,England,nation,2023-11-18,3.5
E92000001,England,nation,2023-11-17,3.6
E92000001,England,nation,2023-11-16,3.6
E92000001,England,nation,2023-11-15,3.7
E92000001,England,nation,2023-11-14,3.7
E92000001,England,nation,2023-11-13,3.8
E92000001,England,nation,2023-11-12,3.9
E92000001,England,nation,2023-11-11,4.0
E92000001,England,nation,2023-11-10,4.1
E92000001,England,nation,2023-11-09,4.2
E92000001,England,nation,2023-11-08,4.2
E92000001,England,nation,2023-11-07,4.3
E92000001,England,nation,2023-11-06,4.3
E92000001,England,nation,2023-11-05,4.4
E92000001,England,nation,2023-11-04,4.4
E92000001,England,nation,2023-11-03,4.4
E92000001,England,nation,2023-11-02,4.5
E92000001,England,nation,2023-11-01,4.7
E92000001,England,nation,2023-10-31,4.7
E92000001,England,nation,2023-10-30,5.0
E92000001,England,nation,2023-10-29,5.1
E92000001,England,nation,2023-10-28,5.3
E92000001,England,nation,2023-10-27,5.4
E92000001,England,nation,2023-10-26,5.5
E92000001,England,nation,2023-10-25,5.6
E92000001,England,nation,2023-10-24,5.9
E92000001,England,nation,2023-10-23,5.9
E92000001,England,nation,2023-10-22,5.9
E92000001,England,nation,2023-10-21,5.9
E92000001,England,nation,2023-10-20,6.0
E92000001,England,nation,2023-10-19,6.0
E92000001,England,nation,2023-10-18,6.0
E92000001,England,nation,2023-10-17,6.0
E92000001,England,nation,2023-10-16,6.2
E92000001,England,nation,2023-10-15,6.6
E92000001,England,nation,2023-10-14,6.8
E92000001,England,nation,2023-10-13,7.0
E92000001,England,nation,2023-10-12,7.1
E92000001,England,nation,2023-10-11,7.4
E92000001,England,nation,2023-10-10,7.5
E92000001,England,nation,2023-10-09,7.6
E92000001,England,nation,2023-10-08,7.7
E92000001,England,nation,2023-10-07,7.7
E92000001,England,nation,2023-10-06,7.6
E92000001,England,nation,2023-10-05,7.6
E92000001,England,nation,2023-10-04,7.4
E92000001,England,nation,2023-10-03,7.4
E92000001,England,nation,2023-10-02,7.3
E92000001,England,nation,2023-10-01,7.1
E92000001,England,nation,2023-09-30,6.9
E92000001,England,nation,2023-09-29,6.8
E92000001,England,nation,2023-09-28,6.7
E92000001,England,nation,2023-09-27,6.4
E92000001,England,nation,2023-09-26,6.2
E92000001,England,nation,2023-09-25,5.9
E92000001,England,nation,2023-09-24,5.6
E92000001,England,nation,2023-09-23,5.5
E92000001,England,nation,2023-09-22,5.4
E92000001,England,nation,2023-09-21,5.3
E92000001,England,nation,2023-09-20,5.1
E92000001,England,nation,2023-09-19,4.9
E92000001,England,nation,2023-09-18,4.9
E92000001,England,nation,2023-09-17,4.8
E92000001,England,nation,2023-09-16,4.9
E92000001,England,nation,2023-09-15,4.9
E92000001,England,nation,2023-09-14,5.0
E92000001,England,nation,2023-09-13,5.2
E92000001,England,nation,2023-09-12,5.4
E92000001,England,nation,2023-09-11,5.5
E92000001,England,nation,2023-09-10,5.7
E92000001,England,nation,2023-09-09,5.9
E92000001,England,nation,2023-09-08,5.8
E92000001,England,nation,2023-09-07,5.8
E92000001,England,nation,2023-09-06,5.6
E92000001,England,nation,2023-09-05,5.5
E92000001,England,nation,2023-09-04,5.3
E92000001,England,nation,2023-09-03,5.1
E92000001,England,nation,2023-09-02,4.7
E92000001,England,nation,2023-09-01,4.5
E92000001,England,nation,2023-08-31,4.3
E92000001,England,nation,2023-08-30,4.3
E92000001,England,nation,2023-08-29,4.1
E92000001,England,nation,2023-08-28,4.0
E92000001,England,nation,2023-08-27,4.0
E92000001,England,nation,2023-08-26,4.1
E92000001,England,nation,2023-08-25,4.0
E92000001,England,nation,2023-08-24,4.0
E92000001,England,nation,2023-08-23,4.0
E92000001,England,nation,2023-08-22,4.0
E92000001,England,nation,2023-08-21,3.9
E92000001,England,nation,2023-08-20,3.9
E92000001,England,nation,2023-08-19,3.9
E92000001,England,nation,2023-08-18,4.0
E92000001,England,nation,2023-08-17,4.0
E92000001,England,nation,2023-08-16,4.0
E92000001,England,nation,2023-08-15,4.0
E92000001,England,nation,2023-08-14,4.0
E92000001,England,nation,2023-08-13,4.0
E92000001,England,nation,2023-08-12,3.9
E92000001,England,nation,2023-08-11,3.8
E92000001,England,nation,2023-08-10,3.7
E92000001,England,nation,2023-08-09,3.7
E92000001,England,nation,2023-08-08,3.6
E92000001,England,nation,2023-08-07,3.5
E92000001,England,nation,2023-08-06,3.3
E92000001,England,nation,2023-08-05,3.2
E92000001,England,nation,2023-08-04,3.2
E92000001,England,nation,2023-08-03,3.1
E92000001,England,nation,2023-08-02,3.0
E92000001,England,nation,2023-08-01,2.9
E92000001,England,nation,2023-07-31,2.8
E92000001,England,nation,2023-07-30,2.8
E92000001,England,nation,2023-07-29,2.6
E92000001,England,nation,2023-07-28,2.5
E92000001,England,nation,2023-07-27,2.5
E92000001,England,nation,2023-07-26,2.3
E92000001,England,nation,2023-07-25,2.3
E92000001,England,nation,2023-07-24,2.2
E92000001,England,nation,2023-07-23,2.0
E92000001,England,nation,2023-07-22,1.9
E92000001,England,nation,2023-07-21,1.8
E92000001,England,nation,2023-07-20,1.8
E92000001,England,nation,2023-07-19,1.7
E92000001,England,nation,2023-07-18,1.6
E92000001,England,nation,2023-07-17,1.6
E92000001,England,nation,2023-07-16,1.7
E92000001,England,nation,2023-07-15,1.7
E92000001,England,nation,2023-07-14,1.6
E92000001,England,nation,2023-07-13,1.6
E92000001,England,nation,2023-07-12,1.6
E92000001,England,nation,2023-07-11,1.6
E92000001,England,nation,2023-07-10,1.5
E92000001,England,nation,2023-07-09,1.5
E92000001,England,nation,2023-07-08,1.4
E92000001,England,nation,2023-07-07,1.3
E92000001,England,nation,2023-07-06,1.3
E92000001,England,nation,2023-07-05,1.3
E92000001,England,nation,2023-07-04,1.3
E92000001,England,nation,2023-07-03,1.2
E92000001,England,nation,2023-07-02,1.2
E92000001,England,nation,2023-07-01,1.2
E92000001,England,nation,2023-06-30,1.3
E92000001,England,nation,2023-06-29,1.3
E92000001,England,nation,2023-06-28,1.3
E92000001,England,nation,2023-06-27,1.3
E92000001,England,nation,2023-06-26,1.4
E92000001,England,nation,2023-06-25,1.5
E92000001,England,nation,2023-06-24,1.6
E92000001,England,nation,2023-06-23,1.6
E92000001,England,nation,2023-06-22,1.7
E92000001,England,nation,2023-06-21,1.7
E92000001,England,nation,2023-06-20,1.9
E92000001,England,nation,2023-06-19,2.0
E92000001,England,nation,2023-06-18,2.2
E92000001,England,nation,2023-06-17,2.4
E92000001,England,nation,2023-06-16,2.5
E92000001,England,nation,2023-06-15,2.6
E92000001,England,nation,2023-06-14,2.7
E92000001,England,nation,2023-06-13,2.8
E92000001,England,nation,2023-06-12,2.9
E92000001,England,nation,2023-06-11,3.0
E92000001,England,nation,2023-06-10,3.0
E92000001,England,nation,2023-06-09,3.0
E92000001,England,nation,2023-06-08,3.0
E92000001,England,nation,2023-06-07,3.1
E92000001,England,nation,2023-06-06,3.1
E92000001,England,nation,2023-06-05,3.2
E92000001,England,nation,2023-06-04,3.2
E92000001,England,nation,2023-06-03,3.2
E92000001,England,nation,2023-06-02,3.3
E92000001,England,nation,2023-06-01,3.4
E92000001,England,nation,2023-05-31,3.4
E92000001,England,nation,2023-05-30,3.5
E92000001,England,nation,2023-05-29,3.6
E92000001,England,nation,2023-05-28,3.8
E92000001,England,nation,2023-05-27,3.9
E92000001,England,nation,2023-05-26,3.9
E92000001,England,nation,2023-05-25,4.0
E92000001,England,nation,2023-05-24,4.0
E92000001,England,nation,2023-05-23,4.0
E92000001,England,nation,2023-05-22,4.0
E92000001,England,nation,2023-05-21,4.0
E92000001,England,nation,2023-05-20,4.1
E92000001,England,nation,2023-05-19,4.1
E92000001,England,nation,2023-05-18,4.2
E92000001,England,nation,2023-05-17,4.3
E92000001,England,nation,2023-05-16,4.5
E92000001,England,nation,2023-05-15,4.6
E92000001,England,nation,2023-05-14,4.8
E92000001,England,nation,2023-05-13,4.8
E92000001,England,nation,2023-05-12,5.0
E92000001,England,nation,2023-05-11,5.2
E92000001,England,nation,2023-05-10,5.2
E92000001,England,nation,2023-05-09,5.2
E92000001,England,nation,2023-05-08,5.3
E92000001,England,nation,2023-05-07,5.4
E92000001,England,nation,2023-05-06,5.5
E92000001,England,nation,2023-05-05,5.6
E92000001,England,nation,2023-05-04,5.6
E92000001,England,nation,2023-05-03,5.7
E92000001,England,nation,2023-05-02,5.9
E92000001,England,nation,2023-05-01,5.9
E92000001,England,nation,2023-04-30,5.9
E92000001,England,nation,2023-04-29,6.1
E92000001,England,nation,2023-04-28,6.2
E92000001,England,nation,2023-04-27,6.2
E92000001,England,nation,2023-04-26,6.1
E92000001,England,nation,2023-04-25,6.2
E92000001,England,nation,2023-04-24,6.3
E92000001,England,nation,2023-04-23,6.5
E92000001,England,nation,2023-04-22,6.5
E92000001,England,nation,2023-04-21,6.7
E92000001,England,nation,2023-04-20,6.8
E92000001,England,nation,2023-04-19,7.0
E92000001,England,nation,2023-04-18,7.1
E92000001,England,nation,2023-04-17,7.4
E92000001,England,nation,2023-04-16,7.5
E92000001,England,nation,2023-04-15,7.6
E92000001,England,nation,2023-04-14,7.6
E92000001,England,nation,2023-04-13,7.7
E92000001,England,nation,2023-04-12,7.7
E92000001,England,nation,2023-04-11,7.9
E92000001,England,nation,2023-04-10,8.1
E92000001,England,nation,2023-04-09,8.1
E92000001,England,nation,2023-04-08,8.4
E92000001,England,nation,2023-04-07,8.8
E92000001,England,nation,2023-04-06,9.1
E92000001,England,nation,2023-04-05,9.5
E92000001,England,nation,2023-04-04,9.9
E92000001,England,nation,2023-04-03,10.2
E92000001,England,nation,2023-04-02,10.4
E92000001,England,nation,2023-04-01,10.5
E92000001,England,nation,2023-03-31,10.5
E92000001,England,nation,2023-03-30,10.6
E92000001,England,nation,2023-03-29,10.9
E92000001,England,nation,2023-03-28,10.9
E92000001,England,nation,2023-03-27,11.2
E92000001,England,nation,2023-03-26,11.4
E92000001,England,nation,2023-03-25,11.8
E92000001,England,nation,2023-03-24,12.0
E92000001,England,nation,2023-03-23,12.1
E92000001,England,nation,2023-03-22,12.3
E92000001,England,nation,2023-03-21,12.2
E92000001,England,nation,2023-03-20,12.3
E92000001,England,nation,2023-03-19,12.6
E92000001,England,nation,2023-03-18,12.6
E92000001,England,nation,2023-03-17,12.7
E92000001,England,nation,2023-03-16,12.6
E92000001,England,nation,2023-03-15,12.4
E92000001,England,nation,2023-03-14,12.6
E92000001,England,nation,2023-03-13,12.5
E92000001,England,nation,2023-03-12,12.2
E92000001,England,nation,2023-03-11,11.9
E92000001,England,nation,2023-03-10,11.6
E92000001,England,nation,2023-03-09,11.6
E92000001,England,nation,2023-03-08,11.5
E92000001,England,nation,2023-03-07,11.3
E92000001,England,nation,2023-03-06,11.1
E92000001,England,nation,2023-03-05,10.9
E92000001,England,nation,2023-03-04,11.0
E92000001,England,nation,2023-03-03,10.9
E92000001,England,nation,2023-03-02,10.8
E92000001,England,nation,2023-03-01,10.6
E92000001,England,nation,2023-02-28,10.4
E92000001,England,nation,2023-02-27,10.5
E92000001,England,nation,2023-02-26,10.5
E92000001,England,nation,2023-02-25,10.6
E92000001,England,nation,2023-02-24,10.6
E92000001,England,nation,2023-02-23,10.8
E92000001,England,nation,2023-02-22,11.0
E92000001,England,nation,2023-02-21,11.2
E92000001,England,nation,2023-02-20,11.1
E92000001,England,nation,2023-02-19,11.0
E92000001,England,nation,2023-02-18,11.0
E92000001,England,nation,2023-02-17,10.9
E92000001,England,nation,2023-02-16,10.7
E92000001,England,nation,2023-02-15,10.4
E92000001,England,nation,2023-02-14,10.1
E92000001,England,nation,2023-02-13,9.9
E92000001,England,nation,2023-02-12,9.7
E92000001,England,nation,2023-02-11,9.5
E92000001,England,nation,2023-02-10,9.3
E92000001,England,nation,2023-02-09,9.2
E92000001,England,nation,2023-02-08,9.0
E92000001,England,nation,2023-02-07,9.1
E92000001,England,nation,2023-02-06,8.9
E92000001,England,nation,2023-02-05,8.8
E92000001,England,nation,2023-02-04,8.7
E92000001,England,nation,2023-02-03,8.5
E92000001,England,nation,2023-02-02,8.5
E92000001,England,nation,2023-02-01,8.4
E92000001,England,nation,2023-01-31,8.3
E92000001,England,nation,2023-01-30,8.2
E92000001,England,nation,2023-01-29,8.0
E92000001,England,nation,2023-01-28,7.7
E92000001,England,nation,2023-01-27,7.6
E92000001,England,nation,2023-01-26,7.4
E92000001,England,nation,2023-01-25,7.4
E92000001,England,nation,2023-01-24,7.2
E92000001,England,nation,2023-01-23,6.9
E92000001,England,nation,2023-01-22,6.9
E92000001,England,nation,2023-01-21,6.9
E92000001,England,nation,2023-01-20,6.7
E92000001,England,nation,2023-01-19,6.8
E92000001,England,nation,2023-01-18,6.9
E92000001,England,nation,2023-01-17,7.1
E92000001,England,nation,2023-01-16,7.3
E92000001,England,nation,2023-01-15,7.5
E92000001,England,nation,2023-01-14,7.9
E92000001,England,nation,2023-01-13,8.3
E92000001,England,nation,2023-01-12,8.6
E92000001,England,nation,2023-01-11,9.0
E92000001,England,nation,2023-01-10,9.4
E92000001,England,nation,2023-01-09,10.0
E92000001,England,nation,2023-01-08,10.3
E92000001,England,nation,2023-01-07,10.3
E92000001,England,nation,2023-01-06,10.5
E92000001,England,nation,2023-01-05,10.9
E92000001,England,nation,2023-01-04,11.5
E92000001,England,nation,2023-01-03,12.1
E92000001,England,nation,2023-01-02,12.3
E92000001,England,nation,2023-01-01,12.4
E92000001,England,nation,2022-12-31,12.6
E92000001,England,nation,2022-12-30,12.7
E92000001,England,nation,2022-12-29,12.6
E92000001,England,nation,2022-12-28,12.6
E92000001,England,nation,2022-12-27,12.7
E92000001,England,nation,2022-12-26,13.1
E92000001,England,nation,2022-12-25,13.7
E92000001,England,nation,2022-12-24,14.2
E92000001,England,nation,2022-12-23,14.3
E92000001,England,nation,2022-12-22,14.2
E92000001,England,nation,2022-12-21,13.9
E92000001,England,nation,2022-12-20,13.3
E92000001,England,nation,2022-12-19,12.7
E92000001,England,nation,2022-12-18,12.1
E92000001,England,nation,2022-12-17,11.5
E92000001,England,nation,2022-12-16,11.2
E92000001,England,nation,2022-12-15,10.7
E92000001,England,nation,2022-12-14,10.1
E92000001,England,nation,2022-12-13,9.7
E92000001,England,nation,2022-12-12,9.3
E92000001,England,nation,2022-12-11,8.9
E92000001,England,nation,2022-12-10,8.4
E92000001,England,nation,2022-12-09,8.2
E92000001,England,nation,2022-12-08,8.0
E92000001,England,nation,2022-12-07,7.8
E92000001,England,nation,2022-12-06,7.5
E92000001,England,nation,2022-12-05,7.3
E92000001,England,nation,2022-12-04,7.1
E92000001,England,nation,2022-12-03,7.1
E92000001,England,nation,2022-12-02,7.0
E92000001,England,nation,2022-12-01,6.9
E92000001,England,nation,2022-11-30,6.8
E92000001,England,nation,2022-11-29,6.7
E92000001,England,nation,2022-11-28,6.5
E92000001,England,nation,2022-11-27,6.3
E92000001,England,nation,2022-11-26,6.1
E92000001,England,nation,2022-11-25,6.0
E92000001,England,nation,2022-11-24,6.0
E92000001,England,nation,2022-11-23,6.0
E92000001,England,nation,2022-11-22,6.0
E92000001,England,nation,2022-11-21,5.9
E92000001,England,nation,2022-11-20,5.9
E92000001,England,nation,2022-11-19,5.9
E92000001,England,nation,2022-11-18,5.9
E92000001,England,nation,2022-11-17,5.9
E92000001,England,nation,2022-11-16,5.9
E92000001,England,nation,2022-11-15,5.9
E92000001,England,nation,2022-11-14,6.0
E92000001,England,nation,2022-11-13,6.2
E92000001,England,nation,2022-11-12,6.3
E92000001,England,nation,2022-11-11,6.3
E92000001,England,nation,2022-11-10,6.3
E92000001,England,nation,2022-11-09,6.3
E92000001,England,nation,2022-11-08,6.4
E92000001,England,nation,2022-11-07,6.6
E92000001,England,nation,2022-11-06,6.7
E92000001,England,nation,2022-11-05,6.9
E92000001,England,nation,2022-11-04,7.1
E92000001,England,nation,2022-11-03,7.4
E92000001,England,nation,2022-11-02,7.7
E92000001,England,nation,2022-11-01,8.2
E92000001,England,nation,2022-10-31,8.6
E92000001,England,nation,2022-10-30,9.0
E92000001,England,nation,2022-10-29,9.4
E92000001,England,nation,2022-10-28,9.9
E92000001,England,nation,2022-10-27,10.4
E92000001,England,nation,2022-10-26,10.9
E92000001,England,nation,2022-10-25,11.2
E92000001,England,nation,2022-10-24,11.6
E92000001,England,nation,2022-10-23,12.1
E92000001,England,nation,2022-10-22,12.7
E92000001,England,nation,2022-10-21,12.9
E92000001,England,nation,2022-10-20,13.1
E92000001,England,nation,2022-10-19,13.5
E92000001,England,nation,2022-10-18,13.6
E92000001,England,nation,2022-10-17,13.8
E92000001,England,nation,2022-10-16,14.1
E92000001,England,nation,2022-10-15,14.2
E92000001,England,nation,2022-10-14,14.1
E92000001,England,nation,2022-10-13,14.1
E92000001,England,nation,2022-10-12,13.9
E92000001,England,nation,2022-10-11,14.1
E92000001,England,nation,2022-10-10,14.5
E92000001,England,nation,2022-10-09,14.6
E92000001,England,nation,2022-10-08,14.6
E92000001,England,nation,2022-10-07,15.0
