areaCode,areaName,areaType,date,newCasesBySpecimenDateRollingSum
E12000001,North East,region,2023-12-09,194
E12000001,North East,region,2023-12-08,189
E12000001,North East,region,2023-12-07,168
E12000001,North East,region,2023-12-06,159
E12000001,North East,region,2023-12-05,148
E12000001,North East,region,2023-12-04,150
E12000001,North East,region,2023-12-03,132
E12000001,North East,region,2023-12-02,119
E12000001,North East,region,2023-12-01,122
E12000001,North East,region,2023-11-30,125
E12000001,North East,region,2023-11-29,127
E12000001,North East,region,2023-11-28,135
E12000001,North East,region,2023-11-27,132
E12000001,North East,region,2023-11-26,146
E12000001,North East,region,2023-11-25,151
E12000001,North East,region,2023-11-24,154
E12000001,North East,region,2023-11-23,159
E12000001,North East,region,2023-11-22,166
E12000001,North East,region,2023-11-21,159
E12000001,North East,region,2023-11-20,170
E12000001,North East,region,2023-11-19,170
E12000001,North East,region,2023-11-18,175
E12000001,North East,region,2023-11-17,167
E12000001,North East,region,2023-11-16,154
E12000001,North East,region,2023-11-15,150
E12000001,North East,region,2023-11-14,166
E12000001,North East,region,2023-11-13,168
E12000001,North East,region,2023-11-12,170
E12000001,North East,region,2023-11-11,185
E12000001,North East,region,2023-11-10,216
E12000001,North East,region,2023-11-09,231
E12000001,North East,region,2023-11-08,248
E12000001,North East,region,2023-11-07,255
E12000001,North East,region,2023-11-06,275
E12000001,North East,region,2023-11-05,282
E12000001,North East,region,2023-11-04,291
E12000001,North East,region,2023-11-03,291
E12000001,North East,region,2023-11-02,315
E12000001,North East,region,2023-11-01,332
E12000001,North East,region,2023-10-31,336
E12000001,North East,region,2023-10-30,332
E12000001,North East,region,2023-10-29,350
E12000001,North East,region,2023-10-28,350
E12000001,North East,region,2023-10-27,354
E12000001,North East,region,2023-10-26,356
E12000001,North East,region,2023-10-25,375
E12000001,North East,region,2023-10-24,415
E12000001,North East,region,2023-10-23,436
E12000001,North East,region,2023-10-22,481
E12000001,North East,region,2023-10-21,498
E12000001,North East,region,2023-10-20,507
E12000001,North East,region,2023-10-19,528
E12000001,North East,region,2023-10-18,514
E12000001,North East,region,2023-10-17,537
E12000001,North East,region,2023-10-16,566
E12000001,North East,region,2023-10-15,576
E12000001,North East,region,2023-10-14,642
E12000001,North East,region,2023-10-13,677
E12000001,North East,region,2023-10-12,716
E12000001,North East,region,2023-10-11,777
E12000001,North East,region,2023-10-10,824
E12000001,North East,region,2023-10-09,845
E12000001,North East,region,2023-10-08,888
E12000001,North East,region,2023-10-07,873
E12000001,North East,region,2023-10-06,893
E12000001,North East,region,2023-10-05,910
E12000001,North East,region,2023-10-04,901
E12000001,North East,region,2023-10-03,868
E12000001,North East,region,2023-10-02,863
E12000001,North East,region,2023-10-01,865
E12000001,North East,region,2023-09-30,879
E12000001,North East,region,2023-09-29,878
E12000001,North East,region,2023-09-28,850
E12000001,North East,region,2023-09-27,832
E12000001,North East,region,2023-09-26,804
E12000001,North East,region,2023-09-25,793
E12000001,North East,region,2023-09-24,776
E12000001,North East,region,2023-09-23,733
E12000001,North East,region,2023-09-22,701
E12000001,North East,region,2023-09-21,656
E12000001,North East,region,2023-09-20,630
E12000001,North East,region,2023-09-19,608
E12000001,North East,region,2023-09-18,579
E12000001,North East,region,2023-09-17,532
E12000001,North East,region,2023-09-16,526
E12000001,North East,region,2023-09-15,516
E12000001,North East,region,2023-09-14,563
E12000001,North East,region,2023-09-13,608
E12000001,North East,region,2023-09-12,621
E12000001,North East,region,2023-09-11,651
E12000001,North East,region,2023-09-10,664
E12000001,North East,region,2023-09-09,662
E12000001,North East,region,2023-09-08,669
E12000001,North East,region,2023-09-07,645
E12000001,North East,region,2023-09-06,604
E12000001,North East,region,2023-09-05,600
E12000001,North East,region,2023-09-04,564
E12000001,North East,region,2023-09-03,523
E12000001,North East,region,2023-09-02,490
E12000001,North East,region,2023-09-01,466
E12000001,North East,region,2023-08-31,440
E12000001,North East,region,2023-08-30,428
E12000001,North East,region,2023-08-29,425
E12000001,North East,region,2023-08-28,415
E12000001,North East,region,2023-08-27,432
E12000001,North East,region,2023-08-26,441
E12000001,North East,region,2023-08-25,423
E12000001,North East,region,2023-08-24,426
E12000001,North East,region,2023-08-23,417
E12000001,North East,region,2023-08-22,399
E12000001,North East,region,2023-08-21,393
E12000001,North East,region,2023-08-20,366
E12000001,North East,region,2023-08-19,362
E12000001,North East,region,2023-08-18,359
E12000001,North East,region,2023-08-17,351
E12000001,North East,region,2023-08-16,353
E12000001,North East,region,2023-08-15,348
E12000001,North East,region,2023-08-14,347
E12000001,North East,region,2023-08-13,325
E12000001,North East,region,2023-08-12,300
E12000001,North East,region,2023-08-11,297
E12000001,North East,region,2023-08-10,296
E12000001,North East,region,2023-08-09,270
E12000001,North East,region,2023-08-08,252
E12000001,North East,region,2023-08-07,244
E12000001,North East,region,2023-08-06,252
E12000001,North East,region,2023-08-05,263
E12000001,North East,region,2023-08-04,265
E12000001,North East,region,2023-08-03,248
E12000001,North East,region,2023-08-02,256
E12000001,North East,region,2023-08-01,256
E12000001,North East,region,2023-07-31,241
E12000001,North East,region,2023-07-30,223
E12000001,North East,region,2023-07-29,205
E12000001,North East,region,2023-07-28,193
E12000001,North East,region,2023-07-27,181
E12000001,North East,region,2023-07-26,160
E12000001,North East,region,2023-07-25,144
E12000001,North East,region,2023-07-24,138
E12000001,North East,region,2023-07-23,122
E12000001,North East,region,2023-07-22,118
E12000001,North East,region,2023-07-21,123
E12000001,North East,region,2023-07-20,123
E12000001,North East,region,2023-07-19,128
E12000001,North East,region,2023-07-18,122
