areaCode,areaName,areaType,date,newCasesBySpecimenDate,newCasesBySpecimenDateRollingSum
E12000001,North East,region,2023-12-12,16,
E12000001,North East,region,2023-12-11,30,
E12000001,North East,region,2023-12-10,39,
E12000001,North East,region,2023-12-09,17,194
E12000001,North East,region,2023-12-08,36,189
E12000001,North East,region,2023-12-07,25,168
E12000001,North East,region,2023-12-06,28,159
E12000001,North East,region,2023-12-05,22,148
E12000001,North East,region,2023-12-04,38,150
E12000001,North East,region,2023-12-03,28,132
E12000001,North East,region,2023-12-02,12,119
E12000001,North East,region,2023-12-01,15,122
E12000001,North East,region,2023-11-30,16,125
E12000001,North East,region,2023-11-29,17,127
E12000001,North East,region,2023-11-28,24,135
E12000001,North East,region,2023-11-27,20,132
E12000001,North East,region,2023-11-26,15,146
E12000001,North East,region,2023-11-25,15,151
E12000001,North East,region,2023-11-24,18,154
E12000001,North East,region,2023-11-23,18,159
E12000001,North East,region,2023-11-22,25,166
E12000001,North East,region,2023-11-21,21,159
E12000001,North East,region,2023-11-20,34,170
E12000001,North East,region,2023-11-19,20,170
E12000001,North East,region,2023-11-18,18,175
E12000001,North East,region,2023-11-17,23,167
E12000001,North East,region,2023-11-16,25,154
E12000001,North East,region,2023-11-15,18,150
E12000001,North East,region,2023-11-14,32,166
E12000001,North East,region,2023-11-13,34,168
E12000001,North East,region,2023-11-12,25,170
E12000001,North East,region,2023-11-11,10,185
E12000001,North East,region,2023-11-10,10,216
E12000001,North East,region,2023-11-09,21,231
E12000001,North East,region,2023-11-08,34,248
E12000001,North East,region,2023-11-07,34,255
E12000001,North East,region,2023-11-06,36,275
E12000001,North East,region,2023-11-05,40,282
E12000001,North East,region,2023-11-04,41,291
E12000001,North East,region,2023-11-03,25,291
E12000001,North East,region,2023-11-02,38,315
E12000001,North East,region,2023-11-01,41,332
E12000001,North East,region,2023-10-31,54,336
E12000001,North East,region,2023-10-30,43,332
E12000001,North East,region,2023-10-29,49,350
E12000001,North East,region,2023-10-28,41,350
E12000001,North East,region,2023-10-27,49,354
E12000001,North East,region,2023-10-26,55,356
E12000001,North East,region,2023-10-25,45,375
E12000001,North East,region,2023-10-24,50,415
E12000001,North East,region,2023-10-23,61,436
E12000001,North East,region,2023-10-22,49,481
E12000001,North East,region,2023-10-21,45,498
E12000001,North East,region,2023-10-20,51,507
E12000001,North East,region,2023-10-19,74,528
E12000001,North East,region,2023-10-18,85,514
E12000001,North East,region,2023-10-17,71,537
E12000001,North East,region,2023-10-16,106,566
E12000001,North East,region,2023-10-15,66,576
E12000001,North East,region,2023-10-14,54,642
E12000001,North East,region,2023-10-13,72,677
