areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths28DaysByDeathDate
E12000001,North East,region,2023-12-12,1058629,
E12000001,North East,region,2023-12-11,1058613,
E12000001,North East,region,2023-12-10,1058583,
E12000001,North East,region,2023-12-09,1058544,
E12000001,North East,region,2023-12-08,1058527,
E12000001,North East,region,2023-12-07,1058491,
E12000001,North East,region,2023-12-06,1058466,
E12000001,North East,region,2023-12-05,1058438,
E12000001,North East,region,2023-12-04,1058416,
E12000001,North East,region,2023-12-03,1058378,
E12000001,North East,region,2023-12-02,1058350,
E12000001,North East,region,2023-12-01,1058338,
E12000001,North East,region,2023-11-30,1058323,
E12000001,North East,region,2023-11-29,1058307,
E12000001,North East,region,2023-11-28,1058290,
E12000001,North East,region,2023-11-27,1058266,
E12000001,North East,region,2023-11-26,1058246,
E12000001,North East,region,2023-11-25,1058231,
E12000001,North East,region,2023-11-24,1058216,
E12000001,North East,region,2023-11-23,1058198,
E12000001,North East,region,2023-11-22,1058180,
E12000001,North East,region,2023-11-21,1058155,
E12000001,North East,region,2023-11-20,1058134,
E12000001,North East,region,2023-11-19,1058100,
E12000001,North East,region,2023-11-18,1058080,
E12000001,North East,region,2023-11-17,1058062,
E12000001,North East,region,2023-11-16,1058039,
E12000001,North East,region,2023-11-15,1058014,
E12000001,North East,region,2023-11-14,1057996,
E12000001,North East,region,2023-11-13,1057964,
E12000001,North East,region,2023-11-12,1057930,
E12000001,North East,region,2023-11-11,1057905,
E12000001,North East,region,2023-11-10,1057895,
E12000001,North East,region,2023-11-09,1057885,
E12000001,North East,region,2023-11-08,1057864,
E12000001,North East,region,2023-11-07,1057830,
E12000001,North East,region,2023-11-06,1057796,
E12000001,North East,region,2023-11-05,1057760,
E12000001,North East,region,2023-11-04,1057720,
E12000001,North East,region,2023-11-03,1057679,
E12000001,North East,region,2023-11-02,1057654,
E12000001,North East,region,2023-11-01,1057616,
E12000001,North East,region,2023-10-31,1057575,
E12000001,North East,region,2023-10-30,1057521,
E12000001,North East,region,2023-10-29,1057478,
E12000001,North East,region,2023-10-28,1057429,
E12000001,North East,region,2023-10-27,1057388,
E12000001,North East,region,2023-10-26,1057339,
E12000001,North East,region,2023-10-25,1057284,
E12000001,North East,region,2023-10-24,1057239,
E12000001,North East,region,2023-10-23,1057189,
E12000001,North East,region,2023-10-22,1057128,
E12000001,North East,region,2023-10-21,1057079,
E12000001,North East,region,2023-10-20,1057034,
E12000001,North East,region,2023-10-19,1056983,
E12000001,North East,region,2023-10-18,1056909,
E12000001,North East,region,2023-10-17,1056824,
E12000001,North East,region,2023-10-16,1056753,
E12000001,North East,region,2023-10-15,1056647,
E12000001,North East,region,2023-10-14,1056581,
E12000001,North East,region,2023-10-13,1056527,
E12000001,North East,region,2023-10-12,1056455,
E12000001,North East,region,2023-10-11,1056395,
E12000001,North East,region,2023-10-10,1056287,
E12000001,North East,region,2023-10-09,1056187,
E12000001,North East,region,2023-10-08,1056071,
E12000001,North East,region,2023-10-07,1055939,
E12000001,North East,region,2023-10-06,1055850,
E12000001,North East,region,2023-10-05,1055739,
E12000001,North East,region,2023-10-04,1055618,
E12000001,North East,region,2023-10-03,1055463,
E12000001,North East,region,2023-10-02,1055342,
E12000001,North East,region,2023-10-01,1055183,
E12000001,North East,region,2023-09-30,1055066,
E12000001,North East,region,2023-09-29,1054957,
E12000001,North East,region,2023-09-28,1054829,
E12000001,North East,region,2023-09-27,1054717,
E12000001,North East,region,2023-09-26,1054595,
E12000001,North East,region,2023-09-25,1054479,
E12000001,North East,region,2023-09-24,1054318,
E12000001,North East,region,2023-09-23,1054187,
E12000001,North East,region,2023-09-22,1054079,
E12000001,North East,region,2023-09-21,1053979,
E12000001,North East,region,2023-09-20,1053885,
E12000001,North East,region,2023-09-19,1053791,
E12000001,North East,region,2023-09-18,1053686,
E12000001,North East,region,2023-09-17,1053542,
E12000001,North East,region,2023-09-16,1053454,
E12000001,North East,region,2023-09-15,1053378,
E12000001,North East,region,2023-09-14,1053323,
E12000001,North East,region,2023-09-13,1053255,
E12000001,North East,region,2023-09-12,1053183,
E12000001,North East,region,2023-09-11,1053107,
E12000001,North East,region,2023-09-10,1053010,
E12000001,North East,region,2023-09-09,1052928,
E12000001,North East,region,2023-09-08,1052862,
E12000001,North East,region,2023-09-07,1052760,
E12000001,North East,region,2023-09-06,1052647,
E12000001,North East,region,2023-09-05,1052562,
E12000001,North East,region,2023-09-04,1052456,
E12000001,North East,region,2023-09-03,1052346,
E12000001,North East,region,2023-09-02,1052266,
E12000001,North East,region,2023-09-01,1052193,
E12000001,North East,region,2023-08-31,1052115,
E12000001,North East,region,2023-08-30,1052043,
E12000001,North East,region,2023-08-29,1051962,
E12000001,North East,region,2023-08-28,1051892,
E12000001,North East,region,2023-08-27,1051823,
E12000001,North East,region,2023-08-26,1051776,
E12000001,North East,region,2023-08-25,1051727,
E12000001,North East,region,2023-08-24,1051675,
E12000001,North East,region,2023-08-23,1051615,
E12000001,North East,region,2023-08-22,1051537,
E12000001,North East,region,2023-08-21,1051477,
E12000001,North East,region,2023-08-20,1051391,
E12000001,North East,region,2023-08-19,1051335,
E12000001,North East,region,2023-08-18,1051304,
E12000001,North East,region,2023-08-17,1051249,
E12000001,North East,region,2023-08-16,1051198,
E12000001,North East,region,2023-08-15,1051138,
E12000001,North East,region,2023-08-14,1051084,
E12000001,North East,region,2023-08-13,1051025,
E12000001,North East,region,2023-08-12,1050973,
E12000001,North East,region,2023-08-11,1050945,
E12000001,North East,region,2023-08-10,1050898,
E12000001,North East,region,2023-08-09,1050845,
E12000001,North East,region,2023-08-08,1050790,
E12000001,North East,region,2023-08-07,1050737,
E12000001,North East,region,2023-08-06,1050700,
E12000001,North East,region,2023-08-05,1050673,
E12000001,North East,region,2023-08-04,1050648,
E12000001,North East,region,2023-08-03,1050602,
E12000001,North East,region,2023-08-02,1050575,
E12000001,North East,region,2023-08-01,1050538,
E12000001,North East,region,2023-07-31,1050493,
E12000001,North East,region,2023-07-30,1050448,
E12000001,North East,region,2023-07-29,1050410,
E12000001,North East,region,2023-07-28,1050383,
E12000001,North East,region,2023-07-27,1050354,
E12000001,North East,region,2023-07-26,1050319,
E12000001,North East,region,2023-07-25,1050282,
E12000001,North East,region,2023-07-24,1050252,
E12000001,North East,region,2023-07-23,1050225,
E12000001,North East,region,2023-07-22,1050205,
E12000001,North East,region,2023-07-21,1050190,
E12000001,North East,region,2023-07-20,1050173,
E12000001,North East,region,2023-07-19,1050159,
E12000001,North East,region,2023-07-18,1050138,
E12000001,North East,region,2023-07-17,1050114,
E12000001,North East,region,2023-07-16,1050103,
E12000001,North East,region,2023-07-15,1050087,
E12000001,North East,region,2023-07-14,1050067,
E12000001,North East,region,2023-07-13,1050050,
E12000001,North East,region,2023-07-12,1050031,
E12000001,North East,region,2023-07-11,1050016,
E12000001,North East,region,2023-07-10,1049993,
E12000001,North East,region,2023-07-09,1049976,
E12000001,North East,region,2023-07-08,1049951,
E12000001,North East,region,2023-07-07,1049938,
E12000001,North East,region,2023-07-06,1049919,
E12000001,North East,region,2023-07-05,1049907,
E12000001,North East,region,2023-07-04,1049881,
E12000001,North East,region,2023-07-03,1049864,10827
E12000001,North East,region,2023-07-02,1049841,10827
E12000001,North East,region,2023-07-01,1049823,10826
E12000001,North East,region,2023-06-30,1049812,10826
E12000001,North East,region,2023-06-29,1049800,10825
E12000001,North East,region,2023-06-28,1049786,10825
E12000001,North East,region,2023-06-27,1049775,10825
E12000001,North East,region,2023-06-26,1049767,10824
E12000001,North East,region,2023-06-25,1049749,10822
E12000001,North East,region,2023-06-24,1049735,10820
E12000001,North East,region,2023-06-23,1049716,10820
E12000001,North East,region,2023-06-22,1049699,10819
E12000001,North East,region,2023-06-21,1049686,10819
E12000001,North East,region,2023-06-20,1049670,10819
E12000001,North East,region,2023-06-19,1049652,10817
E12000001,North East,region,2023-06-18,1049636,10817
E12000001,North East,region,2023-06-17,1049616,10817
E12000001,North East,region,2023-06-16,1049607,10816
E12000001,North East,region,2023-06-15,1049590,10814
E12000001,North East,region,2023-06-14,1049564,10813
E12000001,North East,region,2023-06-13,1049528,10810
E12000001,North East,region,2023-06-12,1049502,10808
E12000001,North East,region,2023-06-11,1049467,10806
E12000001,North East,region,2023-06-10,1049454,10802
E12000001,North East,region,2023-06-09,1049438,10800
E12000001,North East,region,2023-06-08,1049416,10798
E12000001,North East,region,2023-06-07,1049382,10795
E12000001,North East,region,2023-06-06,1049350,10793
E12000001,North East,region,2023-06-05,1049318,10792
E12000001,North East,region,2023-06-04,1049282,10788
E12000001,North East,region,2023-06-03,1049260,10787
E12000001,North East,region,2023-06-02,1049227,10787
E12000001,North East,region,2023-06-01,1049194,10787
E12000001,North East,region,2023-05-31,1049156,10784
E12000001,North East,region,2023-05-30,1049120,10783
E12000001,North East,region,2023-05-29,1049081,10782
E12000001,North East,region,2023-05-28,1049039,10782
E12000001,North East,region,2023-05-27,1049010,10781
E12000001,North East,region,2023-05-26,1048978,10780
E12000001,North East,region,2023-05-25,1048940,10773
E12000001,North East,region,2023-05-24,1048894,10771
E12000001,North East,region,2023-05-23,1048853,10770
E12000001,North East,region,2023-05-22,1048806,10768
E12000001,North East,region,2023-05-21,1048759,10766
E12000001,North East,region,2023-05-20,1048726,10766
E12000001,North East,region,2023-05-19,1048700,10764
E12000001,North East,region,2023-05-18,1048669,10761
E12000001,North East,region,2023-05-17,1048635,10758
E12000001,North East,region,2023-05-16,1048599,10754
