Year,GDP,Country
1970,761.4241012,Kenya
1971,782.7496692,Kenya
1972,793.1365735,Kenya
1973,804.6594579,Kenya
1974,813.7301881,Kenya
1975,781.3048514,Kenya
1976,783.1454339,Kenya
1977,823.7371161,Kenya
1978,864.7831374,Kenya
1979,864.0454686,Kenya
1980,878.3663184,Kenya
1981,877.3179844,Kenya
1982,875.5925286,Kenya
1983,854.46113,Kenya
1984,837.50388,Kenya
1985,841.5970044,Kenya
1986,869.7244305,Kenya
1987,888.9287563,Kenya
1988,911.55743,Kenya
1989,922.2422646,Kenya
1990,929.4867586,Kenya
1991,912.2776261,Kenya
1992,876.6056761,Kenya
1993,852.7676942,Kenya
1994,848.9996574,Kenya
1995,860.534638,Kenya
1996,870.6915227,Kenya
1997,848.7306258,Kenya
1998,853.1757225,Kenya
1999,847.4868263,Kenya
2000,828.6832337,Kenya
2001,842.3729017,Kenya
2002,824.4236696,Kenya
2003,825.5857243,Kenya
2004,844.3648227,Kenya
2005,870.139112,Kenya
2006,900.1189897,Kenya
2007,935.6760889,Kenya
2008,912.3974552,Kenya
2009,917.0640467,Kenya
2010,967.3405226,Kenya
2011,998.9988546,Kenya
2012,1016.747951,Kenya
2013,1046.343276,Kenya
2014,1075.63927,Kenya
2015,1107.918537,Kenya
2016,1143.065893,Kenya
1970,922.724489,Thailand
1971,940.9609355,Thailand
1972,951.7821554,Thailand
1973,1016.911154,Thailand
1974,1033.028808,Thailand
1975,1055.577736,Thailand
1976,1126.551497,Thailand
1977,1209.378574,Thailand
1978,1306.001238,Thailand
1979,1346.087971,Thailand
1980,1381.533154,Thailand
1981,1434.316745,Thailand
1982,1482.560581,Thailand
1983,1536.696643,Thailand
1984,1595.780745,Thailand
1985,1639.989382,Thailand
1986,1699.555517,Thailand
1987,1827.949227,Thailand
1988,2035.101026,Thailand
1989,2247.127883,Thailand
1990,2462.752999,Thailand
1991,2638.647711,Thailand
1992,2853.850873,Thailand
1993,3073.911042,Thailand
1994,3290.025524,Thailand
1995,3522.478744,Thailand
1996,3681.17012,Thailand
1997,3537.723364,Thailand
1998,3228.155378,Thailand
1999,3337.642567,Thailand
2000,3452.504846,Thailand
2001,3536.601934,Thailand
2002,3731.036805,Thailand
2003,3969.426548,Thailand
2004,4190.044546,Thailand
2005,4337.263259,Thailand
2006,4525.153984,Thailand
2007,4744.330993,Thailand
2008,4800.809114,Thailand
2009,4743.695179,Thailand
2010,5075.297149,Thailand
2011,5093.585406,Thailand
2012,5437.23361,Thailand
2013,5561.292644,Thailand
2014,5589.707216,Thailand
2015,5733.929049,Thailand
2016,5962.540579,Thailand
1970,934.5313068,Senegal
1971,905.5277592,Senegal
1972,934.2861343,Senegal
1973,855.7321643,Senegal
1974,866.0627788,Senegal
1975,906.1224684,Senegal
1976,961.910937,Senegal
1977,913.4556834,Senegal
1978,836.1545632,Senegal
1979,894.3919171,Senegal
1980,842.5961286,Senegal
1981,809.7675477,Senegal
1982,907.2085287,Senegal
1983,899.5496251,Senegal
1984,837.6014239,Senegal
1985,843.0650907,Senegal
1986,854.9074983,Senegal
1987,862.2695987,Senegal
1988,878.5894286,Senegal
